Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,104.6,105.3,105.5,106.1,106.9,109.3,111.0,112.4,113.7,114.8,116.3,114.5
2014,113.6,113.6,114.2,115.1,115.8,116.7,119.2,120.3,120.1,120.1,120.1,119.4
2015,119.5,119.7,120.2,120.7,121.6,123.0,123.6,124.8,125.4,126.1,126.6,126.1
2016,126.3,126.0,126.0,127.3,128.6,130.1,131.1,131.1,130.9,131.4,131.2,130.4
2017,130.3,130.6,130.9,131.1,131.4,132.0,134.2,135.4,135.2,136.1,137.6,137.2
2018,136.9,136.4,136.5,137.1,137.8,138.5,139.8,140.4,140.2,140.7,140.8,140.1
2019,139.6,139.9,140.4,141.2,142.0,142.9,144.2,145.0,145.8,147.2,148.6,150.4
2020,150.2,149.1,148.6,151.4,150.9,151.8,153.9,154.7,156.4,158.4,158.9,157.3
2021,156.3,156.6,156.8,157.8,160.4,161.3,162.5,162.9,163.2,165.5,166.7,166.2
2022,165.7,166.1,167.7,170.1,171.7,172.6,173.4,174.3,175.3,176.7,176.5,175.7
2023,176.5,176.8,177.2,178.1,179.1,181.0,186.3,186.2,184.1,185.3,186.3,185.7
2024,185.5,185.8,185.8,186.7,187.7,190.2,193.0,193.0,194.2,196.8,196.5,195.4
2025,193.4,192.5,192.0,192.6,193.0,194.2,196.1,197.0,197.0,197.3,197.9,198.0
