Sector_Code,Sector_Index,Sector_Name,Energy_2015_Final_MJ_per_crore,Energy_2015_Emission_MJ_per_crore,Energy_2015_Gross_MJ_per_crore,Energy_2015_Net_MJ_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.72,72,IN.72,2889509875338.028,4125889710732.3945,5248705702281.689,4149231962774.648,1,11.59,11.59
IN.63,63,IN.63,2734595629535.211,1593936135521.1267,2746912322521.1265,1601408715225.352,2,10.97,22.56
IN.56,56,IN.56,2588523930647.887,1662691861943.6619,17832384680845.07,2551867960450.704,3,10.38,32.94
IN.92,92,IN.92,2333532135112.676,2168107978887.324,2357489297056.338,2169505702239.4365,4,9.36,42.3
IN.120,120,IN.120,1207013740546.4788,1270809154426.7605,1279219415069.014,1270809154426.7605,5,4.84,47.14
IN,0,IN,1083037342269.014,657581551054.9296,1162074685884.5068,657581551054.9296,6,4.34,51.48
IN.21,21,IN.21,1081636436001.4084,321582701526.76056,1365374928142.2534,1273830488557.7463,7,4.34,55.82
IN.119,119,IN.119,978092008505.6337,950467325083.0986,1037760666914.0845,950467325083.0986,8,3.92,59.74
IN.68,68,IN.68,940610544904.2253,1018282407150.7041,1073641591240.845,1019045568354.9294,9,3.77,63.51
IN.61,61,IN.61,856324097412.676,359232734029.57745,885523866419.7183,817038606521.1268,10,3.43,66.94
IN.93,93,IN.93,522456701846.4789,522468031721.1267,522625300061.97174,522468083904.22534,11,2.1,69.04
IN.95,95,IN.95,512438008642.25354,13090684756436.617,13653804013690.139,13090684756436.617,12,2.05,71.09
IN.112,112,IN.112,472745829802.81683,408789419992.9577,479565357036.6197,464750023750.7042,13,1.9,72.99
IN.124,124,IN.124,403536162547.8873,413050647201.4084,413364954756.338,413050647201.4084,14,1.62,74.61
IN.42,42,IN.42,349854643350.7042,396278562287.3239,417859052798.59155,396386155388.7324,15,1.4,76.01
IN.71,71,IN.71,347320497890.1408,318451759694.36615,1452719812957.7466,345079437191.54926,16,1.39,77.4
IN.1,1,IN.1,310089465930.9859,102186333416.6197,327727031377.4648,102186333416.6197,17,1.24,78.64
IN.20,20,IN.20,290566406632.39435,239276766330.98593,304619264959.1549,240693751401.40845,18,1.17,79.81
IN.135,135,IN.135,283282716823.94366,323566364970.4225,324063501494.3662,323566364970.4225,19,1.14,80.95
IN.116,116,IN.116,231605192180.28168,216692432419.7183,249562786145.0704,216692432419.7183,20,0.93,81.88
IN.70,70,IN.70,208155160921.12674,210790910201.40842,222899599447.8873,211462096302.81686,21,0.83,82.71
IN.83,83,IN.83,190637098684.50705,170973910888.7324,203691655311.2676,190658962653.52112,22,0.76,83.47
IN.118,118,IN.118,188271991249.29578,159181869343.66196,204443401364.78873,159181869343.66196,23,0.75,84.22
IN.96,96,IN.96,180320068483.0986,562034001357.7465,833026401487.3239,696763692007.0422,24,0.72,84.94
IN.122,122,IN.122,178814956208.4507,180803715116.9014,180926902860.56335,180803715116.9014,25,0.72,85.66
IN.136,136,IN.136,166732768184.50702,76923500569.29576,172230056623.94366,76923500569.29576,26,0.67,86.33
IN.66,66,IN.66,159487789345.0704,158541040835.21127,166676403869.01407,159387118467.60562,27,0.64,86.97
IN.40,40,IN.40,149807571935.21127,91354788125.21126,166097675122.53522,94997659731.26761,28,0.6,87.57
IN.46,46,IN.46,126259339738.169,117326338247.18309,161939167766.19717,119294321885.21127,29,0.51,88.08
IN.134,134,IN.134,125660544226.05634,105490690349.57745,133863458731.26761,105490690349.57745,30,0.5,88.58
IN.127,127,IN.127,124528189985.77464,77870826412.95775,129089413421.5493,77870826412.95775,31,0.5,89.08
IN.111,111,IN.111,113555615379.29578,57427463926.056335,120140421874.78874,81494932812.39436,32,0.46,89.54
IN.108,108,IN.108,100094582983.94366,19472106929.859154,100116359539.57747,19472106929.859154,33,0.4,89.94
IN.53,53,IN.53,99073439978.73239,46123249139.57746,110120724090.70422,56855325354.366196,34,0.4,90.34
IN.4,4,IN.4,98235607757.74648,96438915849.01407,107994621153.66196,96438915849.01407,35,0.39,90.73
IN.125,125,IN.125,95122988705.35211,74051581533.09859,100108288071.69014,74051581533.09859,36,0.38,91.11
IN.130,130,IN.130,92112182498.02817,55931955726.76056,115436272229.57745,55931955726.76056,37,0.37,91.48
IN.64,64,IN.64,87884603512.39436,87830990547.04225,91606116247.74648,88580141708.4507,38,0.35,91.83
IN.131,131,IN.131,85547177800.14084,69928468757.60562,88779284355.91548,69928468757.60562,39,0.34,92.17
IN.43,43,IN.43,85144704249.29576,85272352033.94365,100950974595.6338,85600026339.15492,40,0.34,92.51
IN.117,117,IN.117,84883908652.11267,57412293659.71831,89920375714.78873,57412293659.71831,41,0.34,92.85
IN.90,90,IN.90,82231990226.47887,19941409189.577465,85633575718.59154,37226083101.97183,42,0.33,93.18
IN.3,3,IN.3,79162556252.5352,30653456456.619717,102749542738.87323,30653456456.619717,43,0.32,93.5
IN.126,126,IN.126,77849886867.32394,41255031282.8169,79600630204.92958,41255031282.8169,44,0.31,93.81
IN.62,62,IN.62,68057318612.95774,34387138845.07042,75310959486.05634,61536065623.80282,45,0.27,94.08
