Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2015_Blue_m3_per_crore,Water_2015_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.1,1,IN.1,Agriculture,149408.95507042253,108694.11338028166,1,25.08,25.08
IN,0,IN,Agriculture,147227.50346617747,452114.6080939718,2,24.71,49.79
IN.5,5,IN.5,Agriculture,93507.15221664788,86827.87921718309,3,15.7,65.49
IN.7,7,IN.7,Agriculture,73787.67377464789,612526.8577464789,4,12.39,77.88
IN.3,3,IN.3,Agriculture,53410.18309859155,218776.61971830984,5,8.97,86.85
IN.4,4,IN.4,Agriculture,42306.760563380274,289298.59154929576,6,7.1,93.95
IN.2,2,IN.2,Agriculture,11955.721196056336,259898.61733619717,7,2.01,95.96
IN.11,11,IN.11,Agriculture,4291.562507042253,0.0,8,0.72,96.68
IN.8,8,IN.8,Agriculture,3285.2352112676053,0.0,9,0.55,97.23
IN.72,72,IN.72,Other,2484.0875580416055,0.0,10,0.42,97.65
IN.61,61,IN.61,Other,1760.105131682615,0.0,11,0.3,97.95
IN.95,95,IN.95,Other,1401.1211267605634,0.0,12,0.24,98.19
IN.84,84,IN.84,Other,1219.8588337000563,0.0,13,0.2,98.39
IN.71,71,IN.71,Other,1201.6575602506337,0.0,14,0.2,98.59
IN.60,60,IN.60,Other,1175.6093138159608,0.0,15,0.2,98.79
IN.51,51,IN.51,Other,1135.7986620713161,0.0,16,0.19,98.98
IN.58,58,IN.58,Other,982.0477738028168,0.0,17,0.16,99.14
IN.85,85,IN.85,Other,590.0306402267605,0.0,18,0.1,99.24
IN.53,53,IN.53,Other,565.4379703520859,0.0,19,0.09,99.33
IN.6,6,IN.6,Agriculture,468.3304366197183,8770.741126760564,20,0.08,99.41
IN.44,44,IN.44,Other,414.3076167372686,0.0,21,0.07,99.48
IN.54,54,IN.54,Other,412.2129808120422,0.0,22,0.07,99.55
IN.46,46,IN.46,Other,394.24261463382254,0.0,23,0.07,99.62
IN.92,92,IN.92,Other,197.07429717162955,0.0,24,0.03,99.65
IN.62,62,IN.62,Other,194.53107102935715,0.0,25,0.03,99.68
IN.47,47,IN.47,Other,160.86486193802813,0.0,26,0.03,99.71
IN.42,42,IN.42,Other,159.86232616689406,0.0,27,0.03,99.74
IN.68,68,IN.68,Other,142.76075008083097,0.0,28,0.02,99.76
IN.56,56,IN.56,Other,138.0241623943662,0.0,29,0.02,99.78
IN.75,75,IN.75,Other,134.38221162325354,0.0,30,0.02,99.8
IN.67,67,IN.67,Other,105.71780784576971,0.0,31,0.02,99.82
IN.97,97,IN.97,Other,98.1007042253521,0.0,32,0.02,99.84
IN.63,63,IN.63,Other,97.88045977643662,0.0,33,0.02,99.86
IN.87,87,IN.87,Other,96.61378950654353,0.0,34,0.02,99.88
IN.10,10,IN.10,Agriculture,91.9207690140845,0.0,35,0.02,99.9
IN.9,9,IN.9,Agriculture,82.82464788732393,0.0,36,0.01,99.91
IN.38,38,IN.38,Other,72.18213314208114,0.0,37,0.01,99.92
IN.83,83,IN.83,Other,59.31656817098591,0.0,38,0.01,99.93
IN.49,49,IN.49,Other,47.40718610133098,0.0,39,0.01,99.94
IN.70,70,IN.70,Other,46.6645679169014,0.0,40,0.01,99.95
IN.96,96,IN.96,Other,40.52140845070422,0.0,41,0.01,99.96
IN.88,88,IN.88,Other,40.03975724787323,0.0,42,0.01,99.97
IN.79,79,IN.79,Other,39.64966758487324,0.0,43,0.01,99.98
IN.64,64,IN.64,Other,37.86968330267606,0.0,44,0.01,99.99
IN.55,55,IN.55,Other,33.33930066512676,0.0,45,0.01,100.0
IN.48,48,IN.48,Other,32.19026549859592,0.0,46,0.01,100.01
IN.39,39,IN.39,Other,25.369950143946337,0.0,47,0.0,100.01
IN.41,41,IN.41,Other,21.28448266915493,0.0,48,0.0,100.01
IN.81,81,IN.81,Other,20.151858856330982,0.0,49,0.0,100.01
IN.43,43,IN.43,Other,19.49160341447887,0.0,50,0.0,100.01
IN.66,66,IN.66,Other,19.365123646395773,0.0,51,0.0,100.01
IN.36,36,IN.36,Other,16.81666285859873,0.0,52,0.0,100.01
IN.73,73,IN.73,Other,14.179354122887322,0.0,53,0.0,100.01
