,region,sector,indout
IN,0.0,0.0,30.503544191
IN.1,0.0,0.0,1425.4818485
IN.2,0.0,0.0,4053.97544365
IN.3,0.0,0.0,4050.41930896
IN.4,0.0,0.0,804.866985548
IN.5,0.0,0.0,31.2090650926
IN.6,0.0,0.0,0.154504462372
IN.7,0.0,0.0,55.4915377479
IN.8,0.0,0.0,254.584495307
IN.9,0.0,0.0,484.562755849
IN.10,0.0,0.0,850.072649471
IN.11,0.0,0.0,324.577798257
IN.12,0.0,0.0,60.5507727215
IN.13,0.0,0.0,2047.19046149
IN.14,0.0,0.0,16.8595087098
IN.15,0.0,0.0,0.0
IN.16,0.0,0.0,0.0
IN.17,0.0,0.0,1459.66599964
IN.18,0.0,0.0,332.118999846
IN.19,0.0,0.0,65.8539658963
IN.20,0.0,0.0,1880.00904211
IN.21,0.0,0.0,1205.77624236
IN.22,0.0,0.0,12.7325547536
IN.23,0.0,0.0,34.0283280933
IN.24,0.0,0.0,0.593581951618
IN.25,0.0,0.0,25.509969437
IN.26,0.0,0.0,0.0
IN.27,0.0,0.0,0.0
IN.28,0.0,0.0,10.5494982823
IN.29,0.0,0.0,3.91679909766
IN.30,0.0,0.0,32.7339373088
IN.31,0.0,0.0,4.93350066202
IN.32,0.0,0.0,53.7619466216
IN.33,0.0,0.0,4.22859682141
IN.34,0.0,0.0,530.53119931
IN.35,0.0,0.0,1303.85939601
IN.36,0.0,0.0,839.205792756
IN.37,0.0,0.0,472.770928283
IN.38,0.0,0.0,225.283240524
IN.39,0.0,0.0,1959.10122655
IN.40,0.0,0.0,18.6257594576
IN.41,0.0,0.0,6.10500200663
IN.42,0.0,0.0,19431.3020132
IN.43,0.0,0.0,7136.04583281
IN.44,0.0,0.0,311.999608799
IN.45,0.0,0.0,252.383579349
IN.46,0.0,0.0,2129.91465275
IN.47,0.0,0.0,3595.4575321
IN.48,0.0,0.0,1485.88497647
IN.49,0.0,0.0,2839.6090554
IN.50,0.0,0.0,0.0
IN.51,0.0,0.0,1420.34645597
IN.52,0.0,0.0,0.0
IN.53,0.0,0.0,3152.88948971
IN.54,0.0,0.0,1812.2549997
IN.55,0.0,0.0,0.0019600240272
IN.56,0.0,0.0,7526.76407009
IN.57,0.0,0.0,0.0
IN.58,0.0,0.0,1672.39967229
IN.59,0.0,0.0,0.0
IN.60,0.0,0.0,9.74710570396
IN.61,0.0,0.0,1657.78988143
IN.62,0.0,0.0,1129.03909024
IN.63,0.0,0.0,4236.76188642
IN.64,0.0,0.0,353.226531951
IN.65,0.0,0.0,0.0
IN.66,0.0,0.0,264.496592606
IN.67,0.0,0.0,172.462348098
IN.68,0.0,0.0,2180.54299321
IN.69,0.0,0.0,0.0
IN.70,0.0,0.0,174.936284284
IN.71,0.0,0.0,1346.14327917
IN.72,0.0,0.0,631.841824314
IN.73,0.0,0.0,1.29221496297
IN.74,0.0,0.0,0.0
IN.75,0.0,0.0,649.170762082
IN.76,0.0,0.0,0.0
IN.77,0.0,0.0,867.529690491
IN.78,0.0,0.0,0.0
IN.79,0.0,0.0,1013.44201242
IN.80,0.0,0.0,0.0
IN.81,0.0,0.0,98.345745502
IN.82,0.0,0.0,0.0
IN.83,0.0,0.0,141.29658285
IN.84,0.0,0.0,4230.4179998
IN.85,0.0,0.0,7175.63312794
IN.86,0.0,0.0,8374.95051959
IN.87,0.0,0.0,203.10084288
IN.88,0.0,0.0,144.353163253
IN.89,0.0,0.0,0.0
IN.90,0.0,0.0,13916.0259999
IN.91,0.0,0.0,1976.45676024
