Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Has_Water_Use_2015
IN,Paddy rice,Agriculture & Livestock,104531.527460986,1493.307535156943,14933.07535156943,True
IN.1,Wheat,Agriculture & Livestock,106080.3581,1515.433687142857,15154.33687142857,True
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,True
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,True
IN.4,Oil seeds,Agriculture & Livestock,30037.8,429.1114285714286,4291.114285714286,True
IN.5,"Sugar cane, sugar beet",Agriculture & Livestock,66390.07807382,948.4296867688571,9484.29686768857,True
IN.6,Plant-based fibers,Agriculture & Livestock,332.51461,4.750208714285715,47.50208714285715,True
IN.7,Crops nec,Agriculture & Livestock,52389.248380000005,748.4178340000001,7484.17834,True
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,True
IN.9,Pigs,Agriculture & Livestock,58.8055,0.8400785714285715,8.400785714285714,True
IN.10,Poultry,Agriculture & Livestock,65.263746,0.9323392285714286,9.323392285714286,True
IN.11,Meat animals nec,Agriculture & Livestock,3047.00938,43.52870542857143,435.28705428571425,True
IN.12,Animal products nec,Mining & Primary,0.0,0.0,0.0,False
IN.13,Raw milk,Mining & Primary,0.0,0.0,0.0,False
IN.14,"Wool, silk-worm cocoons",Mining & Primary,0.0,0.0,0.0,False
IN.15,"Forestry, logging",Mining & Primary,0.0,0.0,0.0,False
IN.16,"Fishing, aquaculture",Mining & Primary,0.0,0.0,0.0,False
IN.17,Anthracite,Mining & Primary,0.0,0.0,0.0,False
IN.18,Coking Coal,Mining & Primary,0.0,0.0,0.0,False
IN.19,Other Bituminous Coal,Mining & Primary,0.0,0.0,0.0,False
IN.20,Sub-Bituminous Coal,Mining & Primary,0.0,0.0,0.0,False
IN.21,Patent Fuel,Mining & Primary,0.0,0.0,0.0,False
IN.22,Lignite/Brown Coal,Mining & Primary,0.0,0.0,0.0,False
IN.23,BKB/Peat Briquettes,Mining & Primary,0.0,0.0,0.0,False
