Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Depletion_2019_t_per_EUR_million,Depletion_2019_t_per_crore,Depletion_2019_t_per_EUR_million_sec,Depletion_2019_t_per_crore_sec,Extrapolated
0,IN,Paddy rice,Agriculture,,178305.48,225703.13924050637,0.0,0.0,False
1,IN.1,Wheat,Agriculture,,103596.23,131134.46835443037,0.0,0.0,False
2,IN.2,Cereal grains nec,Agriculture,,43059.09,54505.17721518987,0.0,0.0,False
3,IN.3,Vegetables/fruit,Agriculture,,322456.62369971,408172.941392038,0.0,0.0,False
4,IN.4,Oil seeds,Agriculture,,46200.35,58481.45569620253,0.0,0.0,False
5,IN.5,Sugar cane,Agriculture,,405416.18,513185.03797468357,0.0,0.0,False
6,IN.6,Plant fibres,Agriculture,,20950.37826,26519.466151898738,0.0,0.0,False
7,IN.7,Crops nec,Agriculture,,13663.39172,17295.432556962027,0.0,0.0,False
8,IN.8,Cattle,Agriculture,,387834.74182840006,490930.0529473419,0.0,0.0,False
9,IN.9,Pigs,Agriculture,,13647.05358108,17274.751368455698,0.0,0.0,False
10,IN.10,Poultry,Agriculture,,713110.443702,902671.4477240506,0.0,0.0,False
11,IN.11,Meat animals nec,Agriculture,,163253.6351046,206650.17101848102,0.0,0.0,False
12,IN.12,Animal products,Agriculture,,0.0,0.0,0.0,0.0,False
13,IN.13,Raw milk,Agriculture,,106894.1202398,135309.01296177215,0.0,0.0,False
14,IN.14,Wool/silk,Agriculture,,0.0,0.0,0.0,0.0,False
15,IN.15,Forestry,Agriculture,,0.0,0.0,0.0,0.0,False
16,IN.16,Fishing,Agriculture,,0.0,0.0,0.0,0.0,False
17,IN.17,Anthracite,Mining,,237461.29296,300583.9151392405,0.0,0.0,False
18,IN.18,Coking Coal,Mining,,3532.547594837,4471.579233970886,0.0,0.0,False
19,IN.19,Bituminous Coal,Mining,,767231.0,971178.4810126583,0.0,0.0,False
20,IN.20,Sub-Bituminous Coal,Mining,,32169.0,40720.25316455696,0.0,0.0,False
21,IN.21,Patent Fuel,Mining,,26002.928,32915.09873417722,0.0,0.0,False
22,IN.22,Lignite,Mining,,0.0,0.0,0.0,0.0,False
23,IN.23,BKB/Peat,Mining,,577.747952548,731.3265222126582,0.0,0.0,False
24,IN.24,Peat,Mining,,246081.0,311494.9367088608,0.0,0.0,False
25,IN.25,Crude petroleum,Mining,,2838.22820202,3592.693926607595,0.0,0.0,False
26,IN.26,Natural gas,Mining,,0.0,0.0,0.0,0.0,False
27,IN.27,Gas liquids,Mining,,21825.227,27626.869620253165,0.0,0.0,False
28,IN.28,Other hydrocarbons,Mining,,5089.982441773001,6443.015749079748,0.0,0.0,False
29,IN.29,Uranium/thorium,Mining,,8486.632402392526,10742.572661256363,0.0,0.0,False
30,IN.30,Iron ores,Mining,,7346.567357645001,9299.452351449369,0.0,0.0,False
31,IN.31,Copper ores,Mining,,396029.00798490003,501302.54175303807,0.0,0.0,False
32,IN.32,Nickel ores,Mining,,2667971.54644749,3377179.172718342,0.0,0.0,False
33,IN.33,Aluminium ores,Mining,,45987.7395276,58212.328515949375,0.0,0.0,False
34,IN.34,Meat cattle,Manufacturing,,0.0,0.0,0.0,0.0,False
35,IN.35,Meat pigs,Manufacturing,,0.0,0.0,0.0,0.0,False
36,IN.36,Meat poultry,Manufacturing,,0.0,0.0,0.0,0.0,False
37,IN.37,Meat nec,Manufacturing,,0.0,0.0,0.0,0.0,False
38,IN.38,Vegetable oils,Manufacturing,,0.0,0.0,0.0,0.0,False
39,IN.39,Dairy products,Manufacturing,,0.0,0.0,0.0,0.0,False
40,IN.40,Processed rice,Manufacturing,,0.0,0.0,0.0,0.0,False
41,IN.41,Sugar,Manufacturing,,0.0,0.0,0.0,0.0,False
42,IN.42,Food products nec,Manufacturing,,0.0,0.0,0.0,0.0,False
43,IN.43,Beverages,Manufacturing,,0.0,0.0,0.0,0.0,False
44,IN.44,Fish products,Manufacturing,,0.0,0.0,0.0,0.0,False
45,IN.45,Tobacco products,Manufacturing,,0.0,0.0,0.0,0.0,False
46,IN.46,Textiles,Manufacturing,,0.0,0.0,0.0,0.0,False
47,IN.47,Wearing apparel,Manufacturing,,0.0,0.0,0.0,0.0,False
48,IN.48,Leather products,Manufacturing,,0.0,0.0,0.0,0.0,False
49,IN.49,Wood products,Manufacturing,,0.0,0.0,0.0,0.0,False
50,IN.50,Pulp,Manufacturing,,0.0,0.0,0.0,0.0,False
51,IN.51,Re-processed paper,Manufacturing,,0.0,0.0,0.0,0.0,False
52,IN.52,Paper products,Manufacturing,,0.0,0.0,0.0,0.0,False
53,IN.53,Printed matter,Manufacturing,,0.0,0.0,0.0,0.0,False
54,IN.54,Coke Oven Coke,Manufacturing,,0.0,0.0,0.0,0.0,False
55,IN.55,Gas Coke,Manufacturing,,0.0,0.0,0.0,0.0,False
56,IN.56,Coal Tar,Manufacturing,,0.0,0.0,0.0,0.0,False
57,IN.57,Gas Works Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
58,IN.58,Coke oven gas,Manufacturing,,0.0,0.0,0.0,0.0,False
59,IN.59,Blast Furnace Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
60,IN.60,Other recovered gases,Manufacturing,,0.0,0.0,0.0,0.0,False
61,IN.61,Petroleum Refinery,Manufacturing,,0.0,0.0,0.0,0.0,False
62,IN.62,Ethane,Manufacturing,,0.0,0.0,0.0,0.0,False
63,IN.63,LPG,Manufacturing,,0.0,0.0,0.0,0.0,False
64,IN.64,Motor Gasoline,Manufacturing,,0.0,0.0,0.0,0.0,False
65,IN.65,Aviation Gasoline,Manufacturing,,0.0,0.0,0.0,0.0,False
66,IN.66,Jet Fuel (gasoline),Manufacturing,,0.0,0.0,0.0,0.0,False
67,IN.67,Jet Fuel (kerosene),Manufacturing,,0.0,0.0,0.0,0.0,False
68,IN.68,Kerosene,Manufacturing,,0.0,0.0,0.0,0.0,False
69,IN.69,Gas/Diesel Oil,Manufacturing,,0.0,0.0,0.0,0.0,False
70,IN.70,Heavy Fuel Oil,Manufacturing,,0.0,0.0,0.0,0.0,False
71,IN.71,Refinery Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
72,IN.72,Liquefied Refinery Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
73,IN.73,Refinery Feedstocks,Manufacturing,,0.0,0.0,0.0,0.0,False
74,IN.74,Additives,Manufacturing,,0.0,0.0,0.0,0.0,False
75,IN.75,Other Hydrocarbons,Manufacturing,,0.0,0.0,0.0,0.0,False
76,IN.76,White Spirit,Manufacturing,,0.0,0.0,0.0,0.0,False
77,IN.77,Lubricants,Manufacturing,,0.0,0.0,0.0,0.0,False
78,IN.78,Bitumen,Manufacturing,,0.0,0.0,0.0,0.0,False
79,IN.79,Paraffin Waxes,Manufacturing,,0.0,0.0,0.0,0.0,False
80,IN.80,Petroleum Coke,Manufacturing,,0.0,0.0,0.0,0.0,False
81,IN.81,Non-spec Petroleum,Manufacturing,,0.0,0.0,0.0,0.0,False
82,IN.82,Industrial Biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
83,IN.83,Municipal wastes (renew),Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
84,IN.84,Solid biofuels,Electricity,Bioenergy Processing,0.0,0.0,0.0,0.0,False
