Sector_Index,Sector_Code,Sector_Name,Broad_Category,Water_2019_Blue_m3_per_EUR_million,Water_2019_Blue_m3_per_crore,Water_2019_Green_m3_per_EUR_million,Water_2019_Green_m3_per_crore,Extrapolated
0,IN,Paddy rice,Agriculture,142373.63282944,180219.7883916962,438633.17817790003,555231.8711112658,False
1,IN.1,Wheat,Agriculture,108959.25202,137923.10382278482,77848.23771,98542.07305063291,False
2,IN.2,Cereal grains nec,Agriculture,11591.90212714,14673.293831822786,276415.2370704999,349892.70515253156,False
3,IN.3,Vegetables/fruit,Agriculture,38132.058,48268.427848101266,153256.532,193995.6101265823,False
4,IN.4,Oil seeds,Agriculture,33295.8,42146.58227848102,168869.0,213758.2278481013,False
5,IN.5,Sugar cane,Agriculture,67905.36678511,85956.16048748103,64177.09903289999,81236.83421886075,False
6,IN.6,Plant fibres,Agriculture,195.242,247.14177215189875,5892.303,7458.611392405063,False
7,IN.7,Crops nec,Agriculture,51499.125309999996,65188.76621518987,477126.4558,603957.5389873418,False
8,IN.8,Cattle,Agriculture,2725.58,3450.101265822785,0.0,0.0,False
9,IN.9,Pigs,Agriculture,86.3985,109.36518987341773,0.0,0.0,False
10,IN.10,Poultry,Agriculture,62.531328,79.15357974683545,0.0,0.0,False
11,IN.11,Meat animals nec,Agriculture,2631.5331199999996,3331.0545822784807,0.0,0.0,False
12,IN.12,Animal products,Agriculture,0.0,0.0,0.0,0.0,False
13,IN.13,Raw milk,Agriculture,0.0,0.0,0.0,0.0,False
14,IN.14,Wool/silk,Agriculture,0.0,0.0,0.0,0.0,False
15,IN.15,Forestry,Agriculture,0.0,0.0,0.0,0.0,False
16,IN.16,Fishing,Agriculture,0.0,0.0,0.0,0.0,False
17,IN.17,Anthracite,Mining,0.0,0.0,0.0,0.0,False
18,IN.18,Coking Coal,Mining,0.0,0.0,0.0,0.0,False
19,IN.19,Bituminous Coal,Mining,0.0,0.0,0.0,0.0,False
20,IN.20,Sub-Bituminous Coal,Mining,0.0,0.0,0.0,0.0,False
21,IN.21,Patent Fuel,Mining,0.0,0.0,0.0,0.0,False
22,IN.22,Lignite,Mining,0.0,0.0,0.0,0.0,False
23,IN.23,BKB/Peat,Mining,0.0,0.0,0.0,0.0,False
24,IN.24,Peat,Mining,0.0,0.0,0.0,0.0,False
25,IN.25,Crude petroleum,Mining,0.0,0.0,0.0,0.0,False
26,IN.26,Natural gas,Mining,0.0,0.0,0.0,0.0,False
27,IN.27,Gas liquids,Mining,0.0,0.0,0.0,0.0,False
28,IN.28,Other hydrocarbons,Mining,0.0,0.0,0.0,0.0,False
29,IN.29,Uranium/thorium,Mining,0.0,0.0,0.0,0.0,False
30,IN.30,Iron ores,Mining,0.0,0.0,0.0,0.0,False
31,IN.31,Copper ores,Mining,0.0,0.0,0.0,0.0,False
32,IN.32,Nickel ores,Mining,0.0,0.0,0.0,0.0,False
33,IN.33,Aluminium ores,Mining,0.0,0.0,0.0,0.0,False
34,IN.34,Meat cattle,Manufacturing,3.8262650733602404,4.843373510582583,0.0,0.0,False
35,IN.35,Meat pigs,Manufacturing,5.57645734785128,7.0588067694320005,0.0,0.0,False
36,IN.36,Meat poultry,Manufacturing,2.7692018289898304,3.5053187708732034,0.0,0.0,False
37,IN.37,Meat nec,Manufacturing,0.83300471281516,1.0544363453356456,0.0,0.0,False
38,IN.38,Vegetable oils,Manufacturing,25.365291615677698,32.107964070478104,0.0,0.0,False
39,IN.39,Dairy products,Manufacturing,22.9617943541413,29.065562473596586,0.0,0.0,False
40,IN.40,Processed rice,Manufacturing,6.922697744035899,8.762908536754303,0.0,0.0,False
41,IN.41,Sugar,Manufacturing,14.250856395430002,18.03905872839241,0.0,0.0,False
42,IN.42,Food products nec,Manufacturing,143.67735920739742,181.8700749460727,0.0,0.0,False
43,IN.43,Beverages,Manufacturing,10.49603356023,13.286118430670887,0.0,0.0,False
44,IN.44,Fish products,Manufacturing,398.12583301402645,503.95675065066644,0.0,0.0,False
45,IN.45,Tobacco products,Manufacturing,0.72151043501,0.9133043481139241,0.0,0.0,False
46,IN.46,Textiles,Manufacturing,273.2287550448397,345.85918360106297,0.0,0.0,False
47,IN.47,Wearing apparel,Manufacturing,195.10190226140003,246.96443324227855,0.0,0.0,False
48,IN.48,Leather products,Manufacturing,28.8423503085526,36.50930418804127,0.0,0.0,False
49,IN.49,Wood products,Manufacturing,67.898803684653,85.94785276538356,0.0,0.0,False
50,IN.50,Pulp,Manufacturing,0.0,0.0,0.0,0.0,False
51,IN.51,Re-processed paper,Manufacturing,1439.8615069615093,1822.6095024829233,0.0,0.0,False
52,IN.52,Paper products,Manufacturing,0.0,0.0,0.0,0.0,False
53,IN.53,Printed matter,Manufacturing,506.18886240051427,640.745395443689,0.0,0.0,False
54,IN.54,Coke Oven Coke,Manufacturing,260.09312740170003,329.231806837595,0.0,0.0,False
55,IN.55,Gas Coke,Manufacturing,0.5805002922936999,0.7348104965743038,0.0,0.0,False
56,IN.56,Coal Tar,Manufacturing,31.590648391000002,39.98816252025317,0.0,0.0,False
57,IN.57,Gas Works Gas,Manufacturing,0.0,0.0,0.0,0.0,False
