Sector_Index,Sector_Code,Sector_Name,Broad_Category,Energy_2019_Final_TJ_per_EUR_million,Energy_2019_Final_MJ_per_crore,Energy_2019_Emission_TJ_per_EUR_million,Energy_2019_Emission_MJ_per_crore,Extrapolated,Energy_2022_Final_MJ_per_crore,Energy_2022_Emission_MJ_per_crore,Energy_2022_Final_TJ_per_EUR_million,Energy_2022_Emission_TJ_per_EUR_million
0,IN,Paddy rice,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
1,IN.1,Wheat,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
2,IN.2,Cereal grains nec,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
3,IN.3,Vegetables/fruit,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
4,IN.4,Oil seeds,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
5,IN.5,Sugar cane,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
6,IN.6,Plant fibres,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
7,IN.7,Crops nec,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
8,IN.8,Cattle,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
9,IN.9,Pigs,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
10,IN.10,Poultry,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
11,IN.11,Meat animals nec,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
12,IN.12,Animal products,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
13,IN.13,Raw milk,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
14,IN.14,Wool/silk,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
15,IN.15,Forestry,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
16,IN.16,Fishing,Agriculture,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
17,IN.17,Anthracite,Mining,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
18,IN.18,Coking Coal,Mining,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
19,IN.19,Bituminous Coal,Mining,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
20,IN.20,Sub-Bituminous Coal,Mining,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
