Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Water_2022_Blue_m3_per_EUR_million,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_EUR_million,Water_2022_Green_m3_per_crore,Extrapolated
0,IN,Paddy rice,Agriculture,,168774.96064862754,190706.1702244379,526450.897193206,594859.7708397808,False
1,IN.1,Wheat,Agriculture,,109037.18933384828,123205.86365406585,83433.023813127,94274.60317867457,False
2,IN.2,Cereal grains nec,Agriculture,,12752.898259496,14410.054530503954,275250.94161599997,311018.0131254237,False
3,IN.3,Vegetables/fruit,Agriculture,,49719.9309,56180.71288135593,200707.145,226787.73446327684,False
4,IN.4,Oil seeds,Agriculture,,35894.9,40559.209039548026,150350.0,169887.00564971752,False
5,IN.5,Sugar cane,Agriculture,,50479.94131801,57039.48171526554,48712.94347489999,55042.87398293785,False
6,IN.6,Plant fibres,Agriculture,,324.82339,367.0320790960452,8024.209300000001,9066.90316384181,False
7,IN.7,Crops nec,Agriculture,,41527.23522238801,46923.42962981696,427348.95061,482880.170180791,False
8,IN.8,Cattle,Agriculture,,3118.31,3523.5141242937852,0.0,0.0,False
9,IN.9,Pigs,Agriculture,,40.1968,45.42011299435029,0.0,0.0,False
10,IN.10,Poultry,Agriculture,,54.581158,61.673624858757066,0.0,0.0,False
11,IN.11,Meat animals nec,Agriculture,,401.41266499999995,453.5736327683615,0.0,0.0,False
12,IN.12,Animal products,Agriculture,,0.0,0.0,0.0,0.0,False
13,IN.13,Raw milk,Agriculture,,0.0,0.0,0.0,0.0,False
14,IN.14,Wool/silk,Agriculture,,0.0,0.0,0.0,0.0,False
15,IN.15,Forestry,Agriculture,,0.0,0.0,0.0,0.0,False
16,IN.16,Fishing,Agriculture,,0.0,0.0,0.0,0.0,False
17,IN.17,Anthracite,Mining,,0.0,0.0,0.0,0.0,False
18,IN.18,Coking Coal,Mining,,0.0,0.0,0.0,0.0,False
19,IN.19,Bituminous Coal,Mining,,0.0,0.0,0.0,0.0,False
20,IN.20,Sub-Bituminous Coal,Mining,,0.0,0.0,0.0,0.0,False
21,IN.21,Patent Fuel,Mining,,0.0,0.0,0.0,0.0,False
22,IN.22,Lignite,Mining,,0.0,0.0,0.0,0.0,False
23,IN.23,BKB/Peat,Mining,,0.0,0.0,0.0,0.0,False
24,IN.24,Peat,Mining,,0.0,0.0,0.0,0.0,False
25,IN.25,Crude petroleum,Mining,,0.0,0.0,0.0,0.0,False
26,IN.26,Natural gas,Mining,,0.0,0.0,0.0,0.0,False
27,IN.27,Gas liquids,Mining,,0.0,0.0,0.0,0.0,False
28,IN.28,Other hydrocarbons,Mining,,0.0,0.0,0.0,0.0,False
29,IN.29,Uranium/thorium,Mining,,0.0,0.0,0.0,0.0,False
30,IN.30,Iron ores,Mining,,0.0,0.0,0.0,0.0,False
31,IN.31,Copper ores,Mining,,0.0,0.0,0.0,0.0,False
32,IN.32,Nickel ores,Mining,,0.0,0.0,0.0,0.0,False
33,IN.33,Aluminium ores,Mining,,0.0,0.0,0.0,0.0,False
34,IN.34,Meat cattle,Manufacturing,,12.2099191227862,13.796518782809265,40.801959999999994,46.10390960451977,False
35,IN.35,Meat pigs,Manufacturing,,2.6516908300011495,2.9962608248600557,2.213362,2.500974011299435,False
36,IN.36,Meat poultry,Manufacturing,,157.06980622243552,177.48000703100058,805.8694,910.5868926553673,False
37,IN.37,Meat nec,Manufacturing,,13.7505129944472,15.537302818584408,75.40737,85.20606779661017,False
38,IN.38,Vegetable oils,Manufacturing,,76.95764904387389,86.957795529801,35.92078,40.58845197740113,False
39,IN.39,Dairy products,Manufacturing,,600.6808126068835,678.7353814767046,3782.801,4274.351412429379,False
40,IN.40,Processed rice,Manufacturing,,305.500476194982,345.19827818642034,1930.2303,2181.051186440678,False
41,IN.41,Sugar,Manufacturing,,17.512327586628203,19.787940775851077,4.333316,4.896402259887005,False
42,IN.42,Food products nec,Manufacturing,,893.681026686579,1009.8090697023491,4018.786,4541.001129943503,False
43,IN.43,Beverages,Manufacturing,,28.520596584144,32.22666280694237,354.366,400.4135593220339,False
44,IN.44,Fish products,Manufacturing,,1195.0967462315405,1350.391803651458,3624.596,4095.588700564972,False
45,IN.45,Tobacco products,Manufacturing,,3.4138633819100006,3.8574727479209048,0.0,0.0,False
46,IN.46,Textiles,Manufacturing,,455.38361085237705,514.5577523755672,72.4389438,81.85191389830509,False
47,IN.47,Wearing apparel,Manufacturing,,243.54005822250002,275.1865064661017,0.0582184,0.06578350282485876,False
48,IN.48,Leather products,Manufacturing,,35.778747436546006,40.42796320513673,0.0,0.0,False
49,IN.49,Wood products,Manufacturing,,335.2081245703,378.7662424523164,0.0,0.0,False
50,IN.50,Pulp,Manufacturing,,0.0,0.0,0.0,0.0,False
51,IN.51,Re-processed paper,Manufacturing,,1701.6763212774026,1922.798103138308,0.0,0.0,False
52,IN.52,Paper products,Manufacturing,,0.0,0.0,0.0,0.0,False
53,IN.53,Printed matter,Manufacturing,,631.1610018453482,713.1762732715799,0.0,0.0,False
54,IN.54,Coke Oven Coke,Manufacturing,,523.3170965025145,591.3187531101859,0.0,0.0,False
55,IN.55,Gas Coke,Manufacturing,,53.27636141216399,60.19927843182372,0.0,0.0,False
56,IN.56,Coal Tar,Manufacturing,,52.6812020779311,59.526782008961696,0.0,0.0,False
57,IN.57,Gas Works Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
58,IN.58,Coke oven gas,Manufacturing,,1294.3698032,1462.5647493785311,0.0,0.0,False
59,IN.59,Blast Furnace Gas,Manufacturing,,0.0,0.0,0.0,0.0,False
60,IN.60,Other recovered gases,Manufacturing,,1556.6519175712417,1758.9287204194823,0.0,0.0,False
61,IN.61,Petroleum Refinery,Manufacturing,,2545.1868627183603,2875.917359003797,0.0,0.0,False
62,IN.62,Ethane,Manufacturing,,302.648029342815,341.975174398661,0.011797492,0.013330499435028249,False
63,IN.63,LPG,Manufacturing,,52.90149861463,59.775704649299435,0.0,0.0,False
64,IN.64,Motor Gasoline,Manufacturing,,146.965675049004,166.06290965989155,0.0,0.0,False
65,IN.65,Aviation Gasoline,Manufacturing,,0.0,0.0,0.0,0.0,False
66,IN.66,Jet Fuel (gasoline),Manufacturing,,26.680775752216302,30.147769211543846,0.0,0.0,False
67,IN.67,Jet Fuel (kerosene),Manufacturing,,156.0137710228373,176.2867469184602,0.0,0.0,False
68,IN.68,Kerosene,Manufacturing,,188.2697629851178,212.73419546340995,0.0,0.0,False
