,Final_Consumption_Households,Final_Consumption_NonProfit,Final_Consumption_Government,Gross_Fixed_Capital_Formation,Changes_in_Inventories,Changes_in_Valuables,Exports
IN,0.0,0.0,28.1928271169,0.0,0.0,0.0,0.0
IN.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.2,0.0,0.0,0.000873572954421,0.0,0.00307999048872,0.0,0.0025848721528
IN.3,0.0,0.0,0.126989802467,0.0,0.0185232880605,0.0,0.161509648745
IN.4,0.0,0.0,1.563553229,0.0,0.0394366083511,0.0,1.23429222798
IN.5,0.0,0.0,3.29182742998,0.0,0.677505882815,0.0,1.52746520395
IN.6,0.0,0.0,15.8885344388,0.0,0.33824517019,0.0,3.64815685287
IN.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.8,0.0,0.0,0.0,0.0,2.00561110744e-07,0.0,7.58548338972e-08
IN.9,0.0,0.0,0.0,0.0,0.0,0.0,0.000238225147648
IN.10,0.0,0.0,0.0,0.0,0.00836234134425,0.00501744175481,0.0230576890714
IN.11,0.0,0.0,0.0,0.0,0.0119541478923,3.47915225644e-09,0.00867432385812
IN.12,0.0,0.0,0.0,0.0,0.014397958057,2.27793930392e-08,0.010447680821
IN.13,0.0,0.0,0.0,0.0,0.00553400679071,0.000119912902211,0.00442169046069
IN.14,0.0,0.0,0.0,0.0,0.000955276010681,2.27391446499e-05,0.00077017647249
IN.15,0.0,0.0,0.0,0.0,0.439402310305,0.000527647628708,0.320631148315
IN.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.19,0.0,0.0,0.17698549057,0.0,0.0,0.0,0.288359090931
IN.20,0.0,0.0,0.00572358114148,0.0,0.0,0.0,0.00152839535982
IN.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.33,0.0,0.0,0.0,0.0,0.0,2.80800207962e-06,-2.80800207962e-06
IN.34,0.0,0.0,0.0,0.0,0.0,0.00111867256,-0.000265136408081
IN.35,0.0,0.0,1.36368541909e-07,0.0,0.0,1.48041319227e-07,-2.35277633633e-07
IN.36,0.0,0.0,1.3607715379,0.0,6.42048656268e-06,0.0,0.21671959525
IN.37,0.0,0.0,0.437205356367,0.0,1.75776652433e-06,0.0,0.0494798409094
IN.38,0.0,0.0,2.57682025792,0.0,4.10654640692e-06,0.0,0.552483986719
IN.39,0.0,0.0,13.9110240077,0.0,3.91339589271e-06,0.0,0.110376857474
IN.40,0.0,0.0,0.288628363427,0.0,8.17962702964e-07,0.0,0.048933975375
IN.41,0.0,0.0,0.91374214662,0.0,1.22725457647e-05,0.0,0.461024039325
IN.42,0.0,0.0,0.0185149088448,0.0,5.44308614957e-08,0.0,0.00244797922597
IN.43,0.0,0.0,0.0150300185578,0.0,4.38931341521e-08,0.0,0.00197894068603
IN.44,0.0,0.0,14.1301801742,0.0,3.56412641281e-05,0.0,1.6353865712
IN.45,0.0,0.0,10.7868157332,0.0,3.37778490327e-05,0.0,1.42373134396
IN.46,0.0,0.0,0.0,0.0,7.5060349398e-06,0.0,0.0107778579336
IN.47,0.0,0.0,6.67404559684e-05,0.0,0.0,0.0,-6.67404559684e-05
IN.48,0.0,0.0,26.8810565368,0.0,0.0,10.3099573805,-1.1267978514
IN.49,0.0,0.0,24.9871827409,0.0,0.0,0.0,-1.14751933593
IN.50,0.0,0.0,100.421081151,0.0,0.0,0.0,0.0
