Unnamed: 0,Unnamed: 1,विवरण 1.1: राष्‍ट्रीय लेखा के प्रमुख समाहार,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Statement 1.1: Key aggregates of National Accounts,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,( ₹ crore),,,,,
,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
,घरेलू उत्पाद,,,,,,,,,,,,,,,,,,,,,Domestic Product,
1,बुनियादी मूल्‍यों पर सकल मूल्य वर्धन (स.मू.व.),8106945.993532809,9202692.104152925,10363152.611639312,11504279.483280487,12574498.646204302,13965199.737836013,15505665.211523978,17175128.300824583,18355109.4458078,18057809.7818272,8106945.993532809,8546275.349848844,9063648.66804589,9712132.790154459,10491870.34657579,11328284.624372497,12034170.513730513,12733797.769346215,13219475.585463632,12585073.618032832,GVA at basic prices,1
2,उत्‍पादों पर कर ,890059.7178399999,1057977,1180444,1291662.1692740638,1518495.5526521145,1746288.2352382096,1898895.5296069481,2043568.3437611884,2076662.358198941,2255494.739940336,890059.7178399999,960810.8854978094,1008913.4845324381,1092429.8261289743,1145558.1283421756,1239333.8179095455,1354508.1618584301,1495643.5987239084,1553533.5753366405,1330491.3580203145,Taxes on Products including import duties,2
3,घटाएं: उत्‍पादों पर आर्थिक सहायता,260677,316656,310075,327982.36,321120.32,319819.41,314518.38,319028.2,356916.0120105,512390.69955799996,260677,294069.57307388034,271192.27632041543,276888.9818591154,267935.3389585065,259425.21901362747,244096.5308498254,236527.43179122184,257051.5030684192,357091.57401770155,Less Subsidies on Products,3
4,सकल देशीय उत्‍पाद (स.दे.उ.)  (1+2-3),8736328.71137281,9944013.104152925,11233521.611639312,12467959.292554552,13771873.878856417,15391668.563074222,17090042.361130927,18899668.44458577,20074855.79199624,19800913.822209533,8736328.71137281,9213016.662272772,9801369.876257913,10527673.634424318,11369493.135959458,12308193.223268416,13144582.144739117,13992913.936278902,14515957.657731853,13558473.402035445,GDP (1+2-3),4
5,स्‍थायी पूंजी अवक्षय (स्था. पू. अ.)  ,917174.9408110592,1060904.7681651858,1195974.9370347208,1342291.4662669147,1449697.082318079,1591332.1711256471,1764811.7579722074,1984290.1533530399,2165145.4101203224,2340068.919422965,917174.9408110592,1010661.0752474548,1100609.8730437676,1178644.237967776,1270890.3982389418,1381526.3337288687,1489920.815782418,1614455.0621993393,1732620.2437126143,1832274.9148739784,CFC,5
6,निवल देशीय उत्‍पाद (नि.दे.उ.)  (4-5),7819153.77056175,8883108.33598774,10037546.674604591,11125667.826287637,12322176.796538338,13800336.391948575,15325230.60315872,16915378.29123273,17909710.381875917,17460844.902786568,7819153.77056175,8202355.587025317,8700760.003214145,9349029.396456541,10098602.737720516,10926666.889539547,11654661.328956699,12378458.874079563,12783337.414019238,11726198.487161467,NDP(4-5),6
,अंतिम व्‍यय,,,,,,,,,,,,,,,,,,,,,Final Expenditure,
7,निजी अंतिम उपभोग व्‍यय (नि. अं.उ.व्य.),4910447.272174998,5614484.479666422,6475649.384440681,7247340.105879591,8126408.329377808,9126533.428788317,10036152.956306718,11205296.437899115,12237110.85363039,12032762.415198956,4910447.258170508,5179090.7738817185,5557328.586017326,5912656.720889831,6381418.715935039,6900236.005266465,7330728.485608376,7850443.899478033,8259704.344947293,7763733.859067322,PFCE,7
