Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,विवरण 1.13: उपयोग के अनुसार अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाएं - मध्‍यवर्ती उपभोग और व्‍यय,,,,,,,,,,,,
,Statement 1.13: FISIM by uses-Intermediate consumption and expenditure,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,( ₹ crore),,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,2,1
1,"कृषि, वानिकी और मत्‍स्‍यन",31989,35246,39021,44894,49166,63648.141,70264.9244905,87359.6229037709,94253.848864393,101620.311212184,"agriculture, forestry and fishing",1
2,खनन एवं उत्‍खनन,1634,1898,1915,1811,2015,2712.03,3152.9796046,3219.22605027976,3796.90979718055,3940.70903122638,Mining and quarrying,2
3,विनिर्माण ,64377,71939,84342,86361,89264,90738.045,94395.1687194,108002.976278712,111808.083393196,116476.803518629,Manufacturing,3
4,"बिजली, गैस, जलापूर्ति और अन्‍य उपयोगी सेवाएं",17578,22971,29386,34734,40668,37997.383,35761.0304435,41624.4110482289,45198.2482608093,57757.2304469812,"electricity, gas, water supply & other utility services",4
5,निर्माण,26514,33098,34491,42808,42699,44815.684,46027.7822339,51661.6455136537,56542.9487864857,57754.0142937827,construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",28525,32987,36000,42022,43907,47985.533,53437.2325336,61707.1233415782,69256.3146857526,75507.7407430541,"Trade, repair, hotels and restaurants",6
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",8792,10517,11194,13279,12876,10962.158,12681.2267657,15885.1329939927,16087.641286423,15764.2389212172,"Transport, storage, communication & services related to broadcasting",7
8,"स्‍थावर सम्‍पदा, आवास का स्‍वामित्‍व और व्यावसायिक सेवाएं",7059,9335,10004,8722,12462,6228.74,7946.5943151,10439.3650683179,9407.62797304231,9847.55414772956,"Real estate, ownership of dwelling & professional services",8
9,लोक प्रशासन और रक्षा,,,,,,,,,,,Public administration and defence,9
10,अन्‍य सेवाएं,10702,9535,10205,11789,17297,21813.725,23848.3130166,28952.3838128524,32170.4879663084,33108.0506469329,Other services,10
11,उपयोगकर्ता उद्योग को मध्‍यवर्ती उपभोग के रूप में अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाओं का आबंटन,197171,227526,256558,286420,310355,326901.439,347515.2521229,408851.887011386,438522.11101359,471776.652961737,allocation of FISIM as IC to user industry,11
,,,,,,,,,,,,,
12,निजी अंतिम उपभोग व्‍यय,157787,178734,208682,236223,254911,281354.05,311607.1712872,342396.600760078,375791.486339099,404705.593067809,Private Final Consumption Expenditure,12
13,शेष विश्‍व  (शे. वि.),4648,5589,10576,12886,14998,20344.667,23244.0476212,25951.5963528528,27616.1958074404,29222.4452574578,Rest of World (ROW),13
14,व्यय में अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाओं का आबंटन,162435,184323,219259,249109,269910,301698.717,334851.2189084,368348.197112931,403407.682146539,433928.038325267,allocation of FISIM to Expenditure,14
