Unnamed: 0,Unnamed: 1,"विवरण 1.2: प्रति व्‍यक्‍ति आय, उत्‍पाद तथा  व्यय",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,"Statement 1.2: Per Capita Income, Product and Final Consumption",,,,,,,,,,,
,,प्रचलित भावों  पर तथा स्थिर  भावों पर   (At Current Prices and at constant Prices),,,,,,,,,,,
,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,( ₹ crore),,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,2,1
1,जनसंख्‍या (दस लाख में),1220,1235,1251,1267,1283,1299,1314,1327,1341,1355.417,Population (in million),1
,प्रचलित मूल्‍यों पर ,,,,,,,,,,,At current prices,
2,प्रति व्‍यक्‍ति स.दे.उ.  ( ₹) ,71609.25173256402,80518.3247299832,89796.33582445493,98405.36142505566,107341.18377908353,118488.59555869302,130061.2051836448,142424.02746485133,149700.6397613441,146087.24711442704,Per Capita GDP( ₹) ,2
3,प्रति व्‍यक्‍ति स.रा.आ. ( ₹) ,70979.54681453122,79572.87533727066,88678.15990296414,97241.74758039256,106095.82859933142,117130.62684968679,128654.716275361,140899.3517512023,148260.56748515167,144119.68005835227,Per Capita GNI ( ₹) ,3
4,प्रति व्‍यक्‍ति नि.रा. आ. ( ₹) ,63461.71943083402,70982.55332783595,79118.00852778653,86647.49764931983,94796.55282132611,104880.18673324608,115223.88097876887,125946.14788267906,132114.81498611867,126855.11188912489,Per Capita NNI ( ₹) ,4
5,प्रति व्‍यक्‍ति स. रा.प्र. आ. ( ₹) ,73478.7435358427,82407.539304882,91842.97205324392,100439.49027968221,109315.49170842767,120051.62831786014,131742.54131366932,144620.07155301564,152290.12776478715,148193.6164193001,Per Capita GNDI( ₹) ,5
6,प्रति व्‍यक्‍ति नि. अं.उ. व्‍य. ( ₹) ,40249.5678047131,45461.41279082123,51763.78404828682,57200.79010165423,63339.11402476857,70258.1480276237,76378.63741481521,84440.81716578083,91253.62306957786,88775.35411758121,Per Capita PFCE( ₹) ,6
,स्‍थिर (2011-12) मूल्‍यों पर ,,,,,,,,,,,At constant (2011-12) prices,
7,प्रति व्‍यक्‍ति स.दे.उ.  ( ₹) ,71609.25173256402,74599.32520058924,78348.28038575471,83091.34675946581,88616.47027248213,94751.2950213119,100034.87172556407,105447.73124550792,108247.26068405558,100031.7496536892,Per Capita GDP ( ₹) ,7
8,प्रति व्‍यक्‍ति स.रा.आ. ( ₹) ,70979.54681453122,73721.96109748051,77370.31988640712,82107.23830094011,87564.85618700951,93638.32604508403,98924.61593634597,104298.97322081466,107190.55378057365,98628.53070010248,Per Capita GNI ( ₹) ,8
9,प्रति व्‍यक्‍ति नि.रा. आ. ( ₹) ,63461.71943083402,65538.47060964687,68572.47917462638,72804.6002743594,77659.24123580966,83003.01939590106,87585.79694256806,92132.77079278648,94270.19402134462,85110.36680755886,Per Capita NNI( ₹) ,9
10,प्रति व्‍यक्‍ति नि. अं.उ. व्‍य. ( ₹) ,40249.567689922194,41935.95768325278,44423.09021596584,46666.5881680334,49738.25967213593,53119.59973261328,55789.4100883438,59159.33609252475,61593.619276266174,57279.301197102606,Per Capita PFCE( ₹) ,10
,स्थिर (2011-12) मूल्यों पर पिछले वर्ष की तुलना में प्रतिशत परिवर्तन,,,,,,,,,,,Percentage change over previous year at constant (2011-12) prices,
11,प्रति व्‍यक्‍ति स.दे.उ.  ,,4.175540723693246,5.025454553489524,6.053823198618005,6.649457167917291,6.922894502529985,5.576258037490419,5.410972620421319,2.6548977445798982,-7.589578690905839,Per Capita GDP ,11
12,प्रति व्‍यक्‍ति स.रा.आ. ,,3.863668346763589,4.94880865160718,6.12239735015649,6.646938807107475,6.9359673761167215,5.645433995388544,5.432780540615752,2.7723959982205457,-7.987665683674166,Per Capita GNI ,12
13,प्रति व्‍यक्‍ति नि.रा. आ. ,,3.2724470711454217,4.629355150885871,6.17174871125124,6.668041501712608,6.881058937809087,5.521217878603224,5.1914511358502295,2.3199380743311906,-9.716567690220074,Per Capita NNI,13
14,प्रति व्‍यक्‍ति नि. अं.उ. व्‍य. ,,4.18983380473135,5.930787491485631,5.0502969090187975,6.582164295024739,6.798267737485048,5.026036282595257,6.040440289374985,4.114791247714862,-7.004488662717705,Per Capita PFCE,14
