Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,( ₹ crore),,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
1,"कृषि, वानिकी और मत्‍स्‍यन ",,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",1
1.1,उत्‍पादन ,1945110.7624261396,2196100.609003245,2527904.8313873503,2730185.009775237,2891907.092870601,3242943.8813409414,3540475.201526497,3802798.875337446,4195588.8139553955,4481820.412398899,1945110.7624261396,1977169.6242162262,2074375.9031143754,2086971.1860828733,2112124.6851677457,2249973.826287587,2362358.1448347704,2420319.8361367346,2535071.397608067,2622152.8544879165,Output,1.1
1.1.1,मध्‍यस्‍थ उपभोग ,443163.44047154183,520994.1061191943,601532.9665766545,636573.4500648845,664374.2359028757,724281.8606764544,710649.3501666998,772873.8293609903,837225.0939676869,872326.1739462651,443163.44047154183,452881.42919993936,465177.6052619668,481255.96883931966,495978.7529206907,523969.4267370987,522335.2492366873,541721.4860809837,552768.4963305844,574120.9629728328,Intermediate consumption,1.1.1
1.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,1501947.3219545977,1675106.5028840506,1926371.8648106959,2093611.5597103527,2227532.8569677253,2518662.020664487,2829825.851359797,3029925.045976456,3358363.7199877086,3609494.238452634,1501947.3219545977,1524288.1950162868,1609198.2978524086,1605715.2172435536,1616145.932247055,1726004.3995504885,1840022.895598083,1878598.350055751,1982302.9012774825,2048031.8915150836,GVA at basic prices,1.1.2
1.1.2.1,स्‍थायी पूंजी अवक्षय  ,95679.64239180676,111705.3850162467,129739.21065577914,145111.44282237976,157393.01333532418,170621.56570770894,183920.90564145878,199858.35974895302,217672.67965329363,239041.45508036154,95679.64239180676,102879.33998271788,111740.29256873066,119396.36630284537,124809.00771510329,131268.3546111346,138183.24749430196,145696.096630142,153498.81447499868,162268.55435142765,CFC,1.1.2.1
1.1.2.2,निवल मूल्‍य वर्धन ,1406267.679562791,1563401.117867804,1796632.6541549168,1948500.116887973,2070139.8436324012,2348040.4549567783,2645904.9457183382,2830066.6862275028,3140691.040334415,3370452.7833722723,1406267.679562791,1421408.855033569,1497458.005283678,1486318.8509407083,1491336.9245319518,1594736.0449393538,1701839.648103781,1732902.2534256089,1828804.0868024838,1885763.337163656,NVA at basic prices,1.1.2.2
