क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
1,"कृषि, वानिकी और मत्‍स्‍यन ",1501947.3219545977,1675106.5028840506,1926371.8648106959,2093611.5597103527,2227532.8569677253,2518662.020664487,2829825.851359797,3029925.045976456,3358363.7199877086,3609494.238452634,1501947.3219545977,1524288.1950162868,1609198.2978524086,1605715.2172435536,1616145.932247055,1726004.3995504885,1840022.895598083,1878598.350055751,1982302.9012774825,2048031.8915150836,"Agriculture, forestry and fishing",1
1.1,फसलें,982151.0391356299,1088813.67825313,1248775.8720000181,1292873.5956433986,1327991.758238095,1486044.3044701186,1633264.1891027964,1680776.549331724,1891965.7777795496,1997146.6977132435,982151.0391356299,983808.5839894825,1037059.7407470251,998424.7744808177,969343.8166227743,1020257.5880423451,1075111.4413532445,1049211.0737288734,1106544.5411282212,1127574.947159994,crops,1.1
1.2,पशुधन ,327333.7121159164,368822.8836668698,422732.598935343,510410.597905145,582409.6696577807,672611.154624165,785683.25722235,882008.8835566936,977730.1251954782,1114248.5494607212,327333.7121159164,344374.68743256625,363558.100246488,390449.2855369121,419637.2894712101,461572.2311448176,497830.33776843926,540970.1102345011,581449.5400547165,617117.1520708726,livestock,1.2
1.3,वानिकी और लट्ठा बनाना ,124436.03267007475,137558.44642770087,156673.75135628635,173760.2630713424,184411.4665318195,205363.7102102032,217603.3615499352,255052.95960013973,260602.58639728246,265479.1678154487,124436.03267007475,124742.5185133768,132093.4181800215,134609.04742216825,136960.03569202064,144547.26015685647,152350.68290034565,163949.3132781558,164415.52213552364,165623.92918932106,forestry and logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,68026.53803297665,79911.49453635002,98189.64251904843,116567.10309046664,132719.96254003045,154642.85136000035,193275.0434847152,212086.65348789853,228065.23061539835,232619.82346322018,68026.53803297665,71362.40508086115,76487.038678874,82232.10980365537,90204.7904610499,99627.32020646949,114730.43357605374,124467.85281422053,129893.29795902137,137715.8630948962,fishing and aquaculture,1.4
2,खनन और उत्खनन,261035.3690222151,285842.008066873,295794.3434074691,308476.04717960476,294011.15310835664,326807.91203211533,336109.13375364,377661.0832156067,358517.2661839046,324979.75384442124,261035.3690222151,262608.7984078688,263106.61499319767,288685.45623932855,317973.81015943486,349247.71135668084,329612.05334518506,326814.5692261939,321766.38240739575,294024.2986688783,Mining and quarrying,2
3,विनिर्माण,1409985.5710054673,1572836.896506867,1713451.600619872,1878369.1486415109,2146188.7990969326,2333721.354783878,2566623.364295771,2812559.955627571,2704809.405035696,2709435.3291242635,1409985.5710054673,1486873.2588041215,1560709.1164566837,1683937.5543031949,1903849.5871895216,2054764.3440882822,2209427.7631577016,2328992.2033938267,2261293.864153989,2247740.007666398,Manufacturing,3
3.1,"खाद्य उत्‍पाद,  पेय पदार्थ और तम्‍बाकू ",167524.26127061233,168227.13058415626,175673.0850629547,185898.85030485806,213832.33793202427,259667.80407413893,278088.6082254368,335678.7667100412,331335.7960346584,354722.4909968471,167524.26127061233,154539.66188733777,153560.42906122847,157637.47736909412,183149.8457949953,202963.83472407603,214366.24733238752,258682.68124027248,248140.41464762646,257363.0079630238,"Food Products, Beverages and Tobacco",3.1
3.2,"वस्‍त्र, परिधान और चर्म उत्‍पाद ",153237.52548529636,187981.13966545387,246424.25186128978,249572.89829257035,300357.1499104124,303154.9108234691,332469.857260376,366299.06675928057,356180.22117319127,289304.3488648018,153237.52548529636,177397.87029782985,216410.92274339212,216428.79099213565,258935.80231627892,261079.07826524993,280872.5774112064,300013.4869333381,293770.8204847097,239573.83716461665,"Textiles,  Apparel and Leather Products",3.2
