Unnamed: 0,Unnamed: 1,विवरण 1.9 : सकल पूंजी निर्माण के लिए वित्‍त,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Statement 1.9: Finances for Gross Capital Formation,,,,,,,,,,,
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,
,,( ₹ करोड़),,,,,,( ₹ crore),,,,,
,,,,,,,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,2,1
1,सकल बचत ,3026836.9392938353,3369201.5357150966,3608192.7832840965,4019957.209045438,4282259.471954455,4825113.265686777,5480741.010731375,6000390.311951999,5995941.972115704,5592446.214884788,Gross Savings,1
1.1,गैर-वित्‍तीय निगम ,847134,992193,1203536,1417052.5863944837,1677184.3329469794,1811018.7332439055,2005373.6508999674,2061217.4460734,2125181.087809707,1990077.0195503288,Non-financial corporations,1.1
1.1.1,सार्वजिनक गैर-वित्‍तीय निगम ,123769,123981,126250,129108.26305299999,154015.1723742091,172186.04191842905,237483.12305051013,250796.94244892662,291751.7851482966,276059.4341458294,Public non-financial corporations,1.1.1
1.1.1.1,विभागीय उद्यम ,24723,31282,32688,39253,47620.2387382091,44300.31678092905,50352.26811301017,55128.40371932658,53161.406867396625,52898.27987780526,Departmental enterprises,1.1.1.1
1.1.1.2,गैर-विभागीय उद्यम ,99046,92699,93562,89855.26305299999,106394.93363599999,127885.7251375,187130.85493749997,195668.53872960003,238590.3782809,223161.15426802414,Non-departmental enterprises,1.1.1.2
1.1.2,निजी गैर-वित्‍तीय निगम ,723365,868212,1077286,1287944.3233414837,1523169.1605727703,1638832.6913254764,1767890.5278494572,1810420.5036244735,1833429.3026614103,1714017.5854044994,Private non-financial corporations,1.1.2
1.2,वित्‍तीय निगम ,272370.5594587098,300625.94156803907,293084.4635666106,339027.464647491,291640.5427784619,348409.13600238436,387027.6773931405,353718.60054558713,582945.5384110503,557263.4145344736,Financial corporations,1.2
1.2.1,सार्वजिनक गैर-वित्‍तीय निगम ,168930.58,174833.18,163183.81,169907.90037601665,176513.48377937177,215258.30731356627,237126.84630457498,177963.67436646676,312171.71168169996,285034.60609470005,Public financial corporations,1.2.1
1.2.1.1,विभागीय उद्यम ,4284,5172,5961,6722,7877.92,7158.8,8217.78,8450.67,8874.694579,7714.011928,Departmental enterprises,1.2.1.1
1.2.1.2,गैर-विभागीय उद्यम ,164646.58,169661.18,157222.81,163185.90037601665,168635.56377937176,208099.50731356628,228909.06630457498,169513.00436646675,303297.01710269996,277320.59416670003,Non-departmental enterprises,1.2.1.2
1.2.2,निजी वित्तीय निगम ,103439.97945870979,125792.76156803907,129900.65356661062,169119.56427147437,115127.0589990901,133150.82868881812,149900.83108856552,175754.92617912038,270773.82672935043,272228.80843977345,Private financial corporations,1.2.2
1.3,सामान्य सरकार ,-158234,-158897,-173729,-175227.31743899203,-161478.39026035002,-121448.84874371073,-208256.70874982572,-259127.30161819942,-641332.3653578765,-1345477.976801587,General Government,1.3
1.4,पारिवारिक क्षेत्र ,2065566.3798351255,2235279.5941470577,2285301.319717486,2439104.475442455,2474912.9864893635,2787134.245184198,3296596.391188093,3844581.56695121,3929147.711252823,4390583.757601572,Household sector,1.4
1.4.1,सकल वित्‍तीय बचत #,932728.7878060063,1064040.80251587,1190770.1401411968,1257247.3196157701,1496232.2556655752,1614677.016562983,2056404.9978400536,2263690.351952393,2399086.864327866,3108997.037723073,Gross financial saving#,1.4.1
1.4.2,घटाकर वित्‍तीय देयताएं #,290119.63,330424.96,358678.8745,376831.5294,385387.58,468647.9241234679,750699.5528068256,771245.3980843958,786619.3076042023,805288.7012008997,Less Financial liabilities#,1.4.2
1.4.3,भौतिक परिसंपत्‍तियों में बचत ,1389322.2220291193,1465013.4190560165,1416428.0487432329,1513126.6757230908,1317599.4805782316,1594573.218027776,1944226.260845467,2309463.157915194,2273544.095474333,2048431.9209189457,saving in physical assets,1.4.3
1.4.4,सोने एवं चांदी के आभूषणों के रूप में बचत,33635,36650.3325751712,36782.00533305604,45562.0095035939,46468.830245556695,46531.93471690672,46664.68530939815,42673.45516801847,43136.05905482594,38443.50016045396,saving in the form of gold and silver ornaments,1.4.4
2,शेष विश्‍व से निवल पूंजी अप्रवाह ,376171,477920,185942.40616925154,159821.5217283941,140399.10193515802,92963.78016648348,310831.5273624421,395662.46032374445,165270.7078648759,-189336.23863492254,net capital inflow from ROW,2
3,सकल पंजी निर्माण हेतु वित्‍त (1+2),3403007.9392938353,3847121.5357150966,3794135.189453348,4179778.730773832,4422658.573889613,4918077.045853261,5791572.5380938165,6396052.772275743,6161212.67998058,5403109.976249865,finances for gross capital formation (1+2),3
4,ज्ञापन मद ,51012.3703,66790.0336,67084.2635,74742.5876,83762,98635.9684,99530.3239,117242.01109999999,124510.10630000001,151337.4418,Memorandum items,4
4.1,विदेशी कंपनियों की प्रतिधारित आय घटाकर निजी निगमित क्षेत्र की बचत  ,39321,53737,54424,61133,68342,82787.1413,80840.12887,95670.752,100560.5026,125600.0482,Reinvested earnings of foreign companies in private corporations deducted from savings of private corporations,4.1
4.2,सहकारी बैंकों और संस्‍थाओं की बचतें ,11691.3703,13053.0336,12660.2635,13609.5876,15420,15848.8271,18690.19503,21571.2591,23949.6037,25737.3936,Savings of co-operatives banks & societies,4.2
# पारिवारिक क्षेत्र की सकल वित्तीय बचत एवं वित्तीय देयताओं में अर्ध निगमित क्षेत्र की सकल वित्तीय बचत एवं वित्तीय देयताएं सम्मिलित हैं।,,,,,,,,,,,,,
# Gross financial savings & liabilities for household sector includes gross financial savings & liabilities for quasi corporate sector.,,,,,,,,,,,,,
