Unnamed: 0,"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2011-12",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,"Statement 4.2: Expenditure of General Government classified by function*, 
COFOG (At current prices) 2011-12",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,(₹करोड़),,,,,,,,,,,,,,,,,,,,,(₹ Crore),,
क्र. सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,Item,Sl.No.
,,,,,,"general administration, regulation & research","agriculture,
forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,275415,165000,107625,458885,5748,148250,113594,42015,19297,45657,84324,1076,53596,80041,11712,68329,11746,344922,14588,330334,105406,1603711,current expenditure,1
1.1,उपभोग व्यय ,96873,164583,104305,70937,2911,25454,6041,8785,7978,16722,3046,559,11892,60532,8459,52073,5930,179802,8257,171545,40531,735944,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,75341,121749,97605,46914,4950,18990,4107,3259,5091,7483,3035,182,9050,50244,6942,43302,3379,164166,7489,156677,17092,585722,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,21532,42834,6700,24023,-2039,6464,1934,5526,2887,9239,11,378,2842,10288,1517,8771,2551,15636,768,14868,23439,150222,net purchase of commodities and services,1.1.2
1.2,आर्थिक सहायता,109,0,13,333235,455,100505,98178,29962,25,25337,78771,2,1285,403,0,403,1431,394,0,394,14742,351614,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,178432,417,3307,54713,2381,22290,9374,3269,11293,3598,2507,515,40418,19106,3253,15853,4384,164727,6331,158395,50133,516152,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,30004,0,133,8008,325,2765,546,114,1792,2116,351,68,30508,4453,1524,2929,564,49742,544,49198,10173,133653,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,148428,417,3175,46705,2056,19525,8829,3155,9502,1482,2157,447,9910,14652,1729,12923,3820,114985,5788,109197,39960,382499,other current transfers,1.3.2
2,पूंजीगत व्यय ,83122,71357,8478,170023,30790,21449,8263,19791,10780,75745,3205,600,56198,7633,508,7124,2782,40323,3905,36418,13064,453579,capital Expenditure,2
2.1,सकल पूंजी निर्माण ,28732,71357,7624,79072,1147,9117,2639,2393,7822,53930,2024,148,19096,6203,490,5713,1819,17517,414,17103,5457,237024,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,28169,71357,7631,77509,1136,8433,2639,2393,7741,53213,1955,148,19144,6198,490,5708,1819,17490,414,17076,5325,234788,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,563,0,-7,1563,11,685,0,0,81,717,69,0,-47,5,0,5,0,27,0,27,132,2236,CIS,2.1.2
2.2,पूंजी हस्तांतरण,54390,0,854,90951,29643,12332,5624,17398,2958,21815,1181,452,37102,1430,18,1411,963,22806,3491,19315,7607,216555,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,1655,0,0,52224,29572,3340,4,110,859,18329,10,12,29506,0,0,0,158,1093,0,1093,3961,88610,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,52735,0,854,38727,71,8992,5620,17288,2100,3486,1171,440,7596,1430,18,1411,805,21713,3491,18222,3646,127946,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,6451,1397,59,52321,11668,6006,3709,17815,431,11659,1033,0,2704,51,-1,52,264,19,13,6,924,64189,net Investment in Stock,3.1
3.2,ऋण और अग्रिम,11844,0,0,46632,77,156,1323,20875,1731,1381,21090,0,8998,81,0,81,17,81,9,72,760,68413,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,4,0,0,1044,0,66,71,120,741,5,41,0,2329,1,0,1,2,0,0,0,0,3381,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,11839,0,0,45588,77,90,1252,20755,990,1375,21049,0,6669,80,0,80,15,81,9,72,760,65032,loans & advances to domestic sector,3.2.2
4,कुल व्यय,376832,237754,116161,727861,48282,175861,126889,100496,32238,134442,109652,1676,121496,87805,12219,75586,14808,385345,18515,366830,120154,2189892,Total expenditure,4
5,अंतिम उपभोग व्यय,96873,164583,104305,70937,2911,25454,6041,8785,7978,16722,3046,559,11892,60532,8459,52073,5930,179802,8257,171545,40531,735944,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,0,0,0,0,0,0,52073,0,52073,5930,171545,0,171545,36152,265700,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,96873,164583,104305,70937,2911,25454,6041,8785,7978,16722,3046,559,11892,8459,8459,0,0,8257,8257,0,4379,470244,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
