"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2019-20",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"Statement 4.2: Expenditure of General Government classified by function*, COFOG (At current prices), 2019-20
",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़),,,,,,,,,,,,,,,,,,,,,,(₹ crore),,
क्र.सं.,मद,सामान्‍य सार्वजिनक सेवाएं ,रक्षा ,सार्वजनिक व्यवस्था और सुरक्षा ,आर्थिक कार्य ,"सामान्‍य प्रशासन, विनियमन और अनुसंधान ","कृषि, वानिकी और मत्‍स्‍यन ","खनन, विनिर्माण और निर्माण ","बिजली, गैस, भांप और अन्‍य स्रोत ",जलापूर्ति ,परिवहन और संचार ,अन्‍य आर्थिक सेवाएं ,पर्यावरण संरक्षण ,हाउसिंग और सामुदायिक सुविधाएं ,स्‍वास्‍थ्‍य ,"प्रशासन, विनियमन और अनुसंधान ",स्‍वास्‍थ्‍य सेवाएं ,"मनोरंजन, संस्‍कृति और धर्म ",शिक्षा ,"प्रशासन, विनियमन और अनुसंधान",शिक्षा संबंधी सेवाएं ,सामाजिक संरक्षण ,कुल ,item,S.No.
,,,,,,"general administration, regulation & research","agriculture,forestry & fishing ","mining, manufacturing &  construction","electricity,gas,steam and other sources of energy",water supply,transport and communication,other economic services,,,,"administration, regulation & research",health services,,,"administration,  regulation & research",educational services,,,,
1,2,3,4,5,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,7,8,9,9.1,9.2,10,11,11.1,11.2,12,13,2,1
1,पूंजीतर व्यय,562460.51,382988.21,301916.43,968799.09,31306.63,336404.17,154271.82,146058.97,32380.51,106670.53,161706.44,1420.22,202086.87,238914.4,39306.5,199607.9,23334.1,847144.56,48848.08,798296.48,347905.14,3876969.53,Current expenditure,1
1.1,उपभोग व्यय ,189048.63,381792.64,296823.98,114723.53,11017,51818.99,11629.09,5008.86,18353.96,8794.67,8100.96,245.37,36300.53,154638.6,23749.05,130889.55,10580.4,455508.77,20374.99,435133.78,77087.69,1716750.14,consumption Expenditure ,1.1
1.1.1,कर्मचारियों का पारिश्रमिक,150116.430418553,317499.753372405,282608.123520084,91626.086287941,10619.654114349,38473.835310767,8716.299624804,5147.312078147,10759.637836087,10766.079767318,7143.267556469,119.845078454,31387.55527649,124780.219695441,15771.348266144,109008.871429297,5519.627456611,417625.341009208,19958.58782778,397666.753181429,34501.355387719,1455784.3375029,compensation of Employees,1.1.1
1.1.2,वस्तुओं और सेवाओं का निवल क्रय,38932.198539284,64292.889014,14215.854288,23097.440034148,397.347097,13345.15325,2912.786302148,-138.453109,7594.321026,-1971.409836,957.695304,125.527389,4912.975964,29858.380771971,7977.703381,21880.677390971,5060.7746455,37883.427842561,416.4050475,37467.022795061,42586.3309235,260965.799411964,net purchase of commodities and services,1.1.2
