विवरण 5.2: परिवार और सामान्य सरकार द्वारा व्यक्तिगत उपभोग व्यय (₹ करोड़),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,विवरण 5.2: परिवार और सामान्य सरकार द्वारा व्यक्तिगत उपभोग व्यय (₹ करोड़).1,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
Statement 5.2: Individual Consumption Expenditure by Households and General Government (₹ crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statement 5.2: Individual Consumption Expenditure by Households and General Government (₹ crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद,प्रचलित भावों पर at Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर at Constant (2011-12) prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item,S.no
,,2011-12,,,2012-13,,,2013-14,,,2014-15,,,2015-16,,,2016-17,,,2017-18,,,2018-19,,,2019-20,,,2020-21,,,2011-12,,,2012-13,,,2013-14,,,2014-15,,,2015-16,,,2016-17,,,2017-18,,,2018-19,,,2019-20,,,2020-21,,,,
,,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,परिवारों का व्यक्तिगत उपभोग व्यय,सामान्य सरकार का व्यक्तिगत उपभोग व्यय,वास्तविक व्यक्तिगत उपभोग व्यय,,
,,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,Household individual consumption expenditure,General government individual consumption expenditure,Actual individual consumption,,
1,खाद्य एवं गैर-एल्‍कोहलिक पेय पदार्थ,1499739,0,1499739,1750949,0,1750949,2060368,0,2060368,2248184,0,2248184,2382981,0,2382981,2790592.502,0,2790592.502,2979126.78401308,0,2979126.78401308,3192277.25128611,0,3192277.25128611,3550169.73528441,0,3550169.73528441,3901243.39899704,0,3901243.39899704,1499739,0,1499739,1590262,0,1590262,1705929,0,1705929,1726037,0,1726037,1757094,0,1757094,1960704.402,0,1960704.402,2028838.02476801,0,2028838.02476801,2138228.30106127,0,2138228.30106127,2262462.36778469,0,2262462.36778469,2350499.84824741,0,2350499.84824741,Food and non-alcoholic beverages,1
2,"एल्‍कोहलिक पेय पदार्थ, तम्‍बाकु और स्‍वापक",137226,0,137226,142462,0,142462,157578,0,157578,185995,0,185995,199926,0,199926,213642.555,0,213642.555,223073.293446421,0,223073.293446421,265501.068291107,0,265501.068291107,281276.704792036,0,281276.704792036,260411.274857518,0,260411.274857518,137226,0,137226,128240,0,128240,129155,0,129155,141540,0,141540,140695,0,140695,141558.8,0,141558.8,139921.67,0,139921.67,158876,0,158876,160526.29,0,160526.29,135254.05,0,135254.05,"Alcoholic beverages, tobacco and narcotics",2
3,वस्‍त्र तथा जूते,311547,0,311547,353906,0,353906,460752,0,460752,504961,0,504961,582256,0,582256,614007.388,0,614007.388,654032.715831751,0,654032.715831751,711433.134930157,0,711433.134930157,715425.581661149,0,715425.581661149,575120.452853786,0,575120.452853786,311547,0,311547,315843,0,315843,376565,0,376565,385708,0,385708,421084,0,421084,423289.21,0,423289.21,431283.094813895,0,431283.094813895,448974.248179416,0,448974.248179416,443420.656997453,0,443420.656997453,344804.757220843,0,344804.757220843,Clothing and footwear,3
4,"आवास, जल, बिजली, गैस और अन्‍य र्इंधन",807280,0,807280,926534,0,926534,1048004,0,1048004,1151035,0,1151035,1218172,0,1218172,1302832.353,0,1302832.353,1426755.08092997,0,1426755.08092997,1564021.13177526,0,1564021.13177526,1659885.19829581,0,1659885.19829581,1732262.71927121,0,1732262.71927121,807280,0,807280,852994,0,852994,907005,0,907005,952309,0,952309,980421,0,980421,1011258.539,0,1011258.539,1041282.15661193,0,1041282.15661193,1077369.87563735,0,1077369.87563735,1116104.41640103,0,1116104.41640103,1126040.44366768,0,1126040.44366768,"Housing, water, electricity, gas and other fuels",4
5,"सामान, घरेलू उपकरण और दिनचर्या घर के रखरखाव",158414,0,158414,180127,0,180127,207553,0,207553,230862,0,230862,248962,0,248962,274095.458,0,274095.458,298067.278327973,0,298067.278327973,341306.307507249,0,341306.307507249,350063.271949136,0,350063.271949136,306878.000339583,0,306878.000339583,158414,0,158414,169339,0,169339,186406,0,186406,198844,0,198844,218654,0,218654,225875.815,0,225875.815,239764.45028182,0,239764.45028182,267200.069261836,0,267200.069261836,271694.094135299,0,271694.094135299,235370.028158692,0,235370.028158692,"Furnishings, household equipment and routine household maintenance",5
6,स्‍वास्‍थ्‍य,181334,52073,233407,214348,58267,272615,248829,58771,307600,300261,71053,371314,349659,86326,435986,410904.879,98793.421,509698.30000000005,447295.838668454,105750.36,553046.198668454,518150.779939343,115976.297038312,634127.076977655,591634.842580595,130889.548820268,722524.3914008631,609189.709923618,145951.348193209,755141.058116827,181334,52073,233407,198663,53183,251846,216675,49176,265851,248443,56612,305055,274549,66611,341160,308487.147,73510,381997.147,321772.418292536,77896,399668.418292536,348102.640201104,79643,427745.640201104,373790.019320568,85707,459497.019320568,366121.587789902,91940,458061.587789902,Health,6
7,परिवहन,744691,0,744691,824901,0,824901,907412,0,907412,1004479,0,1004479,1218671,0,1218671,1378753.161,0,1378753.161,1644737.89625681,0,1644737.89625681,1880331.38630438,0,1880331.38630438,2090046.63982536,0,2090046.63982536,1759378.36815784,0,1759378.36815784,744691,0,744691,775715,0,775715,800894,0,800894,856691,0,856691,973634,0,973634,1074789.002,0,1074789.002,1288064.21940067,0,1288064.21940067,1406812.29351478,0,1406812.29351478,1523323.53730705,0,1523323.53730705,1227935.79075303,0,1227935.79075303,Transport,7
8,संचार,114138,0,114138,126680,0,126680,142173,0,142173,179945,0,179945,188699,0,188699,195374.24,0,195374.24,243560.939046843,0,243560.939046843,281539.649163983,0,281539.649163983,293567.31512121,0,293567.31512121,296742.508215743,0,296742.508215743,114138,0,114138,119414,0,119414,125215,0,125215,154098,0,154098,160885,0,160885,161963.06,0,161963.06,196358.105112602,0,196358.105112602,216349.006987346,0,216349.006987346,220933.788506672,0,220933.788506672,207584.260798603,0,207584.260798603,Communication,8
9,मनोविनोद और संस्‍कृति,50721,5930,56651,54517,6223,60740,60442,5945,66387,68613,6244,74857,71048,1431,72479,74767.489,8479.602,83247.091,86777.325523555,9974.094,96751.419523555,96667.88402757,10505.998876087,107173.88290365701,101501.519171936,10580.402102111,112081.921274047,92642.702420272,11309.259278591,103951.961698863,50721,5930,56651,51992,5703,57695,54432,5020,59452,57563,5116,62679,56769,699,57468,57965.607,6660,64625.607,65829.890378093,7884,73713.890378093,70109.406031322,7870,77979.406031322,70942.937962532,7663,78605.937962532,63081.657445804,7869,70950.657445804,Recreation and culture,9
10,शिक्षा,182378,171545,353923,211470,193568,405038,240539,219398,459937,274933,231262,506195,320021,263876,583897,370421.517,298042.64,668464.157,431108.27856,354851.547,785959.82556,509961.63978,413932.413590331,923894.053370331,556069.57218,435133.775976489,991203.348156489,555020.9289,476873.68587219,1031894.6147721901,182378,171545,353923,193725,176424,370149,204453,183374,387827,218080,182450,400530,238911,199432,438343,262505.504,215447,477952.504,292494.930822,245754,538248.930822,324526.943988,269722,594248.943988,335527.407216,268711,604238.407216,325812.109752,286742,612554.1097520001,Education,10
11,जलपान गृह और होटल,116491,0,116491,129318,0,129318,138559,0,138559,149064,0,149064,163937,0,163937,180275,0,180275,202240,0,202240,232413,0,232413,256598,0,256598,118990,0,118990,116491,0,116491,120632,0,120632,121436,0,121436,128614,0,128614,144540,0,144540,156068.739,0,156068.739,168871.075404938,0,168871.075404938,185900.655895057,0,185900.655895057,201632.877573472,0,201632.877573472,92671.339563863,0,92671.339563863,Restaurants and hotels,11
12,विविध वस्‍तुएं और सेवाएं,632039,36152,668191,735948,41997,777946,843777,45890,889667,983335,44651,1027986,1228651,47621,1276271,1370423.887,51294.886,1421718.773,1460648.52570186,50164.033,1510812.55870186,1663610.30856578,60295.102752269,1723905.411318049,1852493.07255122,64695.860591816,1917188.933143036,1807093.86625282,78063.748979921,1885157.615232741,632039,36152,668191,696579,38559,735138,765018,39126,804144,874867,36810,911677,1056639,39241,1095880,1160176.093,40759,1200935.093,1169573.95015705,39393,1208966.95015705,1251330.93924795,45033,1296363.93924795,1329937.57717969,46478,1376415.57717969,1274142.68177199,54083,1328225.68177199,Miscellaneous goods and services,12
,कुल,4935996,265700,5201696,5651159,300055,5951214,6515986,330005,6845991,7281668,353210,7634878,8172982,399254,8572237,9176090.429,456610.548,9632700.977,10097423.9563067,520740.035,10618163.9913067,11257213.5415709,600709.812257,11857923.3538279,12298731.4534129,641299.58749069,12940031.04090359,12014973.9301894,712198.04232391,12727171.97251331,4935996,265700,5201696,5213398,273869,5487267,5593183,276696,5869879,5942795,280988,6223783,6423875,305983,6729858,6944641.919,336376,7281017.919,7384053.98604354,370927,7754980.98604354,7893780.38000544,402268,8296048.38000544,8310295.97038447,408559,8718854.970384471,7749318.55516981,440634,8189952.55516981,TOTAL,
