विवरण 6.2:  बाह्य लेन-देनों के चयनित समाहार,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
STATEMENT 6.2: SELECTED AGGREGATES OF  EXTERNAL TRANSACTIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(₹ करोड़),स्थिर (2011-12) भावों पर                 At constant (2011-12) Prices,,,,,,,(₹ crore),,,,
,,,,,,,,,,,,,
क्र. सं.,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,2,1
1,वस्तुओं और सेवाओं का निर्यात,2143931,2289836,2468269,2512145,2370282,2488422.579,2602011.7980648,2912480.4826,2813609.3812,2553682.9491,Exports of goods & services,1
1.1,वस्‍तुएं (व्यापार के अंतर्गत वस्तुओं के निवल निर्यात सहित),1466233,1554420,1664289,1694158,1517032,1585760.805,1609387.3668226,1815256.8939,1704372.8332,1463783.7865,Goods (including net exports of goods under merchanting),1.1
1.2,सेवाएं,677698,735416,803979,817987,853250,902661.774,992624.4312422,1097223.5887,1109236.548,1089899.1626,Services,1.2
2,शेष विश्‍व से कर्मचारियों का पारिश्रमिक,11798,15524,17443,18411,19890,21645.841,22680,24997.0004,29263.5326,31705.5469,compensation of employees from rest of the world,2
3,शेष विश्‍व से संपत्ति और उद्यमशीलता से आय,36573,36389,42797,50934,61449,67908.367,73292,90105.7078,101738.4305,78551.5426,property and entrepreneurial income from rest of the world,3
4,वस्तुओं और सेवाओं का आयात,2715554,2879079,2644555,2667595,2511540,2621592.781,3078273.8077992,3349860.5711,3321585.7123,2862871.2681,Imports of goods & services,4
4.1,वस्‍तुएं,2345463,2471444,2227911,2245679,2043205,2094668.977,2480314.9122807,2684950.5712,2654368.9439,2241456.8203,Goods,4.1
4.2,सेवाएं,370091,407635,416644,421916,468335,526923.804,597958.8955185,664909.9999,667216.7684,621414.4478,Services,4.2
5,शेष विश्‍व को कर्मचारियों का पारिश्रमिक,9611,10902,14862,14142,12376,13977.329,11698,12535.2225,14024.3685,14828.7492,compensation of employees to rest of the world,5
6,शेष विश्‍व को संपत्ति और उद्यमशीलता से आय,115584,149366,167721,179889,203886,220151.55,230161.449297,255007.6756,258681.9904,285623.0226,property and entrepreneurial income to rest of the world,6
7,शेष विश्व से निवल प्राथमिक आय {(2 + 3) - (5 + 6)},-76824,-108354,-122343,-124687,-134922,-144574.67,-145887.6107033,-152440.1899,-141704.3958,-190194.6824,net primary income from rest of the world{(2+3)-(5+6)},7
