"विवरण 7.1:  उद्योगों के अनुसार उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष/मिश्रित आय ( प्रचलित भावों पर, ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
"Statement 7.1: Output, Value Added, CE, OS/MI by industry  (at current prices, ₹  crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्रं सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
1,"कृषि, वानिकी और मत्‍स्‍यन",1945111,443163,1501948,-42693,95680,230472,1218487,2196100,520993,1675105,-50320,111706,254503,1359218,2527905,601534,1926372,-54624,129740,291107,1560147,2730186,636574,2093612,-77138,145111,317719,1707918,2891909,664373,2227534,-74764,157393,338234,1806672,3242943.8810000005,724281.8610000001,2518662.0209999997,-69987.993,170621.566,380389.837,2037638.613,3540475.203,710649.3500000001,2829825.853,-89431.636,183920.905,431249.74,2304086.841,3802798.875337,772873.8293600001,3029925.0459760004,-101562.89723700001,199858.359751,453039.3506860001,2478590.2327799997,4195588.813956001,837225.0939669998,3358363.719986,-106677.91994999998,217672.67965300003,498151.710988,2749217.2492980002,4481820.4124,872326.173947,3609494.2384529994,-116498.65218800001,239041.455079,534954.7975239999,2951996.638035,"Agriculture, forestry & fishing",1
1.1,फसलें,1228507,246355,982150,-36569,81177,197595,739948,1372510,283696,1088814,-42485,95334,216906,819059,1579335,330560,1248776,-46520,111172,247530,936594,1643219,350345,1292873,-65791,124814,264823,969029,1682297,354305,1327992,-65105,136089,279421,977586,1865271.773,379227.46900000004,1486044.3050000002,-59075.573000000004,147961.082,314148.011,1083010.785,2010863.837,377599.648,1633264.19,-77138.081,159220.67200000002,353633.18,1197548.4170000001,2099358.074068,418581.524736,1680776.549331,-89593.24340800001,172407.64724700002,366606.83906300005,1231355.306431,2341166.5526360003,449200.774856,1891965.7777789999,-92783.29753899999,187780.30913,403893.8624,1393074.90379,2477185.816152,480039.118438,1997146.697714,-101655.62661400001,206235.46245,430801.11945,1461765.7424259998,crops,1.1
1.2,पशुधन,487751,160418,327334,830,5149,18087,303267,564937,196114,368822,949,6054,20408,341411,646179,223446,422732,847,6969,23429,391487,742807,232396,510411,869,7612,28610,473319,833499,251088,582409,920,7645,32576,541269,950677.0190000001,278065.864,672611.155,752.59,8168.429,37407.26,626282.877,1043078.993,257395.73500000002,785683.258,1075.951,9039.174,43299.888,732268.243,1149782.5604949999,267773.676938,882008.883557,1237.525263,10077.549432,48705.517898000006,821988.2909639999,1275992.824915,298262.69971799996,977730.125195,1559.682738,10581.766841,54040.544143,911548.131473,1414590.054478,300341.505017,1114248.549461,1861.8054009999998,11480.717009999998,61542.645775,1039363.381276,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,148748,24312,124437,-6943,1367,7772,122241,164356,26798,137558,-8740,1514,8876,135910,187083,30409,156674,-8885,1629,9771,154158,207931,34171,173761,-12122,1710,11851,172320,220422,36010,184412,-10475,1733,12002,181152,245415.29100000003,40051.581000000006,205363.71000000002,-11595.23,1887.2930000000001,12095.44,202976.207,259772.989,42169.626000000004,217603.36200000002,-13216.881,2082.327,13478.815999999999,215259.1,304551.001574,49498.041974,255052.9596,-13008.398826,2342.3962159999996,14702.918759,251016.043452,311087.540985,50484.954588,260602.586397,-15255.811231,2510.083145,15502.432417,257845.882067,316973.15635,51493.988535,265479.167815,-16460.328238000002,2729.814558,17514.900730999998,261694.780763,forestry & logging,1.3
