"विवरण 7.1 क:  उद्योगों के अनुसार सार्वजनिक क्षेत्र से उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष (प्रचलित भावों पर, ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
"Statement 7.1A: Output, Value Added, CE, OS by industry for Public Sector (at current prices, ₹  core)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
1,"कृषि, वानिकी और मत्‍स्‍यन",49748,8082,41666,-39216,12672,21956,46254,57280,9533,47746,-46303,14266,24218,55566,62124,11228,50897,-48348,15828,25861,57555,66264,12542,53722,-53908,17142,29744,60744,62779,11285,51495,-48033,18636,30759,50132,64622.58,11835.09,52787.49,-50550.76000000001,20125.893,30940.520000000004,52271.837,69788.793,14331.81,55456.983,-51971.352999999996,21517.107,34336.44,51574.789,72905.56855100002,14796.44,58109.12855099999,-53983.908551,23096.496759999998,36162.551371,52833.988972,77215.63264,15347.679999999998,61867.952639999996,-61540.602640000005,24753.023679,37792.911371,60862.620232999994,84815.30478199999,16994.530000000002,67820.774782,-65510.434782000004,26877.398648,42188.471371,64265.339544,"Agriculture, forestry & fishing",1
1.1,फसलें,37386,5124,32262,-32275,11344,14204,38989,43314,6140,37174,-37565,12797,15365,46577,46430,7134,39297,-39430,14251,16209,48267,48318,8098,40219,-41783,15493,18092,48418,45533,7602,37932,-37574,16982,18988,39536,46941.95,8167.05,38774.9,-38976.01,18333.235,19109.53,40308.145,49533.047,9901.08,39631.967,-38801.087,19544.22,20885.66,38003.174,51536.883813,10681.73,40855.153813,-40992.233813,20888.023477,21434.314008,39525.050142,55249.45847,11523.52,43725.93847,-46322.04847,22404.973039,22230.704008,45412.309894,60034.225171,12612.57,47421.655171,-49097.055171,24339.996208,24614.414008,47564.300125,crops,1.1
1.2,पशुधन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.41,67.35,64.06,10,0,31.08,22.98,156.22,64.21,92.01,18.33,0,31.6,42.08,102.23,68.67,33.56,0.49,0,45.497363,-12.427363,127.84,58.07,69.77,11.36,0,36.007363,22.402638,127.84,58.07,69.77,11.36,0,36.007363,22.402638,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,11860,2475,9385,-6930,1325,7729,7261,13478,2926,10551,-8726,1465,8828,8985,15181,3571,11610,-8871,1573,9627,9281,17906,4408,13498,-12091,1646,11624,12319,17181,3638,13543,-10439,1651,11744,10586,17482.81,3555.09,13927.72,-11575.84,1789.218,11772.94,11941.402,20038.456,4340.94,15697.516,-13170.276,1969.34,13383.31,13515.142,21170.494738,3995.28,17175.214738,-12948.264738,2204.50539,14615.09,13303.884086,21733.94417,3711.96,18021.98417,-15192.40417,2343.80783,15454.97,15415.610511,24548.849611,4269.76,20279.089611,-16387.229611,2532.898565,17466.82,16666.600656,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,502,483,19,-11,3,23,4,488,467,21,-12,4,25,4,513,523,-10,-47,4,25,7,40,36,5,-34,3,28,7,65,45,20,-20,3,27,10,66.41,45.6,20.81,-8.91,3.44,26.97,-0.69,61.07,25.58,35.49,-18.32,3.547,35.87,14.393,95.96,50.76,45.2,-43.9,3.967893,67.65,17.482107,104.39,54.13,50.26,-37.51,4.24281,71.23,12.29719,104.39,54.13,50.26,-37.51,4.503875,71.23,12.036125,fishing and aquaculture,1.4
