"विवरण 7.1 ख:  उद्योगों के अनुसार निजी निगमों से उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष(प्रचलित भावों पर, ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
"Statement 7.1B: Output, Value Added, CE, OS by industry for Private Corporations (at current prices, ₹  crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
1,"कृषि, वानिकी और मत्‍स्‍यन",53711,17296,36415,40,601,23354,12420,65404,22122,43282,45,768,25934,16535,78997,30163,48833,119,1073,29649,17992,108503,47203,61300,201,1404,41701,17993,104670,44649,60019,174,1727,49954,8166,111056.153,43393.72,67662.434,148,1991.865,58057.72,7464.848,108092.72199999998,35009.880999999994,73082.84199999999,174.934,2216.978,70332.85299999999,358.0749999999998,114800.415175,37199.31202,77601.10315400001,250.716277,2430.024031,77336.967926,-2416.605078,119054.009961,40751.709938,78302.30002200001,219.451999,2668.820111,77279.53736999999,-1865.509457,125418.16854700001,39222.503527,86195.66502000001,196.37678200000002,2714.7331350000004,87211.72526,-3927.1701580000004,"Agriculture, forestry & fishing",1
1.1,फसलें,39003,4811,34191,26,511,22682,10972,46408,5703,40705,27,633,25115,14930,51374,6209,45165,75,808,28465,15817,62710,7648,55062,113,1009,39816,14125,61425,7522,53902,91,1228,47996,4587,69547.698,8543.681,61004.018,98,1422.43,56044.39,3439.197,77841.544,9990.338,67851.207,95.216,1603.07,69090.021,-2937.101,82849.011985,10671.878241,72177.133744,137.645245,1771.41402,75768.780915,-5500.706435,85440.596431,11332.898408,74107.698023,105.233579,1970.58145,75667.090342,-3635.207347,94222.095218,12440.069607,81782.025611,128.77132,2009.038564,85499.897624,-5855.681897,crops,1.1
1.2,पशुधन,7846,6667,1180,2,31,366,781,10283,9004,1279,2,57,451,769,13573,11973,1599,9,91,562,937,26567,23496,3071,34,148,1017,1871,26264,23304,2959,41,187,1002,1730,19038.9,16186.46,2852.44,8,210.179,848.33,1785.931,9417.598,7204.172,2213.426,44.117,211.789,513.104,1444.415,9386.523421,7232.269317,2154.254104,58.021762,226.797566,637.659004,1231.775772,10179.213352,9027.684614,1151.528737,65.61346,236.523648,672.306984,177.084645,8128.99166,6822.635352,1306.356308,32.938085,235.641719,696.80881,340.967694,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,499,377,123,0,2,43,78,531,381,151,0,4,48,99,1721,1284,437,2,11,144,280,2163,1427,736,3,16,227,489,2208,1397,811,2,30,258,522,2806.395,1891.189,915.206,9,37.051,322.5,546.655,917.252,703.875,213.377,3.722,40.535,95.506,73.613,896.584748,706.752019,189.832729,2.615329,45.624714,87.828759,53.763927,412.168997,291.045805,121.123192,0.000611,50.512871,47.462417,23.147293,374.116588,257.094023,117.022565,0.001146,52.747471,48.080731,16.193217,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,6363,5441,922,11,58,263,589,8182,7034,1147,16,74,320,737,12329,10697,1632,33,163,478,958,17063,14632,2431,51,231,641,1508,14773,12426,2347,40,282,698,1327,19663.16,16772.39,2890.77,33,322.205,842.5,1693.065,19916.328,17111.496,2804.832,31.879,361.584,634.222,1777.148,21668.295021,18588.412443,3079.882577,52.433941,386.187731,842.699248,1798.561658,23022.031181,20100.081111,2921.95007,48.604349,411.202142,892.677627,1569.465952,22692.965081,19702.704545,2990.260536,34.666231,417.305381,966.938095,1571.350828,fishing and aquaculture,1.4
