"विवरण 7.1 ग:  उद्योगों के अनुसार परिवार क्षेत्र से उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष/मिश्रित आय ( प्रचलित भावों पर, ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
"Statement 7.1C: Output, Value Added, CE, OS/MI by industry for Households (at Current Prices, ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
1,"कृषि, वानिकी और मत्‍स्‍यन",1841651,417785,1423866,-3516,82406,185162,1159813,2073416,489338,1584077,-4062,96672,204351,1287117,2386784,560143,1826642,-6395,112839,235597,1484600,2555419,576829,1978590,-23431,126565,246274,1629181,2724460,608439,2116020,-26905,137030,257521,1748374,3067265.148,669053.051,2398212.097,-19585.234,148503.807,291391.596,1977901.928,3362593.688,661307.659,2701286.028,-37635.217,160186.82,326580.44700000004,2252153.977,3615092.891611,720878.0773400001,2894214.8142709997,-47829.704963000004,174331.83896000002,339539.83138900006,2428172.8488859995,3999319.171355,781125.704029,3218193.467324,-45356.769308999996,190250.83586300001,383079.262247,2690220.1385220005,4271586.939071001,816109.14042,3455477.798651,-51184.594188,209449.323296,405554.60089299997,2891658.468649,"Agriculture, forestry & fishing",1
1.1,फसलें,1152118,236420,915697,-4320,69322,160709,689987,1282788,271853,1010935,-4947,81904,176426,757552,1481531,317217,1164314,-7165,96113,202856,872510,1532191,334599,1197592,-24121,108312,206915,906486,1575339,339181,1236158,-27622,117879,212437,933463,1748782.125,362516.738,1386265.387,-20197.563,128205.417,238994.091,1039263.443,1883489.246,357708.23,1525781.016,-38432.21,138073.382,263657.499,1162482.344,1964972.17827,397227.916495,1567744.261774,-48738.65484,149748.20975,269403.74414,1197330.962724,2200476.497735,426344.356448,1774132.141286,-46566.482648,163404.754641,305996.06805,1351297.801243,2322929.495763,454986.478831,1867943.016932,-52687.342763,179886.427678,320686.807818,1420057.124198,crops,1.1
1.2,पशुधन,479905,153751,326154,828,5118,17721,302486,554654,187110,367543,947,5997,19957,340642,632606,211473,421133,838,6878,22867,390550,716240,208900,507340,835,7464,27593,471448,807235,227784,579450,879,7458,31574,539539,931506.709,261812.054,669694.655,734.59,7958.25,36527.85,624473.966,1033505.175,250127.353,783377.822,1013.504,8827.385,42755.184,730781.748,1140293.807074,260472.737621,879821.069453,1179.013501,9850.751866,48022.361531,820768.942555,1265685.771563,289176.945104,976508.826458,1482.709278,10345.243193,53332.229796,911348.64419,1406333.222818,293460.799665,1112872.423153,1817.507316,11245.075291,60809.829602,1039000.010944,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,136389,21460,114929,-13,40,0,114902,150347,23491,126856,-14,45,0,126826,170181,25554,144627,-16,45,0,144597,187862,28336,159527,-34,48,0,159512,201033,30975,170058,-38,52,0,170044,225126.086,34605.302,190520.784,-28.39,61.024,0,190488.15,238817.281,37124.811,201692.469,-50.327,72.452,0,201670.345,282483.922088,44796.009955,237687.912133,-62.749417,92.266112,0,237658.395439,288941.427818,46481.948783,242459.479035,-63.407672,115.762444,0,242407.124263,292050.190151,46967.134512,245083.055639,-73.099773,144.168522,0,245011.98689,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,73240,6154,67086,-11,7926,6732,52438,85627,6884,78743,-48,8726,7968,62097,102466,5899,96568,-52,9803,9874,76943,119126,4994,114131,-111,10741,11766,91735,140853,10499,130354,-124,11641,13510,105328,161850.228,10118.957,151731.271,-93.87,12279.117,15869.656,123676.369,206781.986,16347.265,190434.721,-166.184,13213.601,20167.764,157219.54,227342.984179,18381.413269,208961.570911,-207.314207,14640.611232,22113.725718,172414.548168,244215.474239,19122.453694,225093.020545,-209.588267,16385.075585,23750.964401,185166.568826,250274.030339,20694.727412,229579.302927,-241.658968,18173.651805,24057.963473,187589.346617,fishing and aquaculture,1.4
