"विवरण 7.2: उद्योगों के अनुसार सकल पूंजी निर्माण, सकल स्‍थायी पूंजी निर्माण, स्‍टॉक में अंतर और स्‍थायी पूंजी अवक्षय  (₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
"Statement 7.2: GCF, GFCF, CIS, CFC by industry (₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र.सं.,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.,"कृषि, वानिकी और मत्‍स्‍यन",267654,6216,273871,95679,265341,8149,273490,111705,320787,10049,330835,129739,321122,10742,331864,145112,287434,11121,298555,157393,335191.5393224535,13232.52869304507,348424.0680154985,170621.5657077095,353443.377993387,9262.32415649,362705.702149877,183920.905637627,399412.58374000003,12021.83541,411434.41925,199858.35976000002,418828.83679999993,11648.006500000001,430476.8434,217672.6797,473028.8614,12766.0424,485794.90390000003,239041.455,267654,6216,273871,95679,243719,7375,251094,102879,276048,8376,284424,111741,264028,8635,272663,119396,229193,8455,237649,124808,257981.9419051959,9171.071081125301,267153.0129863202,131268.3546111344,266465.792219124,5855.246064624,272321.03828374797,138183.247498478,289569.69352,7061.46548,296631.159,145696.09658,295290.8051,6380.4591,301671.2642,153498.81449999998,319653.826,6878.8956,326532.7215,162268.5544,"agriculture, forestry and fishing",1.
1.1,फसलें,233398,1001,234400,81177,229218,1627,230845,95334,277940,2380,280320,111172,275724,1338,277062,124814,243767,1754,245518,136089,285801.73196636455,2230.9912342657703,288032.72320062923,147961.08262512868,305228.157651731,527.8733650720001,305756.031016803,159220.672340836,343778.84364,1596.21496,345375.0586,172407.64728,358113.0317,549.5183,358662.5501,187780.30899999998,404807.1642,887.591,405694.7555,206235.4625,233398,1001,234400,81177,210049,1459,211508,87443,238160,1929,240086,95136,225041,1038,226078,101641,191793,1324,193118,106005,216499.06202744838,1616.5310998112,218115.59312725958,111255.62704889005,226366.19501042302,382.191364327,226748.38637475,116921.006642626,245271.29393,1146.30258,246417.59651,123007.89895999999,247814.1863,366.43710000000004,248180.62350000002,129265.80649999999,267433.36939999997,575.5117,268008.881,136277.6653,crops,1.1
1.2,पशुधन,20605,4948,25553,5149,20434,6250,26684,6054,24511,6879,31391,6969,24752,8571,33323,7612,21069,9165,30234,7645,23974.04967605249,10755.59692170933,34729.64659776182,8168.4285544336,20982.743187404998,8291.70027306,29274.443460465,9039.174605716,24618.0954,9966.10418,34584.19958,10077.5495,26159.326299999997,10715.562,36874.8883,10581.766800000001,30469.2745,11723.9881,42193.262500000004,11480.717,20605,4948,25553,5149,18705,5672,24376,5589,21285,5813,27098,6121,20784,6870,27655,6584,17598,6908,24507,6850,19000.44996835668,7227.08429342901,26227.5342617857,7161.3464584351805,16164.617435489,5030.506232692,21195.123668182,7451.9071093580005,17870.3827,5459.435549999999,23329.81825,7801.9249,18828.260000000002,5622.4933,24450.7533,8157.884,21566.0452,6115.5623000000005,27681.607500000002,8623.7608,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,1965,189,2154,1367,2372,-109,2263,1514,2342,128,2470,1629,2766,78,2845,1710,3046,109,3155,1733,4480.4518893783,-1.9572096411400004,4478.49467973716,1887.2929008104902,4105.427213298,270.183668949,4375.610882247,2082.326221374,5579.2084,143.05831999999998,5722.26682,2342.3961899999995,5983.133900000001,129.82389999999998,6112.9577,2510.0831000000003,6327.1104000000005,9.5468,6336.657099999999,2729.8145999999997,1965,189,2154,1367,2194,-97,2097,1400,2057,109,2166,1432,2394,71,2465,1474,2704,95,2800,1531,3847.60585060697,-1.6853394580700005,3845.92051114891,1628.74073965327,3333.674672464,239.555312813,3573.229985277,1699.289215395,4313.31863,131.24471,4444.56334,1804.49848,4577.8461,122.7769,4700.623100000001,1915.5086000000001,4720.6039,8.73,4729.3339,2027.3487,forestry & logging,1.3
