"विवरण 7.2 ग: उद्योगों के अनुसार परिवार क्षेत्र में सकल पूंजी निर्माण, सकल स्‍थायी पूंजी निर्माण, स्‍टॉक में अंतर व स्‍थायी पूंजी अवक्षय ( ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
"Statement 7.2C: GCF, GFCF, CIS, CFC by industry for Households ( ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र.सं.,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.,"कृषि, वानिकी और मत्‍स्‍यन",229589,4846,234435,82406,221788,5746,227534,96672,273903,6644,280546,112840,267174,7673,274847,126565,224109,8897,233006,137030,262466.506509151,10967.390101251,273433.896610402,148503.807257193,280613.269822953,8356.978376861,288970.248199814,160186.820712147,315102.8863,9918.4885,325021.3749,174331.839,339912.8683,10855.012,350767.8803,190250.8359,394123.491,11681.4698,405804.9609,209449.3233,229589,4846,234435,82406,204097,5196,209292,89154,236503,5597,242100,97455,221012,6067,227079,104525,180505,6641,187147,109110,205277.736851196,7380.836452217,212658.573303412,114887.782815944,215492.381896399,5087.314226334,220579.696122733,121187.167122105,232628.6814,5419.4109,238048.0923,128016.3836,243817.8046,5736.6277,249554.4323,135204.6223,271373.4263,6080.5333,277453.9595,143505.7842,"agriculture, forestry and fishing",1.
1.1,फसलें,198138,38,198176,69322,189120,48,189168,81904,235411,58,235469,96113,226985,73,227058,108312,185491,84,185574,117879,218817.544177484,104.67005508,218922.214232563,128205.416853854,237535.626818609,0.188540513,237535.815359122,138073.382431909,265839.9654,1.9032,265841.8686,149748.2098,285774.7042,2.1619,285776.8662,163404.7546,331845.0888,2.6678,331847.7567,179886.4277,198138,38,198176,69322,173644,41,173685,75205,202546,45,202590,82484,186604,49,186653,88542,147611,53,147664,92214,168753.305963062,57.79402475,168811.099987812,96926.128677333,179600.384574038,0.156230308,179600.540804346,102061.878236433,193278.0865,1.3059,193279.3924,107572.0881,201383.0182,1.4372,201384.4555,113323.5701,223534.9006,1.5899,223536.4905,119947.0873,crops,1.1
1.2,पशुधन,20050,4808,24858,5118,19643,5698,25341,5997,23496,6585,30082,6878,23292,7600,30892,7464,19877,8814,28691,7458,23358.557919608,10862.720046171,34221.277965779,7958.249517943,20860.079924691,8356.789836347,29216.869761038,8827.385240664,24197.386,9916.5854,34113.9714,9850.7519,25749.1844,10852.8501,36602.0345,10345.2432,30396.3271,11678.802,42075.129,11245.0753,20050,4808,24858,5118,17957,5155,23111,5534,20354,5552,25906,6036,19478,6018,25496,6451,16521,6588,23110,6682,18455.261780978,7323.042427466,25778.304208444,6973.513985315,16061.71998668,5087.157996026,21148.877982707,7267.333235449,17520.6308,5418.105,22938.7358,7611.1237,18491.9994,5735.1905,24227.19,7962.2942,21510.6175,6078.9434,27589.5609,8432.3129,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,93,0,93,40,114,0,114,45,37,0,37,45,73,0,73,48,102,0,102,52,263.754854475,0,263.754854475,61.024128185,332.250384126,0,332.250384126,72.451665628,503.4124,0,503.4124,92.2661,605.2893,0,605.2893,115.7624,791.4767,0,791.4767,144.1685,93,0,93,40,109,0,109,43,35,0,35,42,67,0,67,43,92,0,92,45,234.541045517,0,234.541045517,53.036921944,294.225756961,0,294.225756961,62.757584134,430.1732,0,430.1732,77.5145,501.456,0,501.456,94.5332,650.2742,0,650.2742,116.8184,forestry & logging,1.3
