"विवरण 7.3: उद्योगों एवं परिसंपत्‍तियों के अनुसार सकल स्‍थायी पूंजी निर्माण (प्रचलित भावों पर,  ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
"Statement 7.3: GFCF by type of asset, by industry  (at current prices,  ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,2012-13,,,,,2013-14,,,,,2014-15,,,,,2015-16,,,,,2016-17,,,,,2017-18,,,,,2018-19,,,,,2019-20,,,,,2020-21,,,,,Economic Activity,Sl.no.
,,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,,
,,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,,
1,"कृषि, वानिकी और मत्‍स्‍यन",267654,199432,61154,6764,306,265341,189804,68632,6464,441,320787,223679,88412,7977,719,321122,218926,92626,8956,614,287434,181073,96000,9379,981,335191.54,213490.462,106811.28099999999,13599.007,1290.7900000000002,353443.3779933867,227655.6932693816,116479.38722460221,8150.099242014,1158.1982573889,399412.5837,267541.14910000004,122635.33780000001,8006.064899999999,1230.0320000000002,418828.83679999993,269098.57739999995,139241.6476,9159.643100000001,1328.9687999999999,473028.8614,314197.5072,148447.6922,9367.9829,1015.6791999999999,"Agriculture, forestry & fishing",1
1.1,फसलें,233398,181629,49151,2360,259,229218,172816,54854,1160,388,277940,203429,72193,1940,377,275724,199013,74103,2152,455,243767,165473,75814,1766,712,285801.731,195283.19,85469.63500000001,4055.46,993.447,305228.157651731,208447.2324904402,93424.5823145288,2440.8534814473996,915.4893653142999,343778.8436,244245.30599999998,96852.62530000001,1717.2296,963.6828,358113.0317,244963.7808,110173.97379999999,1934.3745000000001,1040.9026,404807.1642,286135.4033,116384.0436,1578.5089,709.2085,crops,1.1
1.2,पशुधन,20605,16080,319,4198,7,20434,14946,408,5077,2,24511,18165,582,5761,3,24752,17153,807,6708,84,21069,12836,683,7505,45,23974.05,14450.65,341.512,9089.33,92.558,20982.743187404798,15651.428136322898,38.781169443,5251.7398368419,40.7940447971,24618.0954,18472.340099999998,205.8237,5892.5213,47.4103,26159.326299999997,19175.0259,198.5084,6734.8386,50.9534,30469.2745,23155.2359,16.9705,7242.0041,55.0639,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,1965,1592,164,206,4,2372,1910,233,225,5,2342,1872,158,275,38,2766,2425,225,95,23,3046,2569,282,108,87,4480.452,3543.544,434.785,454.21,47.912000000000006,4105.4272132982,3172.8707637723,429.16327100850003,452.81,50.5831785174,5579.2084,4534.6003,595.2164,396.29,53.1018,5983.133900000001,4703.5560000000005,729.6795,490.43,59.4684,6327.1104000000005,4857.8391,861.2606999999999,547.47,60.5407,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,11686,130,11519,1,36,13316,132,13137,1,47,15993,212,15480,1,301,17880,336,17492,0,51,19553,194,19220,0,138,20935.306,213.077,20565.350000000002,0.007,156.873,23127.0499409532,384.161878846,22586.8604696224,4.6959237247,151.3316687601,25436.4362,288.90270000000004,24981.672300000002,0.0241,165.8371,28573.345,256.21479999999997,28139.4858,0,177.6444,31425.3124,49.029,31185.4174,0,190.8661,fishing and aquaculture,1.4
