Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
"Statement 7.3A: GFCF by type of asset, by industry for Public Sector (at current prices,  ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,2012-13,,,,,2013-14,,,,,2014-15,,,,,2015-16,,,,,2016-17,,,,,2017-18,,,,,2018-19,,,,,2019-20,,,,,2020-21,,,,,Economic Activity,Sl.no.
,,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,,
,,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,,
1,"कृषि, वानिकी और मत्‍स्‍यन",35576,35017,340,207,12,39617,38422,956,226,13,40467,38983,1183,278,22,47004,45592,1254,145,13,55870,51240,4501,114,15,66361.65,64676.045,1149.431,467.582,68.592,66786.08,65106.0070232426,1155.3387364379,463.3923759431,61.3418643764,79473.251,77658.9698,1350.5743,410.7924,52.9146,72696.101,70977.8998,1196.9943,498.2024,23.0046,76851.711,75100.4398,1173.1443,554.3424,23.7846,"Agriculture, forestry & fishing",1
1.1,फसलें,33723,33437,277,2,8,37420,36550,861,1,9,38231,37120,1098,3,10,44374,43180,1140,50,4,53083,48678,4393,6,5,62288.899000000005,61164.041,1052.194,13.372,59.292,63089.08,61948.9803565759,1079.5554031046,10.5823759431,49.9618643764,74464.591,73140.8542,1263.977,14.3624,45.3975,67412.171,66279.2209,1112.6503,7.7724,12.5275,71359.481,70242.7909,1093.6303,6.8724,16.1875,crops,1.1
1.2,पशुधन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,1847,1580,58,206,4,2187,1868,90,225,5,2227,1861,79,275,13,2632,2412,117,95,9,2783,2560,105,108,11,4069.42,3511.263,94.647,454.21,9.3,3692.65,3155.3033333333,73.1766666667,452.81,11.36,4993.89,4509.8489,80.094,396.43,7.5171,5274.46,4695.7123,77.8407,490.43,10.4771,5482.76,4854.6823,73.0107,547.47,7.5971,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,6,1,5,0,0,10,4,6,0,0,8,1,7,0,0,-2,0,-2,0,0,4,1,3,0,0,3.33,0.74,2.59,0,0,4.35,1.7233333333,2.6066666667,0,0.02,14.77,8.2667,6.5033,0,0,9.47,2.9667,6.5033,0,0,9.47,2.9667,6.5033,0,0,fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,44664,1510,17763,0,25391,49254,2751,14875,0,31628,73300,4797,18322,0,50181,48373,3850,12916,0,31607,40353,3626,-24641,0,61367,43709.21,5115.867,9058.069,0,29535.274,47218.67,3518.5515449286,5445.4552900839,0,38254.6631649876,36522.1,4323.7357,6145.5524,0.0001,26052.8118,34611.53,3425.4855,6776.7913,0,24409.2532,35804.44,4210.3461,8495.4207,0,23098.6732,Mining & quarrying,2
3,विनिर्माण,49251,13128,35332,0,792,45941,10317,34888,9,727,50762,10151,40232,0,378,50930,10308,40146,0,476,57100,-8335,64966,-8,478,52203.227000000006,112.309,51829.783,30.432,230.703,52400.1886640868,11271.9948501903,40323.1768545519,-0.1869674468,805.2039267915,64734.0204,19645.3497,43673.9262,-41.9891,1456.7337,70014.4864,20737.0273,47928.8891,-37.04,1385.61,61779.3081,22236.0598,38799.9019,-35.8,779.1463,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",152365,62713,89003,3,647,167247,78451,88297,2,498,174839,74449,99142,7,1241,223861,101089,120665,5,2101,295001,149761,143126,1,2112,244452.97799999997,111471.939,132701.911,4.827,274.301,232588.095849673,127529.986503874,104449.600142197,3.4831433193,605.0260602824,317501.8531,167007.2302,149839.621,1.4709,653.5309,305011.4835,153653.7218,150418.4681,1.8407,937.4529,282585.8035,159799.6255,122249.0944,1.3707,535.7129,"Electricity, gas, water supply and other utility services",4
5,निर्माण,29042,28312,700,9,20,33191,31448,1736,4,3,43802,39891,3719,4,189,41914,41070,747,2,95,69829,67641,1447,10,733,84444.90899999999,82663.366,1346.122,9.449,425.972,126993.40797274,123846.816332355,1967.0907930603,5.70968316,1173.7911641648,157369.5173,151250.0463,3730.4554,3.9371,2385.0785,113935.8427,110200.9081,1832.8286,3.5992,1898.5067,163601.8027,159482.8248,1989.782,3.3592,2125.8367,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",494,192,270,2,30,520,277,215,1,28,741,401,317,2,22,1021,563,405,14,39,1443,795,523,27,98,1754.94,896.491,839.019,0.73,18.7,2054.88,1289.6266666667,736.4533333333,2.28,26.52,2280.7718,676.2199,1673.653,0.95,-70.0511,2235.01,581.24,1739.98,2.74,-88.95,1255.0075,-156.831,1498.3544,2.74,-89.2559,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,410,146,233,2,29,379,173,177,1,27,478,258,198,1,21,908,479,375,15,39,1189,634,431,27,97,1384.5300000000002,647.273,726.027,0.73,10.5,1798,1134.4566666667,636.1333333333,2.28,25.13,1785.0218,328.2941,1532.5302,0.95,-76.7524,1922.07,333.1633,1677.5467,2.74,-91.38,1941.55,395.3833,1634.0167,2.74,-90.59,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,84,46,37,0,1,142,104,38,0,0,263,143,120,0,0,114,85,30,-1,0,255,160,93,0,2,370.40999999999997,249.218,112.992,0,8.2,256.88,155.17,100.32,0,1.39,495.75,347.9258,141.1228,0,6.7014,312.94,248.0767,62.4333,0,2.43,-686.5425,-552.2144,-135.6622,0,1.3341,Hotels & restaurants,6.2
