"विवरण 7.3 ख: उद्योगों एवं परिसंपत्‍तियों के अनुसार निजी निगमों में सकल स्‍थायी पूंजी निर्माण (प्रचलित भावों पर, ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
"Statement 7.3B: GFCF by type of asset, by industry for Private Corporations (at current prices,  ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,2012-13,,,,,2013-14,,,,,2014-15,,,,,2015-16,,,,,2016-17,,,,,2017-18,,,,,2018-19,,,,,2019-20,,,,,2020-21,,,,,Economic Activity,Sl.no.
,,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,,
,,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,,
1,"कृषि, वानिकी और मत्‍स्‍यन",2489,988,1184,24,294,3936,1220,1937,351,428,6417,1856,3844,21,697,6944,2358,3968,17,601,7455,2287,4161,40,966,6363.383,1707.052,3284.92,149.213,1222.198,6044.0281704337,1637.194449237,3266.6637982753,43.313529909,1096.8563930125,4836.4464,1169.5462,2491.9855,-2.2027,1177.1174,6219.8675,2093.8525,2804.4493,15.6015,1305.9642,2053.6594,389.5447,663.6153,8.6048,991.8946,"Agriculture, forestry & fishing",1
1.1,फसलें,1537,619,644,23,251,2678,671,1278,350,379,4298,1206,2704,20,367,4365,1443,2455,16,451,5193,1622,2823,40,707,4695.288,1282.934,2328.993,149.206,934.155,4603.450833122,1195.8696665713,2503.4360594284,38.6176061843,865.5275009379,3474.2872,699.371,1858.7177,-2.0868,918.2853,4926.1565,1674.7223,2207.4575,15.6015,1028.3751,1602.5944,342.575,558.3936,8.6048,693.021,crops,1.1
1.2,पशुधन,555,228,319,0,7,791,380,408,0,2,1015,430,582,0,3,1460,568,807,0,84,1192,464,683,0,45,615.492,181.422,341.512,0,92.558,122.6632627142,43.0880484741,38.781169443,0,40.7940447971,420.7094,167.4754,205.8237,0,47.4103,410.1419,160.6801,198.5084,0,50.9534,72.9474,0.9129,16.9705,0,55.0639,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,25,11,14,0,0,71,41,30,0,0,78,9,44,0,25,61,11,37,0,14,161,8,76,0,76,147.277,30.359,78.305,0,38.612,80.5268291719,15.7981886789,25.5054619756,0,39.2231785174,81.906,22.0638,14.3976,-0.14,45.5847,103.3846,5.202,49.1912,0,48.9913,52.8737,-0.0055,-0.0644,0,52.9436,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,372,129,206,1,36,396,128,221,1,47,1026,211,514,1,301,1058,336,670,0,51,910,193,578,0,138,905.326,212.337,536.11,0.007,156.873,1237.3872454257,382.4385455127,698.9411074282,4.6959237247,151.3116687601,859.5437,280.636,413.0465,0.0241,165.8371,780.1846,253.2481,349.2921,0,177.6444,325.2439,46.0623,88.3156,0,190.8661,fishing and aquaculture,1.4
