"विवरण 7.3 ग: उद्योगों एवं परिसंपत्‍तियों के अनुसार परिवार क्षेत्र में सकल स्‍थायी पूंजी निर्माण(प्रचलित भावों पर,  ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
"Statement 7.3C: GFCF by type of asset, by industry for Households (at current prices,  ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,2012-13,,,,,2013-14,,,,,2014-15,,,,,2015-16,,,,,2016-17,,,,,2017-18,,,,,2018-19,,,,,2019-20,,,,,2020-21,,,,,Economic Activity,Sl.no.
,,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,सकल स्‍थायी पूंजी निर्माण ,"आवास, अन्‍य भवन और संरचनाएं ",मशीनरी और उपकरण,उन्नत जैविक संसाधन ,बौद्धिक सम्‍पदा उत्‍पाद ,,
,,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,GFCF,"Dwellings, Other Buildings Structures",Machinery and equipment,Cultivated biological resources,IPP,,
1,"कृषि, वानिकी और मत्‍स्‍यन",229589,163427,59630,6533,0,221788,150162,65739,5887,0,273903,182840,83385,7678,0,267174,170976,87404,8794,0,224109,127546,87338,9225,0,262466.507,147107.365,102376.93,12982.212,0,280613.269822953,160912.491796902,112057.384689889,7643.3933361619,0,315102.8863,188712.6331,118792.778,7597.4752,0,339912.8683,196026.8251,135240.204,8645.8392,0,394123.491,238707.5227,146610.9326,8805.0357,0,"Agriculture, forestry & fishing",1
1.1,फसलें,198138,147573,48230,2335,0,189120,135595,52715,809,0,235411,165103,68391,1917,0,226985,154390,70508,2086,0,185491,115173,68598,1720,0,218817.544,132836.215,82088.448,3892.882,0,237535.626818609,145302.382467293,89841.5908519958,2391.65349932,0,265839.9654,170405.0808,93729.9306,1704.954,0,285774.7042,177009.8376,106853.866,1911.0006,0,331845.0888,215550.0374,114732.0197,1563.0317,0,crops,1.1
1.2,पशुधन,20050,15852,0,4198,0,19643,14566,0,5077,0,23496,17735,0,5761,0,23292,16585,0,6708,0,19877,12372,0,7505,0,23358.558,14269.228,0,9089.33,0,20860.0799246906,15608.3400878488,0,5251.7398368419,0,24197.386,18304.8647,0,5892.5213,0,25749.1844,19014.3458,0,6734.8386,0,30396.3271,23154.323,0,7242.0041,0,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,93,1,92,0,0,114,1,113,0,0,37,2,35,0,0,73,2,71,0,0,102,1,101,0,0,263.755,1.922,261.833,0,0,332.2503841263,1.7692417601,330.4811423662,0,0,503.4124,2.6876,500.7248,0,0,605.2893,2.6417,602.6476,0,0,791.4767,3.1623,788.3144,0,0,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,11308,0,11308,0,0,12910,0,12910,0,0,14959,0,14959,0,0,16824,0,16824,0,0,18639,0,18639,0,0,20026.65,0,20026.65,0,0,21885.3126955275,0,21885.3126955275,0,0,24562.1225,0,24562.1225,0,0,27783.6904,0,27783.6904,0,0,31090.5985,0,31090.5985,0,0,fishing and aquaculture,1.4
