"विवरण 7.4 क: उपयोग के उद्योग के अनुसार सार्वजनिक क्षेत्र में निवल पूंजी स्‍टॉक (31 मार्च को) (प्रचलित भावों पर,  ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
"Statement 7.4A: Net Capital Stock by Industry of Use for Public Sector (as on 31st March) (at current prices,  ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,Economic Activity,Sl.no.
,,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,,
,,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,,
1,"कृषि, वानिकी और मत्‍स्‍यन",833741,4352,838092,946010,4976,950986,1058407,5841,1064249,1151334,6333,1157667,1248849,6796,1255645,1355749.293,7582.205,1363331.499,1450971.02862,7782.75427,1458753.78289,1553554.28648,8421.6173,1561975.90378,1666188.18002,9408.6747,1675596.85472,1812944.05178,9642.57509,1822586.62687,"Agriculture, forestry & fishing",1
1.1,फसलें,797161,3878,801039,905616,4552,910168,1015168,5357,1020525,1106252,5812,1112064,1203846,6188,1210034,1307291.54,6988.221,1314279.762,1397782.10326,7082.18286,1404864.28611,1494164.15701,7597.25096,1501761.40797,1603297.44579,8501.30509,1611798.75088,1745158.36269,8701.29515,1753859.65784,crops,1.1
1.2,पशुधन,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.139,-1.139,0,9.53059,9.53059,0,8.25138,8.25138,0,-2.25848,-2.25848,0,-13.609,-13.609,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,36503,471,36975,40309,421,40729,43144,481,43625,44991,517,45509,44911,605,45516,48366.752,592.656,48959.408,53095.64747,687.78968,53783.43714,59282.41448,809.62901,60092.04349,62775.05671,902.34027,63677.39698,67662.07112,947.92634,68609.99746,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,76,2,78,86,3,89,95,4,99,91,3,95,92,2,94,91.001,2.467,93.468,93.27789,3.25115,96.52904,107.71499,6.48594,114.20094,115.67752,7.28782,122.96535,123.61798,6.96259,130.58057,fishing and aquaculture,1.4
