"विवरण 7.4 ख: उपयोग के उद्योग के अनुसार निजी निगमों में निवल पूंजी स्‍टॉक (31 मार्च को) (प्रचलित भावों पर,  ₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
"Statement 7.4B: Net Capital Stock by Industry of Use for Private Corporations (as on 31st March) (at current prices, ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,Economic Activity,Sl.no.
,,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,,
,,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,,
1,"कृषि, वानिकी और मत्‍स्‍यन",15730,8362,24092,20087,11543,31630,26752,15714,42466,33771,18708,52479,40582,19999,60581,45952.19,22378.106,68330.296,50999.77643,23684.3356,74684.11203,55404.00167,25783.94025,81187.94192,61000.6824,27488.35064,88489.03304,62248.24448,28796.82177,91045.06624,"Agriculture, forestry & fishing",1
1.1,फसलें,13533,6083,19616,16610,8118,24728,21148,10995,32143,25675,12423,38098,30686,14193,44879,34848.645,16312.327,51160.971,38716.85365,17038.40793,55755.26158,41901.21416,18312.69823,60213.91239,46627.06682,19950.60621,66577.67303,47817.57974,21437.73276,69255.31249,crops,1.1
1.2,पशुधन,857,1122,1979,1661,1752,3413,2676,2139,4815,4101,3134,7235,5100,3370,8470,5548.665,3322.947,8871.612,5639.65937,3344.15933,8983.8187,6075.77706,3538.49574,9614.2728,6330.27721,3471.17947,9801.45667,6278.96586,3572.57281,9851.53867,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,67,541,608,141,606,747,220,714,934,279,694,973,420,752,1172,540.7,788.355,1329.055,596.19234,923.61537,1519.80771,663.04681,890.76767,1553.81448,732.99718,876.99851,1609.99569,744.05763,901.80221,1645.85983,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,1273,616,1889,1674,1067,2741,2708,1867,4575,3716,2458,6173,4376,1685,6060,5014.181,1954.477,6968.658,6047.07107,2378.15297,8425.22405,6763.96363,3041.97862,9805.94225,7310.34119,3189.56645,10499.90764,7407.64126,2884.71399,10292.35525,fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,292123,20529,312652,312243,26072,338315,375314,31783,407097,384015,31666,415681,379581,27768,407349,376315.536,30344.711,406660.247,388379.76322,35749.40816,424129.17138,418741.97609,39414.82895,458156.80504,428438.01705,38828.23566,467266.2527,438450.66888,35337.34703,473788.01591,Mining & quarrying,2
3,विनिर्माण,4559767,788794,5348560,5014647,898774,5913421,5398710,974288,6372997,5821409,1066498,6887907,6134536,1092307,7226843,6444871.773,1152800.177,7597671.95,6904577.82174,1300527.16777,8205104.9895,7449853.21793,1475821.87642,8925675.09435,7918292.52878,1512740.20146,9431032.73024,8239403.69957,1553106.05011,9792509.74967,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",359786,21172,380958,498978,24733,523711,622643,26905,649548,734667,29666,764333,810832,31549,842381,889098.252,32906.167,922004.419,956465.65346,35224.0399,991689.69335,1042751.44307,41269.26896,1084020.71203,1081193.43371,44458.22576,1125651.65947,1155293.46943,43099.39858,1198392.86801,"Electricity, gas, water supply and other utility services",4
5,निर्माण,557546,345803,903349,671664,416249,1087913,695327,462378,1157705,718674,551865,1270540,717626,586141,1303767,740044.589,602602.736,1342647.325,777769.70001,617449.99862,1395219.69862,833787.85327,708437.27609,1542225.12935,895073.58535,723564.32051,1618637.90586,922744.33666,694209.88835,1616954.22501,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",880492,145505,1025998,1028760,167826,1196585,1134035,191392,1325427,1235108,225598,1460707,1306025,242731,1548756,1427286.815,264253.285,1691540.1,1618526.78723,289325.62619,1907852.41342,1818878.29551,335437.77496,2154316.07047,1950618.91796,330626.31015,2281245.22812,2032589.25313,331521.37845,2364110.63158,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,655369,136752,792121,774060,157958,932018,861533,180232,1041766,945010,212159,1157169,1000519,227511,1228030,1100027.144,249169.565,1349196.709,1257263.61323,272389.98323,1529653.59647,1418486.78819,318159.26391,1736646.0521,1513777.4185,312893.88329,1826671.30179,1581470.42843,313837.92549,1895308.35391,Trade & Repair Services,6.1
