"विवरण 7.4 ग: उपयोग के उद्योग के अनुसार परिवार क्षेत्र में निवल पूंजी स्‍टॉक (31 मार्च को) (प्रचलित भावों पर,₹ करोड़)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
"Statement 7.4C: Net Capital Stock by Industry of Use for Households (as on 31st March) (at current prices, ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं. ,आर्थिक क्रियाकलाप,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,Economic Activity,Sl.no.
,,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,नि.स्था. पू. स्टॉ.,इन्वेंटरी,नि. पूं स्टॉ.,,
,,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,NFCS,Inventory,NCS,,
1,"कृषि, वानिकी और मत्‍स्‍यन",1473778,83053,1556830,1733351,97599,1830951,2027045,111396,2138441,2270347,126350,2396697,2450245,142748,2592993,2651876.248,169298.817,2821175.064,2853600.47254,195129.91269,3048730.38523,3091884.80009,227426.70074,3319311.50082,3359656.9896,245990.69082,3605647.68043,3697789.24007,261559.45325,3959348.69332,"Agriculture, forestry & fishing",1
1.1,फसलें,1291024,648,1291672,1524880,805,1525686,1790158,955,1791113,2012291,1168,2013459,2183210,1313,2184523,2368221.432,1618.86,2369840.292,2542928.87962,1078.90986,2544007.78947,2745977.43114,1304.79459,2747282.22573,2985822.52953,1348.95901,2987171.48854,3287353.58147,1507.42295,3288861.00442,crops,1.1
1.2,पशुधन,102366,82405,184771,119945,96794,216739,137565,110441,248006,149283,125182,274465,149168,141436,290603,159164.99,167679.956,326844.947,176547.70481,194051.00283,370598.70765,197015.03731,226121.90615,423136.94346,206904.86386,244641.73182,451546.59568,224901.50583,260052.0303,484953.53613,livestock,1.2
1.3,वानिकी और लट्ठा बनाना,1123,0,1123,1264,0,1264,1290,0,1290,1361,0,1361,1460,0,1460,1698.658,0,1698.658,1987.87437,0,1987.87437,2486.21932,0,2486.21932,3078.84035,0,3078.84035,3797.63473,0,3797.63473,forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,79264,0,79264,87262,0,87262,98032,0,98032,107412,0,107412,116408,0,116408,122791.168,0,122791.168,132136.01374,0,132136.01374,146406.11232,0,146406.11232,163850.75585,0,163850.75585,181736.51805,0,181736.51805,fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,17974,4553,22527,25800,5030,30829,28556,4771,33327,32572,5276,37847,35868,5554,41422,43752.773,6671.733,50424.506,58159.20137,7783.41129,65942.61266,77036.51573,8861.14474,85897.66047,97788.56691,9006.24532,106794.81222,121312.723,8388.28555,129701.00855,Mining & quarrying,2
