"विवरण 8.15.2:  उद्योगों के अनुसार विभागीय उद्यमों से उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष (प्रचलित भावों पर, ₹ करोड़ )",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
"Statement 8.15.2: Output, Value Added, CE, OS by industry by Departmental Enterprises (at current prices, ₹ crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
1,"कृषि, वानिकी और मत्‍स्‍यन",45564,5848,39716,-38892,10644,20557,47407,52425,6825,45600,-46047,12023,22833,56792,56712,8045,48667,-47965,13372,24227,59033,60935,9127,51808,-53074,14454,27108,63320,57920,8007,49914,-47228,15544,28002,53595,57895.55,7369.94,50525.61,-49570.99,16884.083,28077.17,55135.347,62429.262,9314.18,53115.082,-50894.952,18057.132,31233.88,54719.022,65202.239,8862.77,56339.469,-52668.359,19325.539,33063.43,56618.859,69797.153,10254.94,59542.213,-60242.083,20605.883,34615.18,64563.233,77401.045,11777.4,65623.645,-64187.325,22290.595,39016.78,68503.595,"Agriculture, forestry & fishing",1
1.1,फसलें,35710,4491,31219,-31962,9367,13342,40471,40756,4954,35802,-37323,10609,14452,48064,43754,5722,38033,-39095,11854,15116,50158,45019,5829,39189,-40982,12864,16131,51177,42919,5719,37200,-36787,13951,16912,43124,42854.79,5120.17,37734.62,-37996.31,15155.889,17019.85,43555.191,45167.857,6438.84,38729.017,-37726.487,16150.387,18785.62,41519.497,46733.234,6286.27,40446.964,-39719.734,17187.154,19338.23,43641.314,50811.008,8057.02,42753.988,-45058.118,18331.198,20137.03,49343.878,55666.045,9004.27,46661.775,-47799.735,19829.965,22528.7,52102.845,Crops,1.1
1.2,पशुधन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Livestock,1.2
1.3,वानिकी और लट्ठा बनाना,9854,1357,8497,-6930,1277,7215,6935,11669,1871,9798,-8724,1413,8381,8728,12958,2323,10635,-8870,1519,9111,8875,15917,3298,12619,-12092,1590,10978,12143,15002,2288,12713,-10441,1593,11090,10471,15040.76,2249.77,12790.99,-11574.68,1728.194,11057.32,11580.156,17261.406,2875.34,14386.066,-13168.466,1906.746,12448.26,13199.526,18469.005,2576.5,15892.505,-12948.625,2138.385,13725.2,12977.545,18986.144,2197.92,16788.224,-15183.964,2274.684,14478.15,15219.354,21735,2773.13,18961.87,-16387.59,2460.63,16488.08,16400.75,Forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fishing and aquaculture,1.4
