विवरण 8.16:  प्रचलित भावों पर लेखा खातों में यथाप्रदत्‍त अवमूल्‍यन ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
STATEMENT 8.16: DEPRECIATION AS PROVIDED  IN THE BOOKS OF ACCOUNTS AT CURRENT PRICES,,,,,,,,,,,,,,,,,,,,,,,
,,(₹ करोड़),,,,,,,,,,,,,,(₹ crore),,,,,,,
क्र. सं.,क्षेत्र,2011-12,,2012-13,,2013-14,,2014-15,,2015-16,,2016-17,,2017-18,,2018-19,,2019-20,,2020-21,,Sector,Sl.no.
,,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,अवमूल्यन,स्था.पू.अ.,,
,,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,DEP,CFC,,
1,प्रशासनिक विभाग,-,98622.8716387263,-,107030.68058293776,-,115847.81668000016,-,124107,-,128778.61048074972,-,136919.19,-,149363.84332,-,163525.7127,-,174718.10549,-,189879.10049,Administrative Departments,1
2,विभागीय उद्यम,6641,25852.582564413813,7052,28679.44742343295,8145,31277.735077746012,8046,33517,5897,34976.20983820912,5521.05,37386.508,1892.31,40276.35288,673.1,43335.00547,826.48,45989.27298,624.78,48990.41766,Departmental Enterprises,2
2.1,रेलवे*,6520,10355.373808052362,6850,11499.31166839991,7900,12473.120729980328,7775,13415,5600,13800.083604867505,5200,14826.928,1540,16232.10095,300,17704.51689,400,18928.43347,200,19752.04945,Railways *,2.1
2.2,संचार,0,84.46629705470174,0,105.92904410361236,0,145.9904824361883,0,166,0,193.83355592574586,0,200.352,0,284.29564,0,333.12461,0,346.309,0,412.14928,Communication,2.2
2.3,अन्य विभागीय उद्यम,121,15412.74245930675,202,17074.206710929426,245,18658.623865329497,271,19936,297,20982.29267741587,321.05,22359.227,352.31,23759.95629,373.1,25297.36397,426.48,26714.53052,424.78,28826.21893,Other Departmental Enterprises,2.3
3,अविभागीय उद्यम,95850.51483530004,108634.77055519685,103601.90946850003,120110.36440097257,114811,132142.91300233142,131763,144500,126121,156151.94220697414,137132.001,164972.009,158206.57,176967.62299,173152.849782318,193776.8093,195646.1594,205687.33616,199794.24,217258.85923,Non-Departmental Enterprises,3
3.1,गैर-वित्तीय,90958.51483530004,105427.68559589668,98220.90946850003,116495.92636878086,108863,128056.07673362763,124950,139955,118326,151329.65465746715,128601.295,159928.131,148416.96,171482.13338,162251.26,187805.52251,184079.88,199450.28048,187645.64,210590.82404,Non-Financial,3.1
3.2,वित्तीय,4892,3207.0849593001785,5381,3614.4380321917156,5948,4086.8362687037925,6813,4545,7795,4822.287549506976,8530.706,5043.878,9789.61,5485.48961,10901.5897823177,5971.28679,11566.2794,6237.05567,12148.6,6668.03519,Financial,3.2
4,निजी निगमित क्षेत्र**,257031,357639.505770381,296314,417077.22581892775,344789,481189.9897293302,398052,565119,428268,632853.6729475763,463535,708070.818,490415,779578.50197,535651,875313.20032,665389,958342.633,672560,1031689.05973,Private Corporate Sector**,4
,अवमूल्यन: लेखा के खातों में अवमूल्यन ,,,,,DEP: Depreciation in book of accounts,,,,,,,,,,,,,,,,,
,स्था.पू.अ.: जैसा कि राष्ट्रीय लेखा में गणित किया गया,,,,,CFC: As calculated in national accounts,,,,,,,,,,,,,,,,,
,* अवमूल्यन में रेलवे विनिर्माण सम्मिलित है,,,,, * Depreciation includes railways manufacturing.,,,,,,,,,,,,,,,,,
,** अवमूल्यन में अर्ध निगमित क्षेत्र शामिल नहीं है,,,,,** Depreciation excludes quasi corporate,,,,,,,,,,,,,,,,,
