"विवरण 8.17.1 : राष्ट्रीय आय एवं अन्य समष्टि आर्थिक समाहारों के अनंतिम अनुमान, 2021-22",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Statement 8.17.1: Provisional Estimates of National Income and Other Macro Economic Aggregates, 2021-22",,,,,,,,,
,,,,,,,,,
,(₹ करोड़),(प्रचलित भावों पर at current prices ),,,(स्थिर (2011-12) भावों पर at constant (2011-12) prices),,,,(₹ crore)
मद,,2019-20,2020-21,2021-22(PE),2019-20,2020-21,2021-22(PE),Item,
1,,2,3,4,5,6,7,1,
क.,समाहार आधार पर,,,,,,,A,ESTIMATES AT
,अनुमान,,,,,,,,AGGREGATE LEVEL
1,राष्ट्रीय आय (₹ करोड़),,,,,,,1,NATIONAL INCOME (₹ crore)
1.1,सकल राष्ट्रीय आय,19881742.099758837,19534226.438565165,23296345.3417691,14374253.261974925,13368278.719594078,14500811.8135011,1.1,Gross National Income (GNI)
,,,-1.7,19.3,,-7,8.5,,
1.2,निवल राष्ट्रीय आय,17716596.689638514,17194157.5191422,20529727.12812,12641633.018262312,11536003.8047201,12519975.6680015,1.2,Net National Income (NNI)
,,,-2.9,19.4,,-8.7,8.5,,
2,देशीय उत्पाद (₹ करोड़),,,,,,,2,DOMESTIC PRODUCT (₹ crore)
2.1,बुनियादी मूल्यों पर,18355109.4458078,18057809.7818272,21349399.167838,13219475.585463632,12585073.618032832,13605474.0006563,2.1,Gross Value Added
,सकल मूल्य वर्धन,,-1.6,18.2,,-4.8,8.1,,(GVA) at basic prices
2.2,सकल देशीय उत्पाद,20074855.79199624,19800913.822209533,23664636.9930293,14515957.657731853,13558473.402035445,14735515.4904752,2.2,Gross Domestic Product (GDP)
,,,-1.4,19.5,,-6.6,8.7,,
2.3,निवल देशीय उत्पाद,17909710.381875917,17460844.902786568,20898018.7793803,12783337.414019238,11726198.487161467,12754679.3449757,2.3,Net Domestic Product (NDP)
,,,-2.5,19.7,,-8.3,8.8,,
2.4,निजी अंतिम उपभोग व्यय,12237110.85363039,12032762.415198956,14095404.5552648,8259704.344947293,7763733.859067322,8377853.7309973,2.4,Private final consumption expenditure
2.5,सरकारी अंतिम उपभोग व्यय,2200871.4531321265,2393289.9414894255,2633867.2491986,1484272.3843201585,1537603.4946547495,1577131.7876239,2.5,Government final consumption expenditure
2.6,सकल स्थायी पूंजी निर्माण,5737644.933693852,5264073.370820763,6759790.137343,4611021.475468159,4131279.0692704096,4784054.2236758,2.6,Gross fixed capital formation
2.7,स्टॉक में अंतर,134472.1491510779,-11763.953199109994,218169.5905473,108283.55383407229,-11572.855001638047,187937.3580879,2.7,Change in stocks
2.8,बहुमूल्य,194708.44009883105,271414.22941324004,401686.2737811,164526.7578759596,207980.25242393874,295045.8887676,2.8,Valuables
2.9,निर्यात,3752187.824623799,3704532.906006037,5063885.4438061,2813609.3812187063,2553682.949099156,3174843.9886715,2.9,Exports
2.10,घटाएं: आयात,4270232.028957966,3781272.5763047324,5653891.53712,3321585.7123118322,2862871.2680777377,3878193.3008729,2.10,Less Imports
2.11,विसंगतियां,88092.16662413254,-72122.51121504232,145725.2802086,396125.47237933613,238637.90059924498,216841.8135241,2.11,Discrepancies
ख.,प्रति व्यक्ति आधार पर,,,,,,,B,ESTIMATES AT
,अनुमान,,,,,,,,PER CAPITA LEVEL
,प्रति व्यक्ति निवल राष्ट्रीय आय (₹),132114.81498611867,126855.11188912489,150006.7378115,94270.19402134462,85110.36680755886,91481.0360467,,Per capita NNI (₹)
,,,-4,18.3,,-9.7,7.5,,
,टिप्पणी: कोष्ठक में दिये आंकड़े पिछले वर्ष की तुलना में प्रतिशत वृद्धि दर्शाते हैं |,,,,,,,,
,Note : The figures in parentheses show the percentage change over previous year,,,,,,,,
,Note-Totals may not tally due to rounding off.,,,,,,,,
