"विवरण 8.17.2: आर्थिक क्रियाकलाप के अनुसार बुनियादी मूल्यों पर मूल्य वर्धन के अनंतिम अनुमान, 2021-22",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Statement 8.17.2: Provisional Estimates of Gross Value Added by Economic Activity at Basic Prices, 2021-22",,,,,,,,,
,,,,,,,,,
,(₹ करोड़),(प्रचलित भावों पर at current prices ),,,(स्थिर (2011-12) भावों पर at constant (2011-12) prices),,,,(₹ crore)
आर्थिक क्रियाकलाप,,2019-20,2020-21,2021-22(PE),2019-20,2020-21,2021-22(PE),Economic Activity,
1,,2,3,4,5,6,7,1,
1,"कृषि, वानिकी, एवं मत्स्यन",3358363.7199877086,3609494.238452634,3980067.2140018,1982302.9012774825,2048031.8915150836,2109696.570054,1,"Agriculture, forestry & fishing"
,,,7.5,10.3,,3.3,3,,
2,खनन एवं उत्खनन,358517.2661839046,324979.75384442124,513075.6576506,321766.38240739575,294024.2986688783,327983.827947,2,Mining & quarrying
,,,-9.4,57.9,,-8.6,11.5,,
3,विनिर्माण,2704809.405035696,2709435.3291242635,3307314.9665462,2261293.864153989,2247740.007666398,2470822.3568121,3,Manufacturing
,,,0.2,22.1,,-0.6,9.9,,
4,"विद्युत, गैस, जलापूर्ति एवं अन्य उपयोगी सेवाएं",501617.5270982005,507352.2537191666,586679.1124583,300674.92311066214,289771.2239603901,311598.0237934,4,"Electricity, gas, water supply & other utility services"
,,,1.1,15.6,,-3.6,7.5,,
5,निर्माण,1372759.2516157215,1315607.9389771635,1719097.6804548,1038679.7915017642,962835.4003245682,1073594.9754373,5,Construction
,,,-4.2,30.7,,-7.3,11.5,,
6,"व्यापार, होटल, परिवहन, संचार एवं प्रसारण संबंधी सेवाएं",3478492.689150721,2866393.1885387907,3528895.7997255,2689725.799951193,2147679.3428914137,2385604.6931892,6,"Trade, hotels, transport, communication and services related to broadcasting"
,,,-17.6,23.1,,-20.2,11.1,,
7,"वित्तीय, स्थावर सम्पदा एवं व्यावसायिक सेवाएं",3879337.662869856,4045759.619660522,4543303.1641126,2897393.388383605,2961910.43753005,3087359.8598917,7,"Financial, real estate & professional services"
,,,4.3,12.3,,2.2,4.2,,
8,"लोक प्रशासन, रक्षा एवं अन्य सेवाएं",2701211.9238659916,2678787.459510238,3170965.5728883,1727638.5346775386,1633081.0154760482,1838813.6935316,8,"Public Administration, defence and Other services"
,,,-0.8,18.4,,-5.5,12.6,,
9,बुनियादी मूल्यों पर स. मू.व.,18355109.4458078,18057809.7818272,21349399.167838,13219475.585463632,12585073.618032832,13605474.0006563,9,GVA at basic prices
,,,-1.6,18.2,,-4.8,8.1,,
,,,,,,,,,
टिप्पणी: कोष्ठक में दिये आंकड़े पिछले वर्ष की तुलना में प्रतिशत वृद्धि दर्शाते हैं |,,,,,,,,,
Note : The figures in parentheses show the percentage change over previous year,,,,,,,,,
Note-Totals may not tally due to rounding off.,,,,,,,,,
