"विवरण-8.18.1:  प्रचलित भावों पर सकल देशीय उत्पाद का त्रैमासिक अनुमान, 2011-12 श्रंखला, (₹ करोड़ में)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
"Statement- 8.18.1: Quarterly Estimates of GVA at Current Prices, 2011-12 Series (₹ In Crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(₹ करोड़ में)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(₹ in crore),,,,,,,,
मद,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,Item
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,
बुनियादी मूल्यों पर सकल मूल्य वर्धन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GVA at basic prices from
"1. कृषि, वानिकी, एवं मत्स्य पालन",323221.71636749426,270231.3821454234,505545.338931301,402948.88451037894,360094.45972956816,302960.79211076425,557596.7683567479,454454.4826869703,407712.5460032985,350835.199248983,670113.1839143734,497710.93564404105,460964.42723435006,404349.99775120144,688922.9141095856,539374.2206152153,499370.08744128863,424241.2362345485,721066.2166765515,582855.3166153372,573091.6563938594,485561.86548423825,801318.3015791682,658690.1972072213,620726.623227,551157.188378,914936.584506,743005.455249,686739.3237054,591790.4836035,957922.1875233,793473.0511443,736647.2852968,640470.638294,1085522.0163921,895723.7800048,782412.5280411,695179.7919703,1180832.631912,951069.2865293,847041.9321762,743042.7459083,1294054.4833464,1095928.0525709,"1. Agriculture, forestry & fishing"
2. खनन एवं उत्खनन,64670.249370518315,55462.632148234625,65815.1767121434,75087.31079131876,75789.46712712609,59898.65524612376,70446.72106300772,79707.16463061543,70645.48111660848,63145.103589005004,74589.19503349284,87414.56366836277,95040.28028131893,68894.14728256792,72719.58844519223,71822.03117052568,90269.15760806527,61138.119276002166,68977.18641665643,73626.6898076328,81934.46447935724,60517.910247491396,76935.0110885524,107420.5262167143,82157.276752,67314.831456,82691.564206,103945.461339,94249.6815472,79982.9833454,95524.7010378,107903.7172852,94643.2415903,72395.9422849,85975.06435,105503.0179588,65417.6141128,64524.9033564,78868.3064006,116168.9299747,109284.7751627,100276.8275435,129419.6128823,174094.4420621,2. Mining & quarrying
3. विनिर्माण,350857.0542992997,329936.5302969014,334726.673687843,394465.3127214231,374606.4308548737,395938.88077366713,377768.4154583149,424523.1694200113,413130.91400527005,424394.51908538264,416194.27916785236,459731.888361367,471159.1579008844,476473.8146803699,435194.65912548127,495541.5169347756,530751.506647218,534068.6317445067,506026.7443206668,575341.9163845412,575996.9581923209,575851.6061146541,554949.6324105164,626923.1580663867,588489.123887,638557.610601,625337.680317,714238.949491,676170.0883481,704495.0116476,685106.8428628,746787.0127691,677967.1181591,671108.1754026,649321.5709267,706412.5405473,453728.4818965,698446.4289204,710550.2828286,846710.1354787,749345.5644047,824612.1210454,800156.8732885,933200.4078076,3. Manufacturing
"4. विद्युत, गैस, जलापूर्ति एवं अन्य उपयोगी सेवाएं",44661.969217897466,46631.133177422336,47957.24231494913,47417.65528973107,54330.44009581913,52470.7211755988,54453.29717988749,54095.186580496265,62946.29258830516,65066.07917947134,64910.781170261704,67231.45439932689,69661.88154932822,71640.8917122829,70690.69641007268,70264.30550966345,83639.8902174429,87112.00422936893,81633.53579615348,82579.18168906757,88421.8137837978,89213.46001009384,88828.72233230484,89245.00387380354,107019.580719,107508.105193,104036.490857,107153.552073,112151.6509549,116805.3387197,112012.8110958,108489.1273488,129482.2233169,126976.7678552,118638.2718206,126520.2641055,115605.3196025,123752.2472487,129362.0007678,138632.6861002,128982.3491336,138571.56364,150910.773157,168214.4265277,"4. Electricity, gas ,water supply& other utility services"
5. निर्माण,182218.7489197805,189095.78083034512,197079.14805561598,208940.87113994255,203182.40573356065,202601.55753365936,211962.6918410831,231618.24186187112,221809.99577517883,224408.15301419326,231689.9226514811,243561.90804804605,247541.15842413146,246390.44100181927,242325.3851386563,242828.88820472854,253252.43573913272,237074.17399345367,248149.30964398832,252607.77998640467,273537.973934866,262498.3830113663,274360.3386800311,270473.40339342755,288042.914377,281258.108094,306395.070844,324717.750425,326661.9022564,316330.1901206,347401.4952343,361725.244129,350517.6581996,317819.8684448,335097.9210452,369323.803926,170899.2478338,293689.788055,370557.5259768,480461.3771116,345254.2954863,380175.6430873,431680.2313552,561987.5105261,5. Construction
"6. व्यापार, जलपान ग्रह, परिवहन, भंडारण, संचार एवं प्रसारण से सम्बंधित सेवाएं",330069.7205194434,337631.44742206606,351579.17037172534,393835.7241204553,394347.31453718105,403845.6368641047,412552.3761051648,453240.38383162825,427469.74037591857,456945.8980540263,480885.7041800325,509165.26601590647,508205.44242952694,517595.34469120466,514665.7864631029,567129.9340337634,553747.770849903,541865.616776123,558605.3983050967,640294.0627797379,607115.5023939706,594623.8535584606,619241.8758716751,718174.6235053651,691827.342255,675948.069656,709164.087631,801982.694337,778777.2401907,757308.9722582,791377.3646632,875298.6587746,852337.4994319,819648.2501266,860063.4220919,946443.5175003,425389.3031969,676119.1375446,795717.1729258,969167.5748715,625257.8032667,812124.1892299,948462.642857,1143051.1643719,"6. Trade, hotels, transport, communication and services related to broadcasting "
"7. वित्तीय, स्थावर सम्पदा एवं व्यावसायिक सेवाएं",395101.9975649685,407657.03840900655,343064.8699063569,385053.46647224354,461069.59043430997,479903.8208588711,400489.2100462172,435169.4355887353,533978.4429759022,585665.6094467699,459327.05896060367,490537.10991112515,620774.0981619763,695118.2536101926,520846.5727500431,526607.7654809819,690657.2788339208,773346.7881624592,577563.7113886683,584570.0548082278,783003.3292378183,874052.5278899721,619110.1838362572,635270.5988861917,844181.795101,914863.482712,682492.41957,685674.002102,946708.5349586,1036517.0861509,769435.2046001,776837.361265,1064892.142329,1145687.3058893,828768.8735838,839989.3410678,1038123.2147427,1089446.1141467,946718.5728271,971471.717944,1145774.0797793,1243936.1282845,1065701.9246823,1087891.0313666,"7.  Financial,  real estate  &  professional  services "
"8.  लोक प्रशासन, रक्षा एवं अन्य सेवाएं",225668.84021777514,263656.9687954527,245398.6611976353,291257.2776077157,263981.7669550376,304586.74417270825,271594.0837916915,323411.7915075079,303684.086521205,341392.0232645937,308435.3500496269,348423.926219299,334552.2076789275,390144.4860746735,394998.0143082662,371841.17411567795,371179.1940849971,433095.7534126642,442647.7603643087,413144.1359701696,417100.7803062481,484122.2564705495,503381.05918830005,494233.2119901824,485075.670505,537192.800992,566514.784334,552058.140338,552771.2300207,607708.5285934,630757.5512296,629907.7234403,640601.6281989,676067.9471778,695381.0015739,689161.3469155,605213.0115267,637464.0480122,704590.7423806,731519.6575907,672313.6222401,800617.7089846,865762.9011041,832271.3405595,"8.  Public administration, defence  and Other Services"
9. बुनियादी मूल्यों पर सकल मूल्य वर्धन,1916470.2964771774,1900302.9132248522,2091166.28117757,2199006.502653209,2187401.8754674764,2202206.8087354973,2356863.5638421145,2456219.8561078357,2441377.22059487,2511852.3357120715,2706145.1807990265,2703777.874533343,2807898.653660444,2870607.376804312,2940363.6167504005,2885409.8360653315,3072867.3214219683,3091942.3238291265,3204669.86291209,3205019.1380411186,3400202.4787222384,3426441.8627868257,3538125.124986805,3600430.7231392926,3707520.326824,3773800.197082,3991568.682265,4032776.005354,4174229.6519822,4210938.5944391,4389538.1582469,4400421.8961564,4547088.7965224,4470174.8954753,4658768.1417842,4679077.6120259,3656788.720953,4278622.4592544,4917197.2360192,5205201.3656007,4623254.4216494,5043356.9277236,5686149.4426727,5996638.3757924,9. GVA at Basic Price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note-Totals may not tally due to rounding off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
