विवरण 8.18.2:  व्यय के बाजार भावों पर सकल देशीय उत्पाद के तिमाही अनुमान (₹ करोड़ में) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Statement 8.18.2:  Quarterly Estimates of Expenditures of GDP ( ₹ Crore ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(प्रचलित भावों पर at current prices)                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र॰ स॰   मद,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,Sr. No,Items
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,
1 निजी अंतिम उपभोग व्यय,1196397.9523324862,1119458.9301742825,1281386.0023480854,1313205.3484462588,1288286.60012195,1323175.23438246,1508200.85166517,1494822.16803002,1480173.306170964,1515620.7558205184,1752700.8506468039,1727154.2089582467,1715731.0863391454,1758329.0981085747,1854293.233900877,1918984.1986904815,1914897.623900509,1930421.5427857495,2096440.7466815882,2184647.233021471,2120871.245529127,2199049.167256289,2409747.8778698323,2396862.937451986,2358855.315791,2376307.1375498,2620783.80033,2680204.6783582,2640304.4129537,2705685.2909719,2925858.4173095,2933446.2875032,2919710.0514667,2949713.8834738,3233962.9659875,3133721.7357516,2295742.9102686,2825020.518262,3424584.6092805,3487411.8238692,2846870.5790301,3345447.0604229,3985298.1014735,3917788.8143382,1,Private final consumption expenditure
,(58.5),(55.2),(57.1),(54.3),(55.7),(56.1),(59.2),(54.8),(57.7),(56.4),(60.0),(56.4),(58.9),(57.6),(58.2),(57.9),(59.0),(57.5),(60.3),(59.1),(58.3),(58.6),(62.2),(58.1),(58.8),(57.2),(60.4),(58.5),(57.8),(58.1),(60),(61.1),(59.1),(60.7),(63),(61),(59.3),(59.8),(62.9),(60.6),(55.5),(59.5),(63.2),(59.2),,
2 सरकारी अंतिम उपभोग व्यय,195528.21056813208,255853.44820141396,223407.76762890635,293585.57360154757,240744.7554731401,310869.5655808108,209686.9209882109,301102.82167512557,308484.91172006546,331309.4673305265,237025.2117986141,279689.44865398924,337037.39974153205,384486.81726675254,313546.6434512317,266690.91616597906,363606.11365903,425666.70046845515,349864.7099232604,297033.520138462,389045.79850593425,455122.40997072466,384784.46263913007,357704.92878265266,484811.3190878,504289.7767927,444759.2681991,406258.4984019,544125.1190128,570239.83387,476809.825445,454377.6380928,546982.0026942,616670.2135326,521296.9485504,515922.288355,648496.1036565,500590.1263174,546641.5640654,697562.1474502,660771.6641299,580557.2970949,603011.40404,789526.8839337,2,Government final consumption expenditure
,(9.6),(12.6),(10.0),(12.1),(10.4),(13.2),(8.2),(11.0),(12.0),(12.3),(8.1),(9.1),(11.6),(12.6),(9.8),(8.0),(11.2),(12.7),(10.1),(8.0),(10.7),(12.1),(9.9),(8.7),(12.1),(12.1),(10.2),(8.9),(11.9),(12.2),(9.8),(9.5),(11.1),(12.7),(10.2),(10),(16.7),(10.6),(10),(12.1),(12.9),(10.3),(9.6),(11.9),,
3 सकल स्थायी पूंजी निर्माण,682095.0842824988,722663.5428498138,756940.1336207243,836034.0735466855,795727.4688498676,809693.2505880436,815439.4446664182,904112.9668612946,847937.6421178516,855856.4938389808,875621.3069545205,936205.5788618457,928905.5126941629,944023.9142007125,909481.1596050034,967981.123703646,961034.5017388948,960324.2887496962,991937.8862238929,1043795.6941311145,1085914.6017177682,1045064.366610508,1070569.8460671338,1137122.4131209645,1125164.6149914,1141094.8336555,1209889.2095049,1339453.1256721,1336612.3848236,1344943.3459263,1422243.1182358,1464623.5516923,1501041.4037494,1359901.2620121,1399131.1877884,1477571.2038034,800026.8078386,1290479.7754225,1433253.3661012,1740313.4227015,1443836.6627306,1650441.2287893,1647884.9430246,2017627.3027985,3,Gross fixed capital formation
,(33.4),(35.6),(33.7),(34.6),(34.4),(34.4),(32.0),(33.2),(33.1),(31.9),(30.0),(30.6),(31.9),(30.9),(28.6),(29.2),(29.6),(28.6),(28.5),(28.2),(29.8),(27.8),(27.6),(27.6),(28.1),(27.4),(27.9),(29.2),(29.3),(28.9),(29.2),(30.5),(30.4),(28),(27.3),(28.7),(20.7),(27.3),(26.3),(30.2),(28.2),(29.4),(26.1),(30.5),,
4 स्टॉक में अंतर,51753.98253801765,48668.05218364979,49374.633380668885,58186.519713019625,51093.80007155555,54003.40290111713,51525.07352510753,57902.107805758096,34869.694041173614,35820.381703678395,35128.25277482063,38802.97926077582,78435.25851154339,79320.00514420199,72448.14203214717,82494.26193294527,64910.49919072848,65316.18102723096,61886.67986117676,70363.87184990892,34080.99814244543,34072.39784722077,32835.654984515735,37094.23579695806,54473.7962021,59108.411237,57884.7016409,66113.89301,76507.0404692,79711.9383055,77518.2130293,84497.1778437,33705.7743377,33364.7755333,32281.6339555,35119.9653247,-1970.0195715,-3032.5474144,-3085.1004942,-3676.285719,49431.1599041,54396.1765446,52782.967206,61559.2868927,4,Change in stock
,(2.5),(2.4),(2.2),(2.4),(2.2),(2.3),(2.0),(2.1),(1.4),(1.3),(1.2),(1.3),(2.7),(2.6),(2.3),(2.5),(2.0),(1.9),(1.8),(1.9),(0.9),(0.9),(0.8),(0.9),(1.4),(1.4),(1.3),(1.4),(1.7),(1.7),(1.6),(1.8),(0.7),(0.7),(0.6),(0.7),(-0.1),(-0.1),(-0.1),(-0.1),(1),(1),(0.8),(0.9),,
5 बहुमूल्य,55260.046838162234,65317.84606132199,62021.0910041671,70434.34938362867,68569.51832073148,67458.29481029688,69905.85574122352,67840.85548657128,38189.87334585298,40720.41537131453,35542.021768298364,47309.119007425084,53194.50126174635,48591.682221961724,45802.181072999454,61818.31223120713,46212.18348111307,52176.60403273304,51419.26881120923,53697.909224876545,38439.00534315614,44547.281342871,43233.47430129795,41106.559534653934,81416.3971918,58760.8249656,54465.4854445,47042.6687772,53629.7155719,59785.4072924,59676.8553243,53012.3518525,48178.8374452,53685.3586939,49797.8978662,43046.3460935,4459.4008857,69016.1473765,66399.3915532,131539.2895978,31868.9474139,190816.8776543,106141.6418545,72858.8068584,5,Valuables
,(2.7),(3.2),(2.8),(2.9),(3.0),(2.9),(2.7),(2.5),(1.5),(1.5),(1.2),(1.5),(1.8),(1.6),(1.4),(1.9),(1.4),(1.6),(1.5),(1.5),(1.1),(1.2),(1.1),(1),(2),(1.4),(1.3),(1),(1.2),(1.3),(1.2),(1.1),(1),(1.1),(1),(0.8),(0.1),(1.5),(1.2),(2.3),(0.6),(3.4),(1.7),(1.1),,
6 वस्तुओं एवं सेवाओं का निर्यात,493074.8776915286,503937.31466481386,557993.2676540371,588925.5399896203,555655.0267185079,694342.2041248424,566043.3929024993,623666.3762541503,616226.4836772573,747412.7919232657,726997.8810457791,766144.1435693529,706895.726583947,727107.8590567581,732620.0391711837,697012.6533644771,671293.8470525045,687100.6106157851,677377.3583711464,692875.6059593986,704794.9034417019,720886.1668212321,743329.3202809931,779761.7159855181,758515.4772157,784764.9490384,817204.8116803,851035.3335068,870373.8433407,924644.9529739,983151.7492379,988122.9878332,930664.8104313,927287.4158149,963769.838146,930465.7602316,748963.0462416,928387.2069561,958567.4475788,1068615.2052296,1128349.4259286,1225739.1975664,1312634.8871198,1397161.9331913,6,Exports of goods and services
,(24.1),(24.8),(24.9),(24.4),(24.0),(29.5),(22.2),(22.9),(24.0),(27.8),(24.9),(25.0),(24.3),(23.8),(23.0),(21.0),(20.7),(20.5),(19.5),(18.7),(19.4),(19.2),(19.2),(18.9),(18.9),(18.9),(18.8),(18.6),(19),(19.9),(20.2),(20.6),(18.8),(19.1),(18.8),(18.1),(19.3),(19.7),(17.6),(18.6),(22),(21.8),(20.8),(21.1),,
7 घटाएं: वस्तुओं एवं सेवाओं का आयात,626234.5577558859,636896.3868381849,719821.613295542,732601.4421103871,715867.4364437764,803996.6940108794,798750.1360376133,789813.733507731,768364.7276051685,827689.8096024891,783768.9899607098,811987.3714380427,800616.5669475776,840838.8115761493,836454.2608483268,758052.2864138915,757977.5481586813,795276.8256461454,758572.01029057,733097.0178509707,760291.9532634126,800974.2268930044,847859.571244035,811465.6759888625,912523.4821755,877554.8379736,970030.1494362,991280.9474864,1057121.5998594,1139191.2449464,1188199.6857555,1092656.5254474,1117374.8404136,1060389.138729,1066233.9628945,1026234.0869209,671809.9456015,877558.0816346,1036806.3116954,1195098.2373733,1158548.8175519,1358478.7663598,1548120.3138187,1588743.6393897,7,Less: Imports of goods and services
,(30.6),(31.4),(32.1),(30.3),(30.9),(34.1),(31.3),(29.0),(30.0),(30.8),(26.8),(26.5),(27.5),(27.5),(26.3),(22.9),(23.4),(23.7),(21.8),(19.8),(20.9),(21.3),(21.9),(19.7),(22.8),(21.1),(22.4),(21.6),(23.1),(24.5),(24.4),(22.8),(22.6),(21.8),(20.8),(20),(17.3),(18.6),(19),(20.8),(22.6),(24.2),(24.6),(24),,
8 विसंगतियाँ,-4379.305342449807,-49533.58212521998,33550.94671630056,-9259.837061083876,28993.359726164956,-98591.98340791557,126326.42301451089,65845.34928852739,7857.261604560306,-12847.270482998458,41823.509147827746,77556.03152234759,-105189.69443877682,-47038.533212537994,93179.92508124863,77737.62518328172,-20433.859551193425,30155.32192270516,6277.828872339684,86496.80865899927,26920.00662337418,56349.464691901,38365.63721451361,184583.56438828283,58202.5204221,110475.252309,104236.3946142,185858.7530057,104938.1932921,110197.4864644,115939.842778,-84139.4808513,79547.0960596,-18581.3901172,-3594.9103163,30723.4642895,49535.0938941,-11084.2783475,58987.3041528,-169557.9180777,124209.6346222,-68753.0658989,142812.9038213,-52544.1923359,8,Discrepancies
