क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
1,अनाज,336359,382040,422128,414083,431970,484793.446,523809.518,586929.07188,634120.20786,638697.97038,336359,330465,340034,325937,325628,347233.065,356773.555,363269.0697,377605.38935,388485.19325,Cereals,1
1.1,धान,170595,198266,220635,226644,228181,250601.609,274900.824,309860.22674,323354.07091,338240.52508,170595,169773,172144,170272,168028,176244.351,180331.001,187292.87246,191153.25999,196564.16378,paddy,1.1
1.2,गेहूँ,118068,131710,142561,129011,145939,165526.151,177944.971,200765.60642,213936.90947,212262.85903,118068,115884,119051,107828,114880,122698.666,124517.757,128982.32799,133897.69957,135787.89341,wheat,1.2
1.3,ज्वार,9807,8133,9073,9917,7812,8775.64,9357.426,7986.84187,12196.04967,11705.74577,9807,8540,9144,8839,6769,7457.495,7686.675,5541.62345,7766.18453,7782.46584,jowar,1.3
1.4,बाजरा,9940,10858,11807,11345,11297,14419.222,11921.164,14247.83454,19470.46087,16985.63229,9940,8309,8949,8678,7646,9360.861,8879.916,8204.98838,9838.35583,10313.17995,bajra,1.4
1.5,जौ,1901,2133,2254,2049,2099,2568.678,2590.69,2832.65153,2715.02428,2357.0904,1901,2075,2164,1916,1679,2046.097,2080.922,1935.78893,2056.0221,1996.25401,barley,1.5
1.6,मक्का,23539,27952,31875,31182,32920,39114.335,41535.554,47460.90134,57289.42778,51262.48168,23539,23742,26049,25844,24240,27541.761,30759.694,29577.20012,30629.42085,33546.50855,maize,1.6
1.7,रागी,2015,2455,3382,3438,3040,3174.419,4933.53,3131.60045,4355.0805,5012.44692,2015,1651,2102,2160,1899,1442.469,2073.157,1329.94102,1816.61625,2023.04991,ragi,1.7
1.8,छोटा बाजरा,413,427,467,429,425,540.208,548.136,477.05183,603.02644,589.53945,413,399,374,349,315,390.479,386.482,297.92937,332.19806,314.24141,small millets,1.8
