Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
विवरण 8.6.1 भाग I: निगमित क्षेत्र में विनिर्माण से उत्‍पादन,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT 8.6.1 PART I: OUTPUT FROM MANUFACTURING IN CORPORATE SECTOR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
( ₹ करोड़),,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,( ₹ crore),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन",756573,775259,925482,1061298,1094922,1304044.353,1393894.07049,1671036.0961,1700776.7605,1773687.5736,756573,714783,812490,909480,946884,1037625.616,1089019.57434,1302620.1154,1274609.9353,1268265.9995,"Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण",214801,192382,231215,247261,250067,328254.623,337903.88124,391316.7426,407082.6731,455218.8755,214801,181350,217224,235258,243649,297786.139,301358.88175,328222.6214,336544.8224,320794.8956,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,82306,78380,111676,138958,144572,164982.229,184415.31955,183626.7308,186436.5634,185377.1996,82306,75897,99191,112335,116968,124703.121,129778.55,134821.3883,128576.9403,126192.7839,Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,175736,193800,237048,277286,286759,357250.669,358852.1002,412248.7528,421074.9263,417162.1482,175736,170580,188889,216455,224768,256190.889,259009.43944,288725.5617,281182.3593,285405.2211,"Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,184348,218523,244146,275513,285421,320199.942,375182.98437,525604.6115,526360.9665,582970.73,184348,200193,216914,240623,254879,251908.75,291504.05428,429337.3604,408334.2968,438131.5356,Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,71016,60255,65143,78733,81716,82895.863,87846.10023,99634.6792,100434.0211,78778.1063,71016,57288,57814,69491,71744,71400.398,73882.3383,82547.373,81257.2986,63275.5874,Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,28367,31920,36253,43547,46386,50461.028,49693.68489,58604.5791,59387.6101,54180.514,28367,29475,32458,35318,34877,35636.319,33486.31057,38965.8106,38714.2178,34465.9758,Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण",483301,545279,726595,724809,774452,811877.757,854449.45185,927071.0435,923868.9109,736297.8766,483301,516132,640301,631414,683128,703719.425,726585.27659,760890.867,761194.6817,608848.2048,"Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,363339,405370,535227,550741,560837,590903.545,631291.68034,668356.4738,665288.7837,540643.5822,363339,388688,476398,488678,514058,531388.08,556694.60347,566884.2017,565241.1076,459730.9372,Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण",80777,99155,137265,115316,141159,151211.161,155797.6849,183007.4028,183785.8753,132875.4577,80777,89449,116533,94058,109681,115428.368,113804.0065,131849.7139,132889.2808,95869.7386,"Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
2.3,15,चमड़े और संबंधित उत्पादों का विनिर्माण,39186,40754,54103,58753,72456,69763.051,67360.08661,75707.1669,74794.2519,62778.8367,39186,37995,47370,48677,59390,56902.978,56086.66662,62156.9515,63064.2933,53247.529,Manufacture of leather and related products,15,2.3
3,,धातु और धात्‍विक उत्पादों का विनिर्माण,989490,1050950,1162086,1197605,1167586,1157742.279,1427813.30529,1787267.2104,1783022.3729,1774838.1905,989490,1006530,1125393,1151249,1223268,1235027.757,1386088.97477,1586624.2618,1658238.5945,1584846.9218,Manufacture of metal & metal products,,3
3.1,241+2431,बुनियादी लौह और इस्‍पात का विनिर्माण + लोहा और इस्पात की कास्टिंग,627186,671537,779486,765489,646590,733587.971,898913.87423,1200667.0622,1208489.6821,1244862.8929,627186,640908,759421,748897,718734,823336.802,899430.95651,1069925.653,1139621.8616,1119253.1187,Manufacture of basic iron and steel + casting of iron and steel,241+2431,3.1
3.2,242+2432,बुनियादी कीमती और अलौह धातुओं का विनिर्माण + अलौह धातुओं की कास्टिंग,167636,187642,182714,222077,294226,178181.974,276548.49381,312215.9413,309549.5489,292118.6398,167636,179879,171444,203828,290398,177654.481,256200.54132,278310.9398,289194.0992,260368.0414,Manufacture of basic precious and non-ferrous metals + casting of non-ferrous metals,242+2432,3.2
3.3,25,"मशीनरी और उपकरणों को छोड़कर, विरचित धात्‍विक उत्पादों का विनिर्माण",194668,191771,199886,210039,226770,245972.335,252350.93725,274384.207,264983.1419,237856.6578,194668,185743,194528,198525,214136,234036.474,230457.47694,238387.669,229422.6337,205225.7617,"Manufacture of fabricated metal products, except machinery and equipment",25,3.3
4,,मशीनरी और उपकरणों का विनिर्माण,1181841,1257978,1277026,1455949,1624515,1828538.405,2040199.70649,2357124.1674,2355717.579,2127622.919,1181841,1224192,1211713,1339487,1487917,1681199.609,1853701.12929,2098921.0026,2067313.2663,1826503.887,Manufacture of machinery & equipment,,4
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण",103007,106365,139637,137396,165294,197892.232,235174.5835,291772.8111,292591.6143,275628.1118,103007,105393,135466,128104,153257,184384.376,211830.18858,255575.7721,257836.8881,244615.9472,"Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण",56702,56588,69001,69424,51979,57980.82,57660.80847,76572.4034,75395.2217,77093.664,56702,55643,66788,67595,50519,56520.279,55801.81996,74572.7291,76520.0517,78084.2312,"Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,15037,18256,28309,24436,27290,27092.721,31188.99368,38592.6297,38874.3839,48900.5507,15037,19090,28816,20145,21404,21282.577,24481.15673,29126.513,28795.84,36276.3729,Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,15553,14246,23031,19142,59063,84293.586,114175.17529,136677.7645,138282.7131,115343.5159,15553,13859,21562,17856,56197,80973.666,103232.52739,117118.907,118190.3531,100386.0017,Manufacture of communication equipment,263,4.1.3
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,15715,17275,19295,24394,26963,28525.105,32149.60607,39930.0135,40039.2955,34290.3812,15715,16802,18299,22507,25137,25607.854,28314.68451,34757.623,34330.6434,29869.3414,Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,201279,215975,231757,247241,269477,308631.135,338204.42867,367348.453,368327.6269,344342.7294,201279,209070,221499,225791,247227,285241.344,308580.6831,328870.5935,330932.2793,303118.5998,Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,329796,341743,320466,364673,374773,437816.455,485611.82839,560613.7733,548785.3403,493187.7396,329796,330014,302837,336725,343199,405761.311,445924.54398,503696.1126,485221.3442,432620.8242,Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,547760,593896,585165,706639,814970,884198.584,981208.86592,1137389.1301,1146012.9976,1014464.3382,547760,579716,551912,648867,744234,805812.577,887365.71363,1010778.5245,993322.7546,846148.5158,Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण",2295038,2599699,2807100,2883413,2467537,2549372.939,2783102.59303,3503870.2968,3443160.1349,3220420.0179,2295038,2408223,2449523,2595873,2512881,2593978.895,2691132.84959,3147468.4057,3125800.8459,2977412.195,"Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,1231888,1427907,1548649,1434967,915640,910054.562,1023962.56965,1286470.2676,1219470.4886,965890.0135,1231888,1310226,1314253,1325285,1133082,1125376.422,1135557.72197,1257080.7353,1228136.0808,1082271.9341,Manufacture of coke & refined petroleum products,19,5.1
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण",462850,509110,553764,626716,668344,662125.495,729330.12803,950938.6358,954413.5458,977149.566,462850,469170,487601,539807,593556,596509.455,648293.44713,798437.1417,812266.8474,826691.6802,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण",190144,204098,230764,257134,300519,318142.566,325754.96396,399906.413,403754.1078,440719.2339,190144,194724,213633,224571,253175,265783.263,268774.72274,323810.8607,317167.406,336683.9068,Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,188862,207363,230261,265020,282471,312114.374,327914.37565,412633.4685,410222.8119,422128.2535,188862,199304,208456,237048,261064,290338.952,304753.13722,376490.3909,378085.541,379270.668,Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,221294,251221,243662,299577,300564,346935.943,376140.55574,453921.512,455299.1808,414532.951,221294,234797,225581,269162,272004,315970.804,333753.82053,391649.277,390144.9707,352494.006,Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,294126,345444,391275,480139,462822,510684.677,532945.57223,599373.7938,595265.4543,510719.8261,294126,340213,376062,430379,391107,424061.003,453560.30401,504770.8982,488866.9219,389268.2105,Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,22179,25800,28768,31665,34292,38617.747,36792.41306,46532.1292,48990.6078,40395.0874,22179,23276,24234,25413,26378,29751.731,27979.02134,34855.5275,36642.1898,30011.2091,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,77753,79435,94607,107874,110218,121376.632,134725.05194,169419.4169,164872.3239,132262.8973,77753,76720,85863,94626,97798,106845.627,113309.54747,137404.2311,136145.6019,108679.4555,Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,48401,50294,46135,64146,60529,62836.846,67625.40364,68477.7083,70592.9747,55472.4423,48401,45561,38892,50829,44474,44533.555,47060.1278,46710.5786,46874.4852,36067.9079,Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,18255,25624,27300,28059,43926,39913.834,45774.44456,54454.2978,53046.0988,39626.853,18255,24290,24430,24085,38976,34981.45,38050.24486,42776.3534,40524.1396,29749.8896,Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,120969,157868,186174,238831,204900,239025.019,236430.81499,248730.2496,246306.5517,232681.7232,120969,164164,194807,226595,175278,199686.733,216511.73534,232458.1772,218550.6226,175741.4827,Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,6569,6423,8292,9564,8957,8914.598,11597.44403,11759.9918,11456.8974,10280.8229,6569,6202,7836,8831,8203,8261.907,10649.62721,10566.0304,10129.8828,9018.2657,Repair and installation of machinery and equipment,33,6.6
7,,उत्पादन का कुल मूल्य,6000370,6574610,7289565,7803213,7591834,8162260.41,9032404.69937,10845742.6081,10801811.2125,10143586.4036,6000370,6210073,6615483,7057882,7245184,7675612.305,8200088.1086,9401295.5507,9376024.2456,8655145.4186,Total Value of Output,,7
