Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
विवरण 8.6.1 भाग II: निगमित क्षेत्र में विनिर्माण से मूल्‍य वर्धन,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT 8.6.1 PART II: VALUE ADDED FROM MANUFACTURING IN CORPORATE SECTOR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
( ₹ करोड़),,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,( ₹ crore),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन",137024,135277,140178,151319,184257,221002.55,238739.16967,298082.2523,293370.1654,318767.3258,137024,124938,123284,129256,158981,174260.232,185115.45924,230451.6419,220289.3494,231216.8039,"Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण",21560,18916,20178,18187,28705,28023.711,33637.13604,35712.6003,35709.0978,42492.4569,21560,17831,18957,17304,27968,25422.56,29999.21062,29954.464,29521.5512,29944.6354,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,9797,8901,12577,12688,14857,17722.407,20428.325773,20268.1684,20166.4621,21084.2243,9797,8619,11171,10257,12020,13395.622,14376.02095,14881.1809,13907.9049,14352.7735,Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,26772,27028,25969,26015,26358,35379.388,38873.365897,47513.9594,47491.8898,49187.8596,26772,23789,20693,20308,20660,25371.196,28057.71153,30570.1225,31713.7896,33652.3148,"Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,35670,37633,42145,49887,60443,82817.557,84998.029698,128458.9145,125230.2162,147839.7354,35670,34477,37444,43570,53975,65154.5,66040.49569,104930.9881,97149.6663,111108.9236,Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,29387,25621,22396,23650,30423,29785.661,33914.496249,37568.0956,36723.4486,30875.8948,29387,24359,19876,20873,26711,25655.177,28523.54605,31125.1828,29711.528,24799.9155,Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,13838,17178,16913,20893,23470,27273.825,26887.816012,28560.5142,28049.0509,27287.1549,13838,15863,15142,16945,17646,19261.176,18118.4744,18989.7036,18284.9094,17358.241,Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण",110333,139069,167493,171642,204954,211119.789,230174.818892,253449.8274,247364.5217,205465.6386,110333,131494,147416,148945,174448,181313.084,193316.28867,206279.9464,202178.2403,168618.3468,"Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,75528,101140,118397,122325,137272,140727.87,152204.602003,166700.1088,162410.7411,138217.6598,75528,96977,105383,108541,125822,126553.84,134219.22575,141391.1016,137987.0358,117532.0237,Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण",24865,27981,35879,35431,49366,50795.027,56998.024308,62991.5685,61940.2315,46984.7555,24865,25242,30460,28899,33612,38774.83,41634.78766,45382.9744,44786.863,33899.535,"Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
2.3,15,चमड़े और संबंधित उत्पादों का विनिर्माण,9941,9948,13217,13886,18316,19596.891,20972.19258,23758.1502,23013.5491,20263.2232,9941,9274,11572,11505,15013,15984.414,17462.27525,19505.8705,19404.3416,17186.7881,Manufacture of leather and related products,15,2.3
3,,धातु और धात्‍विक उत्पादों का विनिर्माण,212738,218901,270981,253864,214007,252248.138,308412.734068,343533.0872,330053.6008,353763.5338,212738,209988,262671,243321,207823,265622.36,297445.91434,304377.2294,305081.374,315134.7536,Manufacture of metal & metal products,,3
3.1,241+2431,बुनियादी लौह और इस्‍पात का विनिर्माण + लोहा और इस्पात की कास्टिंग,128476,109508,179642,144023,90985,138896.972,171542.409616,215484.9276,210020.9635,236022.1185,128476,104513,175018,140901,101137,155889.945,171641.08597,192020.6352,198052.5651,212206.8974,Manufacture of basic iron and steel + casting of iron and steel,241+2431,3.1
3.2,242+2432,बुनियादी कीमती और अलौह धातुओं का विनिर्माण + अलौह धातुओं की कास्टिंग,30312,48296,35469,51170,54993,41295.874,61389.514847,48996.6874,45359.5766,46990.3746,30312,46298,33281,46965,54277,41173.621,56872.58216,43675.906,42376.8083,41882.9549,Manufacture of basic precious and non-ferrous metals + casting of non-ferrous metals,242+2432,3.2
3.3,25,"मशीनरी और उपकरणों को छोड़कर, विरचित धात्‍विक उत्पादों का विनिर्माण",53950,61097,55870,58671,68029,72055.292,75480.809605,79051.4722,74673.0607,70751.0407,53950,59177,54372,55455,52409,68558.794,68932.24621,68680.6883,64652.0006,61044.9014,"Manufacture of fabricated metal products, except machinery and equipment",25,3.3
4,,मशीनरी और उपकरणों का विनिर्माण,333519,356667,338715,388002,485567,542053.623,587266.832095,651372.4852,632945.2264,608632.3817,333519,346832,321363,357072,430388,475578.977,533875.10109,581448.022,556491.1439,523194.8344,Manufacture of machinery & equipment,,4
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण",30319,32079,38316,35538,48780,55897.577,58075.820774,61705.3347,60260.3097,61992.8232,30319,31679,37164,33107,45208,51677.92,52146.37743,55032.1335,54339.4936,56084.8446,"Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण",16491,15602,17827,16562,15603,18708.797,17324.67397,24150.6569,23412.7961,25056.6676,16491,15341,17255,16125,15165,18237.522,16766.12527,23519.9669,23762.0942,25378.6177,"Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,3522,4247,7839,5851,7692,8237.87,9319.801688,8623.0409,8404.3701,11290.164,3522,4441,7980,4823,6033,6471.225,7315.38594,6507.9554,6225.4594,8375.4926,Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,3395,4884,5496,4622,13119,15569.22,16327.682521,13248.6485,13179.7239,11667.815,3395,4751,5145,4312,12482,14956.023,14762.82326,11352.7408,11264.7213,10154.7563,Manufacture of communication equipment,263,4.1.3
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,6912,7347,7154,8504,12365,13381.69,15103.662595,15682.9884,15263.4196,13978.1766,6912,7146,6784,7846,11528,12013.15,13302.04297,13651.4704,13087.2187,12175.9781,Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,52047,54385,54354,55447,73697,80119.839,84633.071042,87876.6275,85607.3212,85446.4534,52047,52646,51948,50636,53286,51551.895,77219.95533,78672.0031,76915.8321,75216.9484,Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,115642,119143,103074,116244,124403,149577.49,177411.522231,185006.5017,175452.691,167464.8465,115642,115054,97404,107335,113922,138626.033,162912.32528,166223.272,155130.5844,146898.9881,Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,135511,151059,142971,180773,238688,256458.717,267146.418048,316784.0212,311624.9045,293728.2586,135511,147452,134846,165994,217971,233723.129,241596.44305,281520.6133,270105.2337,244994.0532,Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण",423254,501550,551956,645996,727431,773602.889,833438.427214,861172.3101,813483.0905,916460.1642,423254,467283,490301,578298,652428,689394.634,694905.08816,676500.227,661609.2949,764879.964,"Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,81852,155428,177052,236600,204812,187140.153,209446.197612,161983.3283,131236.1831,175954.4783,81852,142618,150254,218515,253450,231418.12,232272.40339,158282.8042,132168.7512,197155.5673,Manufacture of coke & refined petroleum products,19,5.1
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण",121309,126614,127623,133521,192668,207564.793,223172.492835,247859.6224,241881.7196,265619.3903,121309,116682,112375,115005,119330,122964.829,126099.26585,145051.3402,158986.2052,177501.5601,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण",89780,85196,100555,112675,144319,157237.063,165018.757127,190831.304,186420.1239,217619.6132,89780,81284,93090,98406,110119,131359.284,136154.09004,154519.2745,146441.5741,166248.7496,Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,44701,44100,61300,64546,79816,91115.896,90301.962531,102101.0059,98944.4854,108240.9103,44701,42386,55495,57733,73767,84758.973,83923.757,93157.8521,91193.0741,97251.4917,Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,85611,90211,85426,98654,105816,130544.984,145499.017109,158397.0496,155000.5786,149025.7721,85611,84314,79087,88638,95761,118893.428,116455.57189,125488.9562,132819.6903,126722.5954,Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,69585,72954,77546,95819,110657,121196.446,133348.124768,145663.7833,142138.0787,124226.1094,69585,70314,72028,83606,92246,92550.585,110313.97411,118293.3721,113180.4323,94124.0303,Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,6279,6719,6819,9070,11044,12152.434,11512.088438,13402.1025,14012.3794,11797.769,6279,6062,5745,7279,8496,9362.43,8754.43988,10039.0281,10480.4633,8765.0587,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,18583,17366,22958,23527,27273,31507.48,38284.587601,45508.4756,43314.2788,36954.4631,18583,16772,20836,20638,24200,27735.457,32198.98032,36908.7393,35767.3648,30365.2121,Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,17837,17943,14592,21826,25190,24908.728,27069.308962,27660.6865,27955.5601,22965.3459,17837,16255,12301,17295,18509,17653.244,18837.37576,18868.1354,18562.7889,14931.9544,Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,5193,7822,7908,8656,15715,11951.184,14347.544851,17428.7546,16750.4431,12777.9627,5193,7415,7077,7430,13944,10474.307,11926.4712,13691.0876,12796.366,9593.0651,Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,17702,20213,21613,28846,27976,36271.354,37412.298528,37461.909,36107.3544,35950.9542,17702,21020,22616,27368,23931,23242.415,34260.34664,35011.13,32038.4689,27153.2887,Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,3991,2890,3655,3894,3459,4405.267,4722.296388,4201.8552,3998.0628,3779.6145,3991,2791,3454,3595,3168,4082.731,4336.36032,3775.2517,3534.9804,3315.4513,Repair and installation of machinery and equipment,33,6.6
7,,"सकल मूल्य वर्धन, अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाओं के लिए असमायोजित",1286454,1424418,1546870,1706643,1926872,2121223.436,2331380.106707,2553273.7455,2459354.6836,2527315.1535,1286454,1350850,1417064,1540498,1716314,1878719.872,2014971.82561,2117350.4389,2058829.8348,2097168.733,GVA unadjusted for FISIM,,7
8,,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,56014,62127,72362,74820,76733,79183.593,82500.174966,94192.5744,97360.0982,103948.2632,56014,61931,70956,71598,72776,74789.155,73415.16402,77472.3865,75678.3966,79335.6709,FISIM,,8
9,,सकल मूल्‍य वर्धन,1230439,1362291,1474509,1631823,1850139,2042039.843,2248879.931741,2459081.1711,2361994.5854,2423366.8903,1230439,1288919,1346108,1468900,1643539,1803930.717,1941556.66159,2039878.0524,1983151.4382,2017833.0621,GVA,,9
10,,स्‍थायी पूंजी अवक्षय,217175,234408,250737,271336,291329,310475.57,331274.762714,357901.2192,381920.2081,399510.4645,217175,226334,235406,244151,261192,278340.008,291222.43323,304372.4646,318947.8737,329118.3584,CFC,,10
11,,निवल मूल्‍य वर्धन,1013264,1127883,1223772,1360487,1558810,1731564.273,1917605.169027,2101179.9519,1980074.3773,2023856.4258,1013264,1062585,1110702,1224749,1382346,1525590.709,1650334.22837,1735505.5877,1664203.5645,1688714.7038,NVA,,11
