क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
1,व्यापार और मरम्मत सेवाएं,,,,,,,,,,,,,,,,,,,,,Trade and repair services,1
1.1,उत्पादन का मूल्य,1065574,1275443,1443159,1638052,1749721,1960947.13,2281567.14015572,2599132.80105607,2834498.14331775,2349300.19036777,1065574,1189779,1264820,1413333,1542691,1697642.741,1905116.18249475,2078973.60506805,2227328.41687706,1829673.04545777,value of output,1.1
1.2,लागत,245876,290758,333241,394758,403931,450604.489,512022.361302065,589166.318440689,644027.278577848,547416.744017608,245876,271229,292061,340602,356138,390099.981,427540.381848752,471257.653527986,506072.040372346,426337.028051096,input,1.2
1.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,26017,30002,31498,36820,38466,41759.67,46873.2995685204,54168.0159231349,60785.2917342832,69062.4518949374,26017,29882,30817,35090,36432,39312.519,41591.9915355505,44478.9583369558,47046.6674116881,52512.9519172703,FISIM,1.3
1.4,सकल मूल्य वर्धन,793681,954683,1078421,1206474,1307323,1468582.972,1722671.47928513,1955798.46669225,2129685.57300562,1732820.99445523,793681,888667,941943,1037640,1150121,1268230.241,1435983.80911045,1563236.99320311,1674209.70909303,1350823.0654894,Gross Value Added,1.4
1.5,स्‍थायी पूंजी अवक्षय,37197,47934,54241,62656,69827,81282.023,98358.4424882293,116056.342004233,128085.669247003,139109.184197449,37197,45065,48927,55043,62732,72031.047,83523.9906752886,94116.7214149798,102607.541262315,108784.645634796,CFC,1.5
1.6,निवल मूल्य वर्धन,756484,906749,1024180,1143818,1237496,1387300.949,1624313.0367969,1839742.12468802,2001599.90375862,1593711.81025778,756484,843602,893016,982597,1087389,1196199.194,1352459.81843516,1469120.27178813,1571602.16783072,1242038.4198546,Net Value Added,1.6
2,होटल और जलपान गृह,,,,,,,,,,,,,,,,,,,,,Hotels & restaurants,2
2.1,उत्पादन का मूल्य,264753,293904,314906,338781,372583,409716.775,459635.833567254,528210.337704957,583176.22269876,270431.384403573,264753,274164,275991,292305,328499,354702.428,383797.456218482,422500.670056756,458255.714834795,210616.342993437,value of output,2.1
2.2,लागत,172344,191070,204264,219221,240497,263073.115,294348.811206342,339762.442226663,378578.397117375,177825.725585467,172344,178237,179022,189147,212041,227749.213,245782.240486257,271766.471145947,297484.203298267,138493.555751921,input,2.2
2.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,2508,2985,4502,5201,5441,6225.862,6563.93296509431,7539.10741844335,8471.02295146939,6445.2888481167,2508,2973,4405,4957,5153,5861.022,5824.36156270662,6190.5838537379,6556.41172500588,4900.79824980673,FISIM,2.3
2.4,सकल मूल्य वर्धन,89901,99850,106140,114359,126646,140417.797,158723.089395818,180908.78805985,196126.802629916,86160.369969989,89901,92955,92564,98201,111305,121092.194,132190.854169518,144543.615057071,154215.099811522,67221.9889917086,Gross Value Added,2.4
2.5,स्‍थायी पूंजी अवक्षय,8271,9346,9869,10807,11909,13105.487,14761.5608226424,16947.9179743015,19179.6550323054,20291.9562002234,8271,8811,8942,9510,10668,11582.83,12487.8619396629,13634.2496814556,15274.3302989289,15821.8241003061,CFC,2.5
2.6,निवल मूल्य वर्धन,81630,90504,96271,103552,114737,127312.31,143961.528573176,163960.870085548,176947.14759761,65868.4137697657,81630,84144,83622,88691,100637,109509.364,119702.992229855,130909.365375615,138940.769512593,51400.1648914025,Net Value Added,2.6
3,"व्यापार, मरम्मत, होटल और जलपान गृह",,,,,,,,,,,,,,,,,,,,,"Trade, repair, hotels & restaurants",3
3.1,उत्पादन का मूल्य,1330327,1569347,1758066,1976834,2122304,2370663.905,2741202.97372297,3127343.13876103,3417674.36601651,2619731.57477134,1330327,1463943,1540811,1705637,1871190,2052345.17,2288913.63871323,2501474.2751248,2685584.13171186,2040289.3884512,value of output,3.1
3.2,लागत,418220,481827,537505,613979,644428,713677.604,806371.172508407,928928.760667352,1022605.67569522,725242.469603074,418220,449466,471083,529748,568179,617849.194,673322.62233501,743024.124673934,803556.243670613,564830.583803017,input,3.2
3.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,28525,32987,36000,42022,43907,47985.533,53437.2325336147,61707.1233415782,69256.3146857526,75507.7407430541,28525,32856,35222,40048,41586,45173.54,47416.3530982571,50669.5421906937,53603.079136694,57413.750167077,FISIM,3.3
3.4,सकल मूल्य वर्धन,883582,1054533,1184560,1320833,1433969,1609000.769,1881394.56868095,2136707.2547521,2325812.37563554,1818981.36442522,883582,981622,1034507,1135841,1261426,1389322.435,1568174.66327997,1707780.60826018,1828424.80890455,1418045.05448111,Gross Value Added,3.4
3.5,स्‍थायी पूंजी अवक्षय,45468,57280,64110,73463,81736,94387.51,113120.003310872,133004.259978535,147265.324279308,159401.140397672,45468,53876,57869,64553,73400,83613.877,96011.8526149515,107750.971096435,117881.871561243,124606.469735102,CFC,3.5
3.6,निवल मूल्य वर्धन,838114,997253,1120450,1247370,1352233,1514613.258,1768274.56537008,2003702.99477356,2178547.05135623,1659580.22402754,838114,927746,976638,1071288,1188026,1305708.558,1472162.81066502,1600029.63716374,1710542.93734331,1293438.58474601,Net Value Added,3.6
