Unnamed: 0,National Accounts Statistics 2022,Unnamed: 2
,,
,Sl. No.,Title
,Chapter 1: Macro-economic aggregates including sectoral analysis,
,1,Statement 1.1 - Key aggregates of national accounts at current and constant prices
,2,"Statement 1.2 -Per Capita Income, Product and Final Consumption"
,3,Statement 1.3: Relationship of National Income and Other Aggregates
,4,Statement 1.4 - Price and Quantum Indices
,5,Statement 1.5 - Output by Economic activity and Capital formation by Industry of use at current and constant prices
,6,Statement 1.6 - Gross Value Added by economic activity at current and constant prices
,7,Statement 1.6A - Percentage Share of GVA by economic activity at current and constant prices
,8,Statement 1.6B -Percentage change in GVA by economic activity at current and constant prices
,9,Statement 1.7 Net Value Added by economic activity at current and constant prices
,10,Statement 1.8 - Consumption of Fixed Capital by economic activity at current and constant prices
,11,Statement 1.9 - Finances for Gross Capital Formation
,12,Statement 1.10- Gross Capital Formation by industry of use
,13,Statement 1.11- Gross Fixed Capital Formation by asset & institutional sector at current and constant prices
,14,Statement 1.12 - Private Final Consumption Expenditure at current and constant prices
,15,Statement 1.13 - FISIM by uses - Intermediate Consumption and Expenditure at current prices
,16,Statement 1.14 - Institutional Sectoral Accounts-Key Economic Indicators at current prices
,17,Statement 1.15: Sequence of Accounts-Total Econmoy
,Chapter 2: Non-financial corporations,
,18,Statement 2.0: Sequence of Accounts - Non-financial corporations
,19,Statement 2.1 SOA - Public non-financial corporations
,20,Statement 2.1A SOA - Public non-financial corporations - DE
,21,Statement 2.1B SOA - Public non-financial corporations - NDE
,22,Statement 2.2: Sequence of Accounts - Private non-financial corporations
,Chapter 3: Financial corporations,
,23,Statement 3.0 SOA - Financial corporations
,24,Statement 3.1 SOA - Public Financial Corporations
,25,Statement 3.2 SOA - Private Financial Corporations
,Chapter 4: General government,
,26,Statement 4.0 SOA- General government
,27,Statement 4.1 Value added by central and state governments
,28,"Statement 4.2 Expenditure of General Government classified by function, COFOG"
,Chapter 5: Households,
,29,Statement 5.0: Sequence of Accounts - Households
,30,Statement 5.1 Private final consumption expenditure classified by item
,31,Statement 5.2 Individual consumption expenditure by households and general government
,32,Statement 5.3 Financial assets and liabilities of the household sector
,Chapter 6: Rest of the world,
,33,Statement 6.0 SOA - Rest of the world
,34,Statement 6.1 Detailed external transactions accounts
,35,Statement 6.2 Selected aggregates of external transactions at constant (2011-12) prices
,Chapter 7: Aggregates by economic activity,
,36,"Statement 7.1 -  Output, value added, CE, OS/MI, by industry"
,,"Statement 7.1 A -  Output, value added, CE, OS/MI, by industry - Public Sector"
,,"Statement 7.1 B -  Output, value added, CE, OS/MI, by industry -Private Corporations"
,,"Statement 7.1 C -  Output, value added, CE, OS/MI, by industry -Households"
,37,"Statement 7.2 -  GCF, GFCF, CIS, CFC, by industry"
,,"Statement 7.2 A -  GCF, GFCF, CIS, CFC, by industry - Public Sector"
,,"Statement 7.2 B  - GCF, GFCF, CIS, CFC, by industry - Private Corporations"
,,"Statement 7.2 C - GCF, GFCF, CIS, CFC, by industry - Households"
,38,"Statement 7.3 - GFCF by type of asset, by industry"
,,"Statement 7.3 A - GFCF by type of asset, by industry - Public Sector"
,,"Statement 7.3 B  - GFCF by type of asset, by industry - Private Corporations"
,,"Statement 7.3 C - GFCF by type of asset, by industry - Households"
,39,Statement 7.4 -  Net Capital Stock by industry
,,Statement 7.4 A -  Net Capital Stock by industry - Public Sector
,,Statement 7.4 B -  Net Capital Stock by industry - Private corporations
,,Statement 7.4 C -  Net Capital Stock by industry - Households
,Chapter 8: Disaggregated statements,
,40,Statement 8.1.1 - Output & Value Added from crop sector
,41,Statement 8.1.2 - Crop-wise value of output
,42,Statement 8.2 - Output & Value Added from livestock
,43,Statement 8.3 - Output Value Added from forestry logging
,44,Statement 8.4 - Output & Value Added from fishing & aquaculture
,45,Statement 8.5 - Output & Value Added from mining & quarrying
,46,Statement 8.6.1 Part-1 - Output from manufacturing in Corporate Sector
,,Statement 8.6.1 Part-2 - Value Added from manufacturing in Corporate Sector
,47,Statement 8.6.2 Part-1 - Output from manufacturing in Household Sector
,,Statement 8.6.2 Part-2 - Value Added from manufacturing in Household Sector
,48,"Statement 8.7 - Output & Value Added from electricity, gas, water supply & other utility services"
,49,Statement 8.8 - Output & Value Added from construction
,50,"Statement 8.9 - Outputs and Value Added from trade, repair services, hotels & restaurants"
,51,Statement 8.10 - Output & Value Added from transport services
,52,"Statement 8.11 - Output & Value Added from storage, communication & services related to broadcasting"
,53,Statement 8.12 - Value Added from financial services
,54,"Statement 8.13 - Outputs & Value Added from real estate, ownership of dwelling & professional services"
,55,Statement 8.14 - Outputs Value Added from other services
,56,"Statement 8.15.1 - Output, value added, CE, OS/MI, by industry - General Government"
,,"Statement 8.15.2 - Output, value added, CE, OS/MI, by industry - DE"
,,"Statement 8.15.3 - Output, value added, CE, OS/MI, by industry - NDE"
,57,Statement 8.16 - Depreciation as provided in book of accounts
,Provisional Estimates,
,58,"Statement 8.17.1: Provisional Estimates of National Income and Other Macro Economic Aggregates, 2021-22"
,59,"Statement 8.17.2: Provisional Estimates of Gross Value Added by Economic Activity at Basic Prices, 2021-22"
,Quarterly Estimates,
,60,"Statement 8.18.1: Quarterly Estimates of GVA at Current Prices, 2011-12 Series "
,61,Statement 8.18.2:  Quarterly Estimates of Expenditures of GDP
