Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
विवरण 2.1A : लेखों का अनुक्रम - सार्वजनिक गैर-वित्‍तीय निगम -विभागीय उद्यम,,,,,,,,,,,,,
Statement 2.1A: Sequence of Accounts - Public Non-financial corporations - Departmental Enterprises,,,,,,,,,,,,,
,,,,,,,,,,,,,
उत्‍पादन लेखा,,,,,,,,Production Account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
P1,"उत्‍पादन, बुनियादी कीमतों में",234244,266825,298804,328280,342987,365226.502,389323.51,422043.567579327,449092.116194397,432322.136854983,"Output, in basic prices",P1
प्रयोग,,,,,,,,,,,,,USES
P2,घटाएं: क्रेता की कीमतों में मध्‍यवर्ती उपभोग,71937,83564,99870,105635,104910,107804.89,112537.764,128069.4924,139346.4067154,118273.564385,"Less:Intermediate consumption, in purchaser's prices",P2
B1g,सकल मूल्य वर्धन,162307,183261,198933,222645,238077,257421.612,276785.745,293974.075179327,309745.709478997,314048.572469983,Gross Value Added,B1g
P51c,घटाएं: स्‍थायी पूंजी अवक्षय,25852,28679,31278,33518,34976,37386.508,40276.353,43335.0054733709,45989.2729849481,48990.4176625537,Less: Consumption of fixed capital,P51c
B1n,निवल मूल्य वर्धन,136455,154582,167656,189127,203101,220035.104,236509.393,250639.069705956,263756.436494049,265058.154807429,Net Value Added,B1n
,,,,,,,,,,,,,
आय उत्पत्ति लेखा,,,,,,,,Generation of income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B1n,निवल मूल्य वर्धन,136455,154582,167656,189127,203101,220035.104,236509.393,250639.069705956,263756.436494049,265058.154807429,Net Value Added,B1n
प्रयोग,,,,,,,,,,,,,USES
D1,कर्मचारियों का पारिश्रमिक,117122,128621,141047,156897,167588,198353.98,212831.822,223829.96011,240342.499131,241640.031125177,Compensation of employees,D1
D2,उत्पादन एवं आयात पर कर,,,,,,,,,,,Taxes on Production and imports,D2
D29,उत्पादन पर अन्य कर,,,,,,,,,,,Other taxes on production,D29
D3,घटाएं: आर्थिक सहायता,73526,77191,85585,92736,90351,101874.863,102750.757,114529.554019327,156390.804504397,175118.177976805,Less: Subsidies,D3
