Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
विवरण 2.1B : लेखों का अनुक्रम- सार्वजनिक गैर-वित्‍तीय निगम-गैर-विभागीय उद्यम,,,,,,,,,,,,,
Statement 2.1B: Sequence of Accounts - Public Non-financial corporations - Non-departmental Enterprises,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
उत्‍पादन लेखा,,,,,,,,Production Account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
P1,"उत्‍पादन, बुनियादी कीमतों में",1457471,1535867,1645271,1677764,1522269,1649263.96,1833968.76,2160455.70711,2171345.70723,1907629.98188,"Output, in basic prices",P1
प्रयोग,,,,,,,,,,,,,USES
P2,घटाएं: क्रेता की कीमतों में मध्‍यवर्ती उपभोग,995435,1044410,1123010,1155662,953822,1026440.668,1132761.79582,1418547.7194879,1425042.6183339,1151140.344277,"Less:Intermediate consumption, in purchaser's prices",P2
B1g,सकल मूल्य वर्धन,462036,491457,522261,522102,568447,622823.292,701206.96418,741907.9876221,746303.0888961,756489.637603,Gross Value Added,B1g
P51c,घटाएं: स्‍थायी पूंजी अवक्षय,105427,116497,128056,139955,151330,159928.131,171482.13338,187805.5226954,199450.2803471,210590.82409,Less: Consumption of fixed capital,P51c
B1n,निवल मूल्य वर्धन,356609,374960,394205,382147,417117,462895.161,529724.83079,554102.4649268,546852.808549,545898.813513,Net Value Added,B1n
,,,,,,,,,,,,,
आय उत्पत्ति लेखा,,,,,,,,Generation of income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B1n,निवल मूल्य वर्धन,356609,374960,394205,382147,417117,462895.161,529724.83079,554102.4649268,546852.808549,545898.813513,Net Value Added,B1n
प्रयोग,,,,,,,,,,,,,USES
D1,कर्मचारियों का पारिश्रमिक,186749,205483,230627,244417,254303,280778.55,312064.23,325482.65536,328180.05338,314446.8884,Compensation of employees,D1
D2,उत्पादन एवं आयात पर कर,16869,12642,8128,8517,8118,8700.67,7886.03,7623.53,7381.52,6623.57,Taxes on Production and imports,D2
D21,उत्पादों पर कर,,,,,,,,,,,Taxes on products,D21
D29,उत्पादन पर अन्य कर,16869,12642,8128,8517,8118,8700.67,7886.03,7623.53,7381.52,6623.57,Other taxes on production,D29
D3,घटाएं: आर्थिक सहायता,3634,5060,4347,5500,6337,11365.365,11367.86,9942.84,8791.99,8254.873,Less: Subsidies,D3
D31,उत्पादों पर आर्थिक सहायता,,,,,,,,,,,Subsidies on products,D31
D39,उत्पादन पर अन्य आर्थिक सहायता,3634,5060,4347,5500,6337,11365.365,11367.86,9942.84,8791.99,8254.873,Other subsidies on production,D39
B2n/B3n,"परिचालन अधिशेष / मिश्रित आय, निवल",156625,161895,159797,134713,161033,184781.306,221142.43079,230939.1195668,220083.225169,233083.228113,"OPERATING SURPLUS/MIXED INCOME, NET",B2n/B3n
,,,,,,,,,,,,,
प्राथमिक आय के आवंटन का लेखा,,,,,,,,Allocation of primary income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
