Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
विवरण 3.0 : लेखों का अनुक्रम-वित्‍तीय निगम,,,,,,,,,,,,,
Statement 3.0: Sequence of Accounts - Financial corporations,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
उत्‍पादन लेखा,,,,,,,,Production Account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
P1,"उत्‍पादन, बुनियादी कीमतों में",649765,741138,792383,879315,970992,1043098.236,1181814.81412,1317114.4636949,1438036.3353407,1504437.3213404,"Output, in basic prices",P1
प्रयोग,,,,,,,,,,,,,USES
P2,घटाएं: क्रेता की कीमतों में मध्‍यवर्ती उपभोग,169539,204319,193042,217904,244705,292897.127,335620.65407,375336.4965163,410677.7282159,416215.4710162,"Less:Intermediate consumption, in purchaser's prices",P2
B1g,सकल मूल्य वर्धन,480226,536819,599341,661411,726287,750201.109,846194.16005,941777.9671785,1027358.6071248,1088221.8503243,Gross Value Added,B1g
P51c,घटाएं: स्‍थायी पूंजी अवक्षय,6827,8490,10209,12117,14664,16494.25,18011.72973,21344.8219745,23245.1223588,26118.1732985,Less: Consumption of fixed capital,P51c
B1n,निवल मूल्य वर्धन,473399,528329,589132,649294,711623,733706.859,828182.43032,920433.145204,1004113.484766,1062103.6770258,Net Value Added,B1n
,,,,,,,,,,,,,
आय उत्पत्ति लेखा,,,,,,,,Generation of income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B1n,निवल मूल्य वर्धन,473399,528329,589132,649294,711623,733706.859,828182.43032,920433.145204,1004113.484766,1062103.6770258,Net Value Added,B1n
प्रयोग,,,,,,,,,,,,,USES
D1,कर्मचारियों का पारिश्रमिक,133983,167426,196547,218172,231884,257305.402,269987.4338,302738.9502249,351549.6630474,362998.3127777,Compensation of employees,D1
D2,उत्पादन एवं आयात पर कर,372,148,159,543,562,626.04,558.07,738.6421368,365.4125583,294.7900052,Taxes on Production and imports,D2
D21,उत्पादों पर कर,,,,,,,,,,,Taxes on products,D21
D29,उत्पादन पर अन्य कर,372,148,159,543,562,626.04,558.07,738.6421368,365.4125583,294.7900052,Other taxes on production,D29
D3,घटाएं: आर्थिक सहायता,1,1,3,3,14,36.67,45.57,88.78,53.99,53.99,Less: Subsidies,D3
D31,उत्पादों पर आर्थिक सहायता,,,,,,,,,,,Subsidies on products,D31
D39,उत्पादन पर अन्य आर्थिक सहायता,1,1,3,3,14,36.67,45.57,88.78,53.99,53.99,Other subsidies on production,D39
B2n/B3n,"परिचालन अधिशेष / मिश्रित आय, निवल",339044,360756,392429,430582,479191,475812.087,557682.49652,617044.3328423,652252.3991603,698864.5642429,"OPERATING SURPLUS/MIXED INCOME, NET",B2n/B3n
,,,,,,,,,,,,,
प्राथमिक आय के आवंटन का लेखा,,,,,,,,Allocation of primary income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B2n/B3n,"परिचालन अधिशेष / मिश्रित आय, निवल",339044,360756,392429,430582,479191,475812.087,557682.49652,617044.3328423,652252.3991603,698864.5642429,"OPERATING SURPLUS/MIXED INCOME, NET",B2n/B3n
D4,संपत्ति आय,1003518,1164766,1334209,1499265,1410080,1456271.615,1507174.88261,1663055.738998,1789061.5286018,1696714.527432,Property income ,D4
प्रयोग,,,,,,,,,,,,,USES
D4,संपत्ति आय,1031371,1185352,1237044,1353680,1429848,1458921.351,1539421.3293,1773619.1020157,1762398.109041,1729376.9803529,Property income,D4
B5n,प्राथमिक आय का संतुलन,311192,340170,489594,576167,459424,473162.351,525436.04984,506480.9698246,678915.818721,666202.111322,BALANCE OF PRIMARY INCOMES,B5n
,,,,,,,,,,,,,
द्वितयिक आय के वितरण का लेखा,,,,,,,,Secondary distribution of income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B5n,प्राथमिक आय का संतुलन,311192,340170,489594,576167,459424,473162.351,525436.04984,506480.9698246,678915.818721,666202.111322,BALANCE OF PRIMARY INCOMES,B5n
D5,"आय, सम्‍पत्‍ति, आदि पर वर्तमान कर",,,,,,,,,,,"Current taxes on income, wealth, etc.",D5
D6+D7,अन्य पूंजीतर हस्‍तांतरण,411055,434436,41855,69161,17334,63714.767,65287.45145,80592.1190892,84237.585416,64857.2584506,Other current transfers,D6+D7
प्रयोग,,,,,,,,,,,,,USES
D5,"आय, सम्‍पत्‍ति, आदि पर वर्तमान कर",34773,42659,46663,56104,90453,96288.662,102605.58399,112792.5874894,111990.2504998,110752.0227965,"Current taxes on income, wealth, etc.",D5
D6+D7,अन्य पूंजीतर हस्‍तांतरण,421930,439812,201910,262313,109329,108673.571,119101.96963,141906.7228533,91462.737585,89162.1057401,Other current transfers,D6+D7
B6n,निवल प्रयोज्य आय,265544,292136,282876,326911,276976,331914.75,369015.94766,332373.7785711,559700.4160522,531145.241236,NET DISPOSABLE INCOME,B6n
,,,,,,,,,,,,,
प्रयोज्‍य आय के प्रयोग का लेखा,,,,,,,,Use of disposable income account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
संसाधन,,,,,,,,,,,,,RESOURCES
B6,निवल प्रयोज्य आय,265544,292136,282876,326911,276976,331914.75,369015.94766,332373.7785711,559700.4160522,531145.241236,NET DISPOSABLE INCOME,B6
प्रयोग,,,,,,,,,,,,,USES
D8,पेंशन पात्रता में बदलाव के लिए समायोजन,,,,,,,,,,,Adjustment for the change in pension entitlements,D8
B8n,"बचत, निवल",265544,292136,282876,326911,276976,331914.75,369015.94766,332373.7785711,559700.4160522,531145.241236,"SAVING, NET",B8n
,,,,,,,,,,,,,
पूंजी लेखा,,,,,,,,Capital account,,,,,
( ₹ करोड़),,,,,,,,,,,,,( ₹ crore)
संकेतांक,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,Code
1,2,3,4,5,6,7,8,9,10,11,12,2,1
देनदारियों और निवल मूल्य में परिवर्तन,,,,,,,,,,,,,CHANGES IN LIABILITIES AND NET WORTH
B8n,"बचत, निवल",265544,292136,282876,326911,276976,331914.75,369015.94766,332373.7785711,559700.4160522,531145.241236,"SAVING, NET",B8n
