Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,विवरण 4.1: केंद्रीय और राज्‍य सरकारों द्वारा मूल्‍य वर्धन,,,,,,,,,,STATEMENT 4.1: VALUE ADDED BY CENTRAL AND STATE GOVERNMENTS,,,,,,,,,,,
,,(प्रचलित मूल्‍यों पर at current prices),,,,,,,,,,(स्थिर (2011-12) भावों पर at constant (2011-12) prices),,,,,,,,,,,
,,(₹  करोड़),,,,,,,,,,,,,,,,(₹  crore),,,,,
,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item Desription,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,1
1,सकल मूल्य वर्धन,794894,885483,976939,1097774,1205540,1360349.18,1547925.65,1715333.28,1859534.83,1994021.45,794894,810124,822848,875123,921207,998145.073,1094794.63308275,1171388.19711025,1216871.38432016,1231764.49465475,Gross Value Added,1
2,स्‍थायी पूंजी अवक्षय,98623,107031,115848,124107,128779,136919,149363.84,163525.71,174718.11,189879.1,98623,102211,107181,111909,117267,124093.073,131114.63308275,137992.19711025,145141.38432016,154442.49465475,consumption of fixed capital,2
3,निवल मूल्य वर्धन,696271,778452,861091,973667,1076762,1223430.18,1398561.81,1551807.57,1684816.72,1804142.35,696271,707913,715667,763214,803940,874052,963680,1033396,1071730,1077322,Net Value Added,3
3.1,केंद्रीय सरकार *,196076,221092,244805,282040,300772,370916.09,419280.93,441623.26,478637.74,491718.61,196076,201181,203550,221388,225046,265516,289744,295104,305293,295415,central government*,3.1
3.2,राज्य सरकार,385345,429940,479723,533334,598203,657190,761779.56,870580.53,930176.75,1030327.02,385345,390989,398809,417947,446450,469464,524478,579057,590955,612863,state government,3.2
