,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
1,"कृषि, वानिकी और मत्‍स्‍यन ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Agriculture, forestry and fishing",1
1.1,उत्‍पादन ,"1,945,111","2,196,101","2,527,905","2,730,185","2,891,907","3,242,944","3,540,475","3,802,799","4,208,966","4,592,281","5,091,099","5,669,195","6,176,353","1,945,111","1,977,170","2,074,376","2,086,971","2,112,125","2,249,974","2,362,358","2,420,320","2,550,293","2,659,028","2,768,826","2,920,603","2,999,244",Output,1.1
1.1.1,मध्‍यस्‍थ उपभोग ,"443,163","520,994","601,533","636,573","664,374","724,282","710,649","772,874","840,495","885,811","991,626","1,219,863","1,298,486","443,163","452,881","465,178","481,256","495,979","523,969","522,335","541,721","555,968","584,815","598,719","614,625","631,957",Intermediate consumption,1.1.1
1.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"1,501,947","1,675,107","1,926,372","2,093,612","2,227,533","2,518,662","2,829,826","3,029,925","3,368,471","3,706,469","4,099,473","4,449,332","4,877,867","1,501,947","1,524,288","1,609,198","1,605,715","1,616,146","1,726,004","1,840,023","1,878,598","1,994,326","2,074,212","2,170,106","2,305,978","2,367,287",GVA at basic prices,1.1.2
1.1.2.1,स्‍थायी पूंजी अवक्षय  ,"95,680","111,705","129,739","145,111","157,393","170,622","183,921","199,858","217,667","241,232","272,384","289,511","314,216","95,680","102,879","111,740","119,396","124,809","131,268","138,183","145,696","153,486","163,634","174,797","188,291","202,997",CFC,1.1.2.1
1.1.2.2,निवल मूल्‍य वर्धन ,"1,406,268","1,563,401","1,796,633","1,948,500","2,070,140","2,348,040","2,645,905","2,830,067","3,150,804","3,465,237","3,827,088","4,159,821","4,563,652","1,406,268","1,421,409","1,497,458","1,486,319","1,491,337","1,594,736","1,701,840","1,732,902","1,840,839","1,910,578","1,995,310","2,117,687","2,164,289",NVA at basic prices,1.1.2.2
1.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"230,473","254,504","291,107","317,718","338,234","380,390","431,250","453,039","499,664","549,840","609,375","653,354","703,253",,,,,,,,,,,,,,CE,1.1.2.2.1
1.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"1,218,487","1,359,218","1,560,148","1,707,919","1,806,671","2,037,639","2,304,087","2,478,590","2,756,392","3,014,309","3,351,304","3,692,907","4,062,266",,,,,,,,,,,,,,OS/MI,1.1.2.2.2
1.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"-42,692","-50,320","-54,622","-77,137","-74,765","-69,988","-89,432","-101,563","-105,252","-98,912","-133,591","-186,440","-201,868",,,,,,,,,,,,,,Production taxes less production subsidies,1.1.2.2.3
1.2,सकल पूंजी निर्माण ,"273,870","273,490","330,836","331,863","298,555","348,424","362,706","411,434","432,466","531,038","613,320","712,154","780,343","273,870","251,094","284,424","272,663","237,648","267,153","272,321","296,631","302,808","354,001","383,608","450,948","490,841",Gross Capital Formation ,1.2
1.3,स.मू.व. का उत्पादन से अनुपात,77.2,76.3,76.2,76.7,77.0,77.7,79.9,79.7,80.0,80.7,80.5,78.5,79.0,77.2,77.1,77.6,76.9,76.5,76.7,77.9,77.6,78.2,78.0,78.4,79.0,78.9,GVA to Output Ratio,1.3
1.4,स.पू.नि. का उत्पादन से अनुपात,14.1,12.5,13.1,12.2,10.3,10.7,10.2,10.8,10.3,11.6,12.0,12.6,12.6,14.1,12.7,13.7,13.1,11.3,11.9,11.5,12.3,11.9,13.3,13.9,15.4,16.4,GCF to Output Ratio,1.4
