क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
1,"कृषि, वानिकी और मत्‍स्‍यन ","1,501,947","1,675,107","1,926,372","2,093,612","2,227,533","2,518,662","2,829,826","3,029,925","3,368,471","3,706,469","4,099,473","4,449,332","4,877,867","1,501,947","1,524,288","1,609,198","1,605,715","1,616,146","1,726,004","1,840,023","1,878,598","1,994,326","2,074,212","2,170,106","2,305,978","2,367,287","Agriculture, forestry and fishing",1
1.1,फसलें,"982,151","1,088,814","1,248,776","1,292,874","1,327,992","1,486,044","1,633,264","1,680,777","1,885,276","2,063,990","2,280,312","2,414,289","2,652,891","982,151","983,809","1,037,060","998,425","969,344","1,020,258","1,075,111","1,049,211","1,108,603","1,137,474","1,174,359","1,262,418","1,273,458",crops,1.1
1.2,पशुधन ,"327,334","368,823","422,733","510,411","582,410","672,611","785,683","882,009","977,918","1,113,089","1,238,401","1,364,763","1,505,615","327,334","344,375","363,558","390,449","419,637","461,572","497,830","540,970","581,714","617,799","657,269","690,067","727,481",livestock,1.2
1.3,वानिकी और लट्ठा बनाना ,"124,436","137,558","156,674","173,760","184,411","205,364","217,603","255,053","269,727","284,445","297,337","344,683","351,237","124,436","124,743","132,093","134,609","136,960","144,547","152,351","163,949","173,972","183,993","185,031","187,516","190,498",forestry and logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,"68,027","79,911","98,190","116,567","132,720","154,643","193,275","212,087","235,550","244,945","283,422","325,598","368,124","68,027","71,362","76,487","82,232","90,205","99,627","114,730","124,468","130,037","134,947","153,447","165,976","175,850",fishing and aquaculture,1.4
2,खनन और उत्खनन,"261,035","285,842","295,794","308,476","294,011","326,808","336,109","377,661","357,001","324,140","439,339","510,682","532,343","261,035","262,609","263,107","288,685","317,974","349,248","329,612","326,815","317,134","291,075","309,276","319,733","330,007",Mining and quarrying,2
3,विनिर्माण,"1,409,986","1,572,837","1,713,452","1,878,369","2,146,189","2,333,721","2,566,623","2,812,560","2,705,101","2,803,495","3,392,605","3,534,867","3,921,596","1,409,986","1,486,873","1,560,709","1,683,938","1,903,850","2,054,764","2,209,428","2,328,992","2,259,706","2,329,160","2,561,033","2,516,364","2,825,935",Manufacturing,3
3.1,"खाद्य उत्‍पाद,  पेय पदार्थ और तम्‍बाकू ","167,524","168,227","175,673","185,899","213,832","259,668","278,089","335,679","290,152","301,068","308,264","352,091","380,225","167,524","154,540","153,560","157,637","183,150","202,964","214,366","258,683","217,690","217,310","208,077","228,438","243,667","Food Products, Beverages and Tobacco",3.1
3.2,"वस्‍त्र, परिधान और चर्म उत्‍पाद ","153,238","187,981","246,424","249,573","300,357","303,155","332,470","366,299","353,727","318,680","421,585","435,442","417,846","153,238","177,398","216,411","216,429","258,936","261,079","280,873","300,013","290,913","263,593","312,949","308,402","307,720","Textiles,  Apparel and Leather Products",3.2
3.3,मेटल उत्‍पाद ,"229,627","248,915","286,998","273,621","232,868","273,963","333,177","368,761","357,527","425,305","620,148","523,641","585,857","229,627","238,520","277,322","261,206","225,306","285,206","319,555","326,298","329,198","379,472","450,144","360,486","420,272",Metal Products,3.3
3.4,मशीनरी और उपकरण ,"334,670","356,231","343,383","388,961","485,168","541,055","587,161","650,442","608,260","591,723","678,764","832,857","974,723","334,670","345,731","324,994","357,017","429,550","474,418","533,307","580,847","535,784","511,679","558,573","657,132","754,849",Machinery and Equipment,3.4
3.5,अन्‍य विनिर्मित वस्तुएं ,"524,927","611,483","660,973","780,315","913,964","955,881","1,035,726","1,091,380","1,095,434","1,166,718","1,363,843","1,390,836","1,562,946","524,927","570,684","588,422","691,649","806,908","831,097","861,327","863,152","886,120","957,107","1,031,289","961,906","1,099,427",Other Manufactured Goods,3.5
4,"बिजली, गैस, जलापूर्ति और अन्य उपयोगी सेवाएं ","186,668","215,350","260,155","282,258","334,965","355,709","425,718","449,459","502,999","500,780","577,793","609,068","766,435","186,668","191,635","199,601","214,047","224,158","246,496","272,650","294,147","300,798","288,213","317,966","352,331","382,776","Electricity, gas, water supply & other utility services",4
5,निर्माण,"777,335","849,365","921,470","979,086","991,084","1,080,870","1,200,414","1,352,118","1,378,669","1,359,511","1,835,674","2,171,401","2,401,618","777,335","780,050","800,771","835,229","865,335","916,445","964,306","1,026,789","1,043,429","995,371","1,193,532","1,302,245","1,437,788",Construction,5
6,"व्यापार, मरम्मत, होटल और जलपान गृह","883,582","1,054,533","1,184,560","1,320,833","1,433,969","1,609,001","1,881,395","2,136,707","2,326,331","1,845,440","2,309,096","2,869,546","3,128,535","883,582","981,620","1,034,506","1,135,841","1,261,426","1,389,322","1,568,175","1,707,781","1,828,868","1,438,477","1,614,780","1,848,277","1,999,559","Trade, repair, hotels and restaurants",6
6.1,व्यापार और मरम्मत सेवाएँ,"793,681","954,683","1,078,421","1,206,474","1,307,323","1,468,583","1,722,671","1,955,798","2,131,424","1,754,567","2,170,391","2,604,952","2,812,001","793,681","888,665","941,941","1,037,640","1,150,121","1,268,230","1,435,984","1,563,237","1,675,607","1,367,599","1,517,811","1,677,830","1,797,188",Trade & repair services,6.1
6.2,होटल और रेस्तरां,"89,901","99,850","106,140","114,359","126,646","140,418","158,723","180,909","194,907","90,873","138,705","264,594","316,534","89,901","92,955","92,565","98,201","111,305","121,092","132,191","144,544","153,261","70,878","96,968","170,448","202,371",Hotels & restaurants,6.2
