,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.6 क:  आर्थिक क्रियाकलापों के अनुसार सकल मूल्य वर्धन का प्रतिशत हिस्‍सा ,,,,,,,,,,,,,,,Statement 1.6A: Percentage share of Gross Value Added by economic activity ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( प्रचलित भावों पर at current prices),,,,,,,,,,,,,(स्थिर (2011-12)  भावों पर at constant (2011-12) prices),,,,,,,,,,,,,,
क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,21,22
1.       ,"कृषि, वानिकी और मत्‍स्‍यन ",18.5,18.2,18.6,18.2,17.7,18.0,18.3,17.6,18.3,20.4,18.9,18.1,17.8,18.5,17.8,17.8,16.5,15.4,15.2,15.3,14.8,15.1,16.3,15.6,15.5,14.7,"agriculture, forestry and fishing",1.       
1.1,फसलें,12.1,11.8,12.1,11.2,10.6,10.6,10.5,9.8,10.3,11.3,10.5,9.8,9.7,12.1,11.5,11.4,10.3,9.2,9.0,8.9,8.2,8.4,9.0,8.5,8.5,7.9,crops,1.1
1.2,पशुधन ,4.0,4.0,4.1,4.4,4.6,4.8,5.1,5.1,5.3,6.1,5.7,5.5,5.5,4.0,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.4,4.9,4.7,4.6,4.5,livestock,1.2
1.3,वानिकी और लट्ठा बनाना ,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.6,1.4,1.4,1.3,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.5,1.3,1.3,1.2,forestry and logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.1,fishing and aquaculture,1.4
2.       ,खनन और उत्खनन,3.2,3.1,2.9,2.7,2.3,2.3,2.2,2.2,1.9,1.8,2.0,2.1,1.9,3.2,3.1,2.9,3.0,3.0,3.1,2.7,2.6,2.4,2.3,2.2,2.1,2.0,mining and quarrying,2.       
3.       ,विनिर्माण,17.4,17.1,16.5,16.3,17.1,16.7,16.6,16.4,14.7,15.4,15.7,14.3,14.3,17.4,17.4,17.2,17.3,18.1,18.1,18.4,18.3,17.1,18.4,18.5,16.9,17.5,manufacturing,3.       
3.1,"खाद्य उत्‍पाद,  पेय पदार्थ और तम्‍बाकू ",2.1,1.8,1.7,1.6,1.7,1.9,1.8,2.0,1.6,1.7,1.4,1.4,1.4,2.1,1.8,1.7,1.6,1.7,1.8,1.8,2.0,1.6,1.7,1.5,1.5,1.5,"food products, beverages and tobacco",3.1
