,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.6 ख:  आर्थिक क्रियाकलापों के अनुसार सकल मूल्य वर्धन में प्रतिशत परिवर्तन,,,,,,,,,,,,,,Statement 1.6 B: Percentage change in Gross Value Added by economic activity,,,,,,,,,,,,,
,,( प्रचलित भावों पर at current prices),,,,,,,,,,,,(स्थिर (2011-12)  भावों पर at constant (2011-12) prices),,,,,,,,,,,,,
क्र.सं.,मद,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,17,1
1.       ,"कृषि, वानिकी और मत्‍स्‍यन ",11.5,15.0,8.7,6.4,13.1,12.4,7.1,11.2,10.0,10.6,8.5,9.6,1.5,5.6,-0.2,0.6,6.8,6.6,2.1,6.2,4.0,4.6,6.3,2.7,"agriculture, forestry and fishing",1.       
1.1,फसलें,10.9,14.7,3.5,2.7,11.9,9.9,2.9,12.2,9.5,10.5,5.9,9.9,0.2,5.4,-3.7,-2.9,5.3,5.4,-2.4,5.7,2.6,3.2,7.5,0.9,crops,1.1
1.2,पशुधन ,12.7,14.6,20.7,14.1,15.5,16.8,12.3,10.9,13.8,11.3,10.2,10.3,5.2,5.6,7.4,7.5,10.0,7.9,8.7,7.5,6.2,6.4,5.0,5.4,livestock,1.2
1.3,वानिकी और लट्ठा बनाना ,10.5,13.9,10.9,6.1,11.4,6.0,17.2,5.8,5.5,4.5,15.9,1.9,0.2,5.9,1.9,1.7,5.5,5.4,7.6,6.1,5.8,0.6,1.3,1.6,forestry and logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,17.5,22.9,18.7,13.9,16.5,25.0,9.7,11.1,4.0,15.7,14.9,13.1,4.9,7.2,7.5,9.7,10.4,15.2,8.5,4.5,3.8,13.7,8.2,5.9,fishing and aquaculture,1.4
2.       ,खनन और उत्खनन,9.5,3.5,4.3,-4.7,11.2,2.8,12.4,-5.5,-9.2,35.5,16.2,4.2,0.6,0.2,9.7,10.1,9.8,-5.6,-0.8,-3.0,-8.2,6.3,3.4,3.2,mining and quarrying,2.       
3.       ,विनिर्माण,11.5,8.9,9.6,14.3,8.7,10.0,9.6,-3.8,3.6,21.0,4.2,10.9,5.5,5.0,7.9,13.1,7.9,7.5,5.4,-3.0,3.1,10.0,-1.7,12.3,manufacturing,3.       
3.1,"खाद्य उत्‍पाद,  पेय पदार्थ और तम्‍बाकू ",0.4,4.4,5.8,15.0,21.4,7.1,20.7,-13.6,3.8,2.4,14.2,8.0,-7.8,-0.6,2.7,16.2,10.8,5.6,20.7,-15.8,-0.2,-4.2,9.8,6.7,"food products, beverages and tobacco",3.1
3.2,"वस्‍त्र, परिधान और चर्म उत्‍पाद ",22.7,31.1,1.3,20.3,0.9,9.7,10.2,-3.4,-9.9,32.3,3.3,-4.0,15.8,22.0,0.0,19.6,0.8,7.6,6.8,-3.0,-9.4,18.7,-1.5,-0.2,"textiles,  apparel and leather products",3.2
3.3,मेटल उत्‍पाद ,8.4,15.3,-4.7,-14.9,17.6,21.6,10.7,-3.0,19.0,45.8,-15.6,11.9,3.9,16.3,-5.8,-13.7,26.6,12.0,2.1,0.9,15.3,18.6,-19.9,16.6,metal products,3.3
3.4,मशीनरी और उपकरण ,6.4,-3.6,13.3,24.7,11.5,8.5,10.8,-6.5,-2.7,14.7,22.7,17.0,3.3,-6.0,9.9,20.3,10.4,12.4,8.9,-7.8,-4.5,9.2,17.6,14.9,machinery and equipment,3.4
3.5,अन्‍य विनिर्मित वस्तुएं ,16.5,8.1,18.1,17.1,4.6,8.4,5.4,0.4,6.5,16.9,2.0,12.4,8.7,3.1,17.5,16.7,3.0,3.6,0.2,2.7,8.0,7.8,-6.7,14.3,other manufacturing goods,3.5
4.       ,"बिजली, गैस, जलापूर्ति और अन्य उपयोगी सेवाएं ",15.4,20.8,8.5,18.7,6.2,19.7,5.6,11.9,-0.4,15.4,5.4,25.8,2.7,4.2,7.2,4.7,10.0,10.6,7.9,2.3,-4.2,10.3,10.8,8.6,"electricity, gas, water supply & other utility services",4.       
5.       ,निर्माण,9.3,8.5,6.3,1.2,9.1,11.1,12.6,2.0,-1.4,35.0,18.3,10.6,0.3,2.7,4.3,3.6,5.9,5.2,6.5,1.6,-4.6,19.9,9.1,10.4,construction,5.       
6.       ,"व्यापार, मरम्मत, होटल और जलपान गृह",19.3,12.3,11.5,8.6,12.2,16.9,13.6,8.9,-20.7,25.1,24.3,9.0,11.1,5.4,9.8,11.1,10.1,12.9,8.9,7.1,-21.3,12.3,14.5,8.2,"trade, repair, hotels and restaurants",6.       
6.1,व्यापार और मरम्मत सेवाएँ,20.3,13.0,11.9,8.4,12.3,17.3,13.5,9.0,-17.7,23.7,20.0,7.9,12.0,6.0,10.2,10.8,10.3,13.2,8.9,7.2,-18.4,11.0,10.5,7.1,trade & repair services,6.1
6.2,होटल और रेस्तरां,11.1,6.3,7.7,10.7,10.9,13.0,14.0,7.7,-53.4,52.6,90.8,19.6,3.4,-0.4,6.1,13.3,8.8,9.2,9.3,6.0,-53.8,36.8,75.8,18.7,hotels & restaurants,6.2
7.       ,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",15.1,13.2,14.0,9.4,8.1,7.2,6.9,8.1,-11.8,34.3,12.9,10.2,7.6,8.4,8.8,8.9,3.5,5.7,3.8,3.6,-16.9,21.0,8.3,6.1,"transport, storage, communication & services related to broadcasting",7.       
7.1,रेलवे,18.2,8.9,17.4,8.6,6.3,9.2,6.0,9.5,-4.2,12.2,11.7,10.0,13.1,6.5,9.5,5.9,-3.9,7.0,3.9,-9.9,-20.1,21.4,17.3,8.2,railways,7.1
7.2,सड़क परिवहन,14.6,12.5,9.5,8.0,8.8,11.3,10.8,5.3,-24.0,55.6,8.9,6.3,7.6,6.4,6.7,7.0,5.6,9.4,5.3,3.5,-26.4,34.2,4.6,3.7,road transport,7.2
7.3,जल परिवहन,4.0,-9.9,17.2,-3.8,26.1,41.4,0.3,1.3,6.5,36.4,15.3,1.6,2.1,4.2,8.3,1.8,5.9,39.0,6.0,3.1,-5.8,6.4,8.3,7.3,water transport,7.3
7.4,वायु परिवहन,85.0,-15.7,72.5,72.1,5.7,4.4,-43.3,76.7,-51.8,2.5,63.2,82.5,-4.8,8.8,14.0,16.7,18.5,16.7,12.3,-2.6,-62.5,58.5,60.7,14.0,air transport,7.4
7.5,परिवहन संबंधी प्रासंगिक सेवाएं ,13.3,5.1,21.1,-3.7,16.1,-4.7,5.9,0.2,-10.1,35.4,20.6,20.7,4.5,5.6,7.7,7.4,7.0,-2.9,5.6,2.6,-11.1,4.1,12.7,5.1,services incidental to transport,7.5
7.6,भंडारण,20.7,-2.3,6.3,9.6,6.0,117.6,14.8,6.4,5.9,3.0,12.2,16.5,11.9,-8.9,6.1,13.0,-2.3,112.7,6.2,1.7,-1.2,30.8,-4.9,16.6,storage,7.6
7.7,संचार एवं प्रसारण से संबंधित सेवाएं  ,13.5,24.4,16.1,14.9,4.4,-0.1,4.3,13.5,8.8,17.5,16.4,10.2,6.8,16.0,12.8,14.3,1.3,-2.7,-0.6,11.1,0.8,7.7,10.2,8.8,communication & services related to broadcasting,7.7
8.       ,वित्तीय सेवाएं ,11.8,11.6,10.4,9.8,3.3,12.8,11.3,9.1,5.7,8.0,23.8,10.0,10.3,9.1,8.5,7.3,3.4,4.7,4.0,3.5,5.1,0.9,8.7,7.7,financial services,8.       
9.       ,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं  ",18.0,18.6,15.8,11.6,13.8,5.5,13.4,10.3,3.1,18.0,19.4,12.0,9.5,12.1,12.2,12.1,10.8,0.6,8.2,8.1,0.8,7.6,11.5,11.2,"real estate, ownership of dwelling & professional services",9.       
10.   ,लोक प्रशासन और रक्षा,11.2,10.2,12.4,8.1,13.1,14.2,10.6,10.2,4.8,9.0,9.7,10.8,2.1,1.7,6.6,3.9,8.7,10.1,6.8,5.5,-0.6,3.0,2.9,5.7,public administration and defence,10.   
11.   ,अन्य सेवाएं,15.4,13.4,16.4,14.0,15.4,11.6,15.0,13.2,-8.8,16.5,15.8,17.0,6.3,5.7,9.7,8.0,9.8,6.9,8.0,7.4,-13.0,11.6,9.8,11.2,other services,11.   
12.   ,बुनियादी मूल्यों पर सकल मूल्य वर्धन,13.5,12.6,11.0,9.3,11.1,11.0,10.8,7.0,-0.9,18.8,13.9,11.2,5.4,6.1,7.2,8.0,8.0,6.2,5.8,3.9,-4.1,9.4,7.2,8.6,TOTAL GVA at basic prices,12.   
