"विवरण 7.1:  उद्योगों के अनुसार उत्‍पादन, मूल्‍य वर्धन, कर्मचारियों का पारिश्रमिक, परिचालन अधिशेष/मिश्रित आय ( प्रचलित भावों पर, ₹ करोड़)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statement 7.1: Output, Value Added, CE, OS/MI by industry  (at current prices, ₹  crore)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्रं सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,2021-22,,,,,,,2022-23,,,,,,,2023-24,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
1,"कृषि, वानिकी और मत्‍स्‍यन","1,945,111","443,163","1,501,948","-42,693","95,680","230,472","1,218,487","2,196,100","520,993","1,675,105","-50,320","111,706","254,503","1,359,218","2,527,905","601,534","1,926,372","-54,624","129,740","291,107","1,560,147","2,730,186","636,574","2,093,612","-77,138","145,111","317,719","1,707,918","2,891,909","664,373","2,227,534","-74,764","157,393","338,234","1,806,672","3,242,944","724,282","2,518,662","-69,988","170,622","380,390","2,037,639","3,540,475","710,649","2,829,826","-89,432","183,921","431,250","2,304,087","3,802,799","772,874","3,029,925","-101,563","199,858","453,039","2,478,590","4,208,966","840,495","3,368,471","-105,252","217,667","499,664","2,756,392","4,592,281","885,811","3,706,469","-98,912","241,232","549,840","3,014,309","5,091,099","991,626","4,099,473","-133,591","272,384","609,375","3,351,304","5,669,195","1,219,863","4,449,332","-186,440","289,511","653,354","3,692,907","6,176,353","1,298,486","4,877,867","-201,868","314,216","703,253","4,062,266","Agriculture, forestry & fishing",1
1.1,फसलें,"1,228,507","246,355","982,150","-36,569","81,177","197,595","739,948","1,372,510","283,696","1,088,814","-42,485","95,334","216,906","819,059","1,579,335","330,560","1,248,776","-46,520","111,172","247,530","936,594","1,643,219","350,345","1,292,873","-65,791","124,814","264,823","969,029","1,682,297","354,305","1,327,992","-65,105","136,089","279,421","977,586","1,865,272","379,227","1,486,044","-59,076","147,961","314,148","1,083,011","2,010,864","377,600","1,633,264","-77,138","159,221","353,633","1,197,548","2,099,358","418,582","1,680,777","-89,593","172,408","366,607","1,231,355","2,335,293","450,016","1,885,276","-91,196","187,773","404,438","1,384,262","2,552,328","488,338","2,063,990","-85,656","208,212","445,851","1,495,584","2,827,743","547,431","2,280,312","-118,106","233,934","492,833","1,671,652","3,139,854","725,565","2,414,289","-171,122","245,211","523,955","1,816,246","3,425,181","772,291","2,652,891","-183,376","267,150","571,950","1,997,166",crops,1.1
1.2,पशुधन,"487,751","160,418","327,334",830,"5,149","18,087","303,267","564,937","196,114","368,822",949,"6,054","20,408","341,411","646,179","223,446","422,732",847,"6,969","23,429","391,487","742,807","232,396","510,411",869,"7,612","28,610","473,319","833,499","251,088","582,409",920,"7,645","32,576","541,269","950,677","278,066","672,611",753,"8,168","37,407","626,283","1,043,079","257,396","785,683","1,076","9,039","43,300","732,268","1,149,783","267,774","882,009","1,238","10,078","48,706","821,988","1,276,172","298,254","977,918","1,551","10,586","54,051","911,730","1,413,303","300,213","1,113,089","2,229","11,687","61,322","1,037,852","1,574,149","335,747","1,238,401","2,464","14,286","68,226","1,153,426","1,734,418","369,655","1,364,763","2,828","16,737","75,204","1,269,994","1,899,270","393,655","1,505,615","3,273","17,987","75,265","1,409,090",livestock,1.2
1.3,वानिकी और लट्ठा बनाना,"148,748","24,312","124,437","-6,943","1,367","7,772","122,241","164,356","26,798","137,558","-8,740","1,514","8,876","135,910","187,083","30,409","156,674","-8,885","1,629","9,771","154,158","207,931","34,171","173,761","-12,122","1,710","11,851","172,320","220,422","36,010","184,412","-10,475","1,733","12,002","181,152","245,415","40,052","205,364","-11,595","1,887","12,095","202,976","259,773","42,170","217,603","-13,217","2,082","13,479","215,259","304,551","49,498","255,053","-13,008","2,342","14,703","251,016","321,975","52,248","269,727","-15,403","2,508","15,597","267,025","339,575","55,130","284,445","-15,281","2,722","16,258","280,747","355,074","57,737","297,337","-17,617","3,195","17,743","294,016","411,554","66,871","344,683","-17,610","3,662","19,190","339,441","419,368","68,131","351,237","-21,177","3,919","21,071","347,423",forestry & logging,1.3
1.4,मत्‍स्‍यन और जलीय कृषि,"80,105","12,078","68,027",-11,"7,987","7,018","53,031","94,297","14,385","79,911",-44,"8,804","8,313","62,838","115,308","17,119","98,190",-66,"9,970","10,377","77,908","136,229","19,662","116,567",-94,"10,975","12,435","93,250","155,691","22,970","132,721",-104,"11,926","14,235","106,665","181,580","26,937","154,643",-70,"12,605","16,739","125,369","226,759","33,484","193,275",-153,"13,579","20,838","159,011","249,107","37,021","212,087",-199,"15,031","23,024","174,231","275,527","39,977","235,550",-203,"16,801","25,578","193,375","287,075","42,130","244,945",-203,"18,612","26,410","200,126","334,133","50,710","283,422",-332,"20,970","30,574","232,211","383,369","57,771","325,598",-535,"23,902","35,005","267,226","432,533","64,409","368,124",-589,"25,159","34,966","308,587",fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,"438,179","177,144","261,035","3,456","31,848","65,019","160,711","492,107","206,265","285,841","1,688","36,070","72,386","175,697","556,181","260,386","295,794","3,022","43,010","70,885","178,878","557,126","248,651","308,475","1,057","46,689","73,297","187,435","504,235","210,224","294,012",954,"49,426","71,683","171,948","566,885","240,077","326,808","2,644","51,625","84,674","187,865","546,371","210,262","336,109","2,512","55,091","99,234","179,272","599,967","222,306","377,661","3,230","59,154","101,223","214,055","575,414","218,413","357,001","2,986","62,298","96,943","194,774","532,419","208,279","324,140","3,035","66,136","95,299","159,671","722,862","283,522","439,339","3,227","72,366","106,389","257,357","857,522","346,840","510,682","4,004","78,530","125,193","302,955","885,198","352,855","532,343","5,699","85,355","125,713","315,576",Mining & quarrying,2
3,विनिर्माण,"6,543,446","5,133,460","1,409,985","13,023","263,058","325,615","808,289","7,180,189","5,607,352","1,572,837","12,850","283,711","377,180","899,095","7,968,484","6,255,032","1,713,452","11,733","301,794","411,241","988,684","8,501,463","6,623,094","1,878,369","11,675","323,713","470,119","1,072,863","8,417,473","6,271,284","2,146,189","12,084","343,496","515,836","1,274,774","8,987,059","6,653,338","2,333,721","22,770","365,181","559,099","1,386,671","9,969,138","7,402,515","2,566,623","8,256","392,012","607,564","1,558,792","11,903,859","9,091,299","2,812,560","8,522","426,619","690,270","1,687,148","11,856,161","9,151,060","2,705,101","6,150","456,335","738,792","1,503,823","11,693,810","8,890,315","2,803,495","8,535","480,410","728,490","1,586,059","15,772,252","12,379,647","3,392,605","9,488","535,906","858,836","1,988,375","18,429,228","14,894,361","3,534,867","16,154","655,452","958,278","1,904,981","19,350,303","15,428,707","3,921,596","19,334","685,555","1,069,073","2,147,633",Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं","535,136","348,468","186,668","-5,262","62,857","65,643","63,432","625,813","410,463","215,349","-5,663","75,172","70,449","75,392","730,188","470,033","260,155","-5,063","86,581","94,741","83,896","854,578","572,320","282,258","-5,381","99,530","106,002","82,106","855,526","520,561","334,965","-5,943","109,414","113,443","118,051","916,329","560,620","355,709","-9,829","119,233","123,704","122,601","1,025,339","599,621","425,718","-5,655","129,416","141,144","160,812","1,135,361","685,902","449,459","-7,298","143,860","160,936","151,961","1,190,401","687,401","502,999","-7,643","153,825","167,879","188,939","1,145,695","644,915","500,780","-5,688","164,851","174,782","166,835","1,357,054","779,261","577,793","-4,976","186,569","186,714","209,485","1,694,481","1,085,413","609,068",-532,"204,789","197,826","206,984","1,935,878","1,169,443","766,435","-4,789","219,237","221,939","330,049","Electricity, gas, water supply and other utility services",4
5,निर्माण,"2,140,974","1,363,639","777,335","4,271","39,157","509,388","224,520","2,341,396","1,492,031","849,365","4,959","52,515","564,728","227,162","2,528,017","1,606,547","921,470","5,006","54,860","615,936","245,668","2,720,301","1,741,215","979,086","5,464","58,145","676,727","238,750","2,687,072","1,695,988","991,083","5,900","59,091","663,356","262,735","2,901,217","1,820,347","1,080,870","5,854","66,455","720,548","288,013","3,256,466","2,056,052","1,200,414","6,527","76,196","797,738","319,953","3,712,259","2,360,141","1,352,118","7,986","89,904","874,139","380,089","3,811,304","2,432,635","1,378,669","7,631","103,326","920,485","347,229","3,735,337","2,375,825","1,359,511","6,702","117,432","903,173","332,204","5,086,887","3,251,212","1,835,674","10,411","137,647","1,259,192","428,424","6,069,208","3,897,807","2,171,401","13,745","200,895","1,443,011","513,750","6,594,511","4,192,893","2,401,618","14,908","220,189","1,555,274","611,249",Construction,5
