क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,Sl.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
1,रेलवे,,,,,,,,,,,,,,,,,,,,,,,,,,,Railways,1
1.1,उत्पादन का मूल्य,"95,652","112,593","128,856","145,491","151,165","160,070","176,157","191,675","202,720","181,348","211,398","246,280","265,423","95,652","108,211","115,353","126,551","134,079","129,147","137,881","143,308","129,503","101,914","124,483","146,940","159,128",value of output,1.1
1.1.1,यात्रियों की आवाजाही से हुई आमदनी,"27,540","30,494","36,187","42,730","44,313","51,181","56,730","61,884","68,669","25,885","50,991","75,898","86,774","27,540","31,352","33,525","34,343","35,588","35,947","36,367","37,050","32,988","7,509","22,383","39,531","46,078",passenger earnings,1.1.1
1.1.2,माल की ढुलाई से हुई आमदनी,"62,031","75,235","83,860","94,132","96,265","94,416","106,457","117,581","121,471","144,045","147,587","154,938","161,158","62,031","69,649","74,067","83,979","89,691","84,815","92,635","97,115","88,974","89,428","94,933","98,208","103,077",goods earnings,1.1.2
1.1.3,विविध स्रोतों से आमदनी,"6,082","6,865","8,809","8,629","10,587","14,473","12,970","12,211","12,580","11,418","12,820","15,444","17,491","6,082","7,210","7,761","8,230","8,800","8,385","8,879","9,143","7,541","4,978","7,168","9,201","9,973",miscellaneous earnings,1.1.3
1.2,लागत,"34,109","39,860","49,734","52,564","50,279","53,285","59,573","68,079","67,344","51,640","65,898","83,801","86,714","34,109","38,613","41,278","45,387","48,216","46,986","49,996","51,958","47,200","36,160","44,656","53,291","57,782",input,1.2
1.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,393,437,399,467,434,0,0,0,0,0,0,0,0,393,435,390,445,411,0,0,0,0,0,0,0,0,FISIM,1.3
1.4,सकल मूल्य वर्धन,"61,150","72,296","78,723","92,460","100,451","106,786","116,584","123,596","135,376","129,709","145,500","162,480","178,709","61,150","69,163","73,685","80,719","85,452","82,161","87,886","91,350","82,303","65,754","79,828","93,649","101,345",Gross Value Added,1.4
1.5,स्‍थायी पूंजी अवक्षय,"12,619","14,998","17,274","22,003","24,410","27,525","31,425","36,173","39,855","42,492","48,896","56,316","64,320","12,619","14,270","15,913","19,149","21,286","23,623","26,106","28,798","31,035","32,276","34,991","38,600","43,665",CFC,1.5
1.6,निवल मूल्य वर्धन,"48,531","57,298","61,449","70,457","76,041","79,261","85,158","87,422","95,521","87,217","96,603","106,163","114,389","48,531","54,893","57,772","61,570","64,166","58,538","61,780","62,552","51,268","33,478","44,837","55,048","57,680",Net Value Added,1.6
2,सड़क परिवहन,,,,,,,,,,,,,,,,,,,,,,,,,,,Road transport,2
2.1,उत्पादन का मूल्य,"590,170","675,372","766,862","834,144","895,873","972,213","1,093,608","1,227,973","1,298,194","991,757","1,535,560","1,691,372","1,797,165","590,170","632,915","670,657","714,872","764,737","804,376","876,321","918,284","948,478","693,245","912,672","978,248","1,013,600",value of output,2.1
2.2,लागत,"323,830","370,230","423,627","458,810","490,206","531,513","602,405","682,769","724,146","553,547","857,980","951,715","1,009,957","323,830","345,967","365,311","389,236","416,074","436,541","473,593","493,787","509,533","368,717","479,195","524,378","542,002",input,2.2
2.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"3,898","4,490","4,930","4,970","5,764","5,753","7,070","8,652","8,886","8,898","9,605","12,018","13,562","3,898","4,523","4,783","4,822","5,508","5,511","6,326","6,960","6,785","6,631","6,767","7,650","8,676",FISIM,2.3
2.4,सकल मूल्य वर्धन,"262,442","300,652","338,306","370,364","399,902","434,947","484,134","536,552","565,162","429,312","667,974","727,638","773,646","262,442","282,425","300,563","320,813","343,155","362,324","396,401","417,538","432,160","317,897","426,710","446,221","462,922",Gross Value Added,2.4
2.5,स्‍थायी पूंजी अवक्षय,"34,730","41,299","42,304","45,392","49,315","57,874","70,202","85,341","96,630","99,412","109,071","126,641","138,424","34,730","40,569","40,813","42,256","46,052","53,069","62,834","75,117","80,931","78,269","81,965","84,552","92,277",CFC,2.5
2.6,निवल मूल्य वर्धन,"227,712","259,353","296,002","324,972","350,587","377,074","413,931","451,211","468,532","329,900","558,903","600,997","635,221","227,712","241,856","259,750","278,557","297,103","309,255","333,567","342,421","351,229","239,628","344,744","361,669","370,645",Net Value Added,2.6
3,जल परिवहन,,,,,,,,,,,,,,,,,,,,,,,,,,,Water transport,3
3.1,उत्पादन का मूल्य,"19,603","20,383","19,145","21,021","21,981","21,807","28,552","32,180","31,906","31,603","50,265","60,551","52,347","19,603","20,029","20,859","22,570","22,991","24,317","29,181","30,949","31,871","30,181","31,963","34,654","37,242",value of output,3.1
3.2,लागत,"12,595","13,091","12,580","13,333","14,584","12,484","15,347","18,918","18,478","17,233","30,787","38,051","29,465","12,595","12,868","13,402","14,501","14,772","15,623","17,082","18,117","18,657","17,668","18,711","20,286","21,801",input,3.2
3.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,98,102,89,99,100,117,184,203,200,282,268,357,385,98,108,112,114,124,125,184,204,198,249,200,234,275,FISIM,3.3
3.4,सकल मूल्य वर्धन,"6,910","7,190","6,476","7,590","7,298","9,206","13,021","13,059","13,228","14,088","19,210","22,143","22,496","6,910","7,052","7,345","7,954","8,095","8,569","11,915","12,628","13,016","12,265","13,053","14,134","15,166",Gross Value Added,3.4
