,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 विवरण 8.14: अन्‍य सेवाओं से उत्‍पादन एवं मूल्‍य वर्धन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT 8.14: OUTPUT & VALUE ADDED FROM OTHER SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( ₹ करोड़),,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,( ₹ crore),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
1,सामुदायिक और सामाजिक सेवाएं,,,,,,,,,,,,,,,,,,,,,,,,,,,Community & social services,1
1.1,शिक्षा,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,1.1
1.1.1,उत्पादन का मूल्य,"337,736","391,611","445,443","509,136","592,632","685,966","798,349","944,373","1,033,103","1,001,343","1,151,146","1,344,698","1,561,739","337,736","358,749","378,617","403,852","442,428","486,121","541,657","600,976","623,365","587,815","656,522","728,399","804,026",value of output,1.1.1
1.1.2,लागत,"66,908","80,215","89,341","100,279","119,568","136,419","157,326","187,510","174,869","160,985","194,219","234,332","272,192","66,908","73,484","75,938","79,542","89,263","96,675","106,742","119,327","105,514","94,503","110,767","126,933","140,132",input,1.1.2
1.1.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"2,929","2,697","3,024","3,555","5,482","7,141","8,616","11,038","12,846","14,150","15,195","18,919","23,019","2,929","2,663","2,911","3,284","4,973","6,404","7,278","8,613","9,432","10,499","10,691","12,017","14,215",FISIM,1.1.3
1.1.4,सकल मूल्य वर्धन,"267,900","308,698","353,079","405,302","467,582","542,406","632,406","745,825","845,388","826,207","941,732","1,091,448","1,266,529","267,900","282,602","299,769","321,025","348,192","383,042","427,638","473,036","508,419","482,814","535,065","589,449","649,679",Gross Value Added,1.1.4
1.2,स्वास्थ्य और सामाजिक कार्य,,,,,,,,,,,,,,,,,,,,,,,,,,,Health & social work,1.2
1.2.1,उत्पादन का मूल्य,"173,426","202,437","232,063","276,525","317,983","368,995","396,633","453,692","513,159","526,635","627,433","715,310","842,245","173,426","187,633","202,128","228,874","249,751","277,169","285,409","304,716","324,394","316,678","351,070","377,671","421,165",value of output,1.2.1
1.2.2,लागत,"61,887","72,742","88,349","104,275","120,110","142,473","145,837","163,656","184,629","190,693","234,956","272,942","320,216","61,887","67,422","76,953","86,306","94,337","107,018","104,942","109,917","116,714","114,668","131,466","144,109","160,124",input,1.2.2
