क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,3,2,1
1,,"खाद्य उत्पाद, पेय पदार्थ और तंबाकू का उत्‍पादन","756,573","775,259","925,482","1,061,298","1,094,922","1,304,044","1,393,894","1,671,036","1,655,357","1,783,092","1,994,075","2,333,998","2,403,734","756,573","714,783","812,490","909,480","946,884","1,037,626","1,089,020","1,302,620","1,244,282","1,270,762","1,296,127","1,452,244","1,514,497","Manufacture of food products, beverages & tobacco",,1
1.1,101-104,"मांस, मछली, फल, सब्जी, तेल और वसा का उत्पादन, प्रसंस्करण और परिरक्षण","214,801","192,382","231,215","247,261","250,067","328,255","337,904","391,317","468,998","506,941","599,854","630,091","540,629","214,801","181,350","217,224","235,258","243,649","297,786","301,359","328,223","387,732","357,244","333,994","359,323","374,841","Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",101-104,1.1
1.2,105,डेयरी उत्पादों का विनिर्माण,"82,306","78,380","111,676","138,958","144,572","164,982","184,415","183,627","211,528","193,397","230,293","265,258","295,394","82,306","75,897","99,191","112,335","116,968","124,703","129,779","134,821","145,882","131,652","154,145","158,837","164,933",Manufacture of dairy products,105,1.2
1.3,106+108,अनाज चक्की उत्‍पाद का विनिर्माण आदि और पशु आहार,"175,736","193,800","237,048","277,286","286,759","357,251","358,852","412,249","397,834","454,118","506,949","608,720","672,247","175,736","170,580","188,889","216,455","224,768","256,191","259,009","288,726","265,663","310,689","331,306","360,872","374,536","Manufacture of grain mill products, etc. and animal feeds",106+108,1.3
1.4,107,अन्य खाद्य उत्पादों का विनिर्माण,"184,348","218,523","244,146","275,513","285,421","320,200","375,183","525,605","412,725","466,967","487,263","599,700","647,486","184,348","200,193","216,914","240,623","254,879","251,909","291,504","429,337","320,179","350,949","351,180","405,897","423,707",Manufacture of other food products,107,1.4
1.5,11,पेय पदार्थों का विनिर्माण,"71,016","60,255","65,143","78,733","81,716","82,896","87,846","99,635","112,870","104,052","118,967","164,105","182,275","71,016","57,288","57,814","69,491","71,744","71,400","73,882","82,547","91,319","83,576","93,823","127,312","138,613",Manufacture of beverages,11,1.5
1.6,12,तंबाकू उत्पादों का विनिर्माण,"28,367","31,920","36,253","43,547","46,386","50,461","49,694","58,605","51,401","57,617","50,749","66,124","65,702","28,367","29,475","32,458","35,318","34,877","35,636","33,486","38,966","33,508","36,652","31,679","40,002","37,869",Manufacture of tobacco products,12,1.6
2,,"वस्‍त्र, परिधान और चमड़े के उत्पादों का विनिर्माण","483,301","545,279","726,595","724,809","774,452","811,878","854,449","927,071","910,882","829,543","1,175,625","1,218,724","1,162,322","483,301","516,132","640,301","631,414","683,128","703,719","726,585","760,891","748,230","684,362","868,752","857,574","850,273","Manufacture of textiles, apparel & leather products",,2
2.1,13+01632,वस्‍त्र का विनिर्माण + कपास की ओटाई,"363,339","405,370","535,227","550,741","560,837","590,904","631,292","668,356","626,243","599,563","856,382","848,950","819,693","363,339","388,688","476,398","488,678","514,058","531,388","556,695","566,884","532,067","509,833","633,419","594,919","608,984",Manufacture of textiles + cotton ginning,13+01632,2.1
2.2,14-14105,"कस्टम टेलरिंग को छोड़कर,  परिधानों का विनिर्माण","80,777","99,155","137,265","115,316","141,159","151,211","155,798","183,007","198,465","162,098","231,862","273,887","243,934","80,777","89,449","116,533","94,058","109,681","115,428","113,804","131,850","143,504","116,954","162,028","184,188","161,760","Manufacture of wearing apparel, except custom tailoring",14-14105,2.2
