क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item ,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
1,व्यापार और मरम्मत सेवाएं,,,,,,,,,,,,,,,,,,,,,,,,,,,Trade and repair services,1
1.1,उत्पादन का मूल्य,"1,065,574","1,275,443","1,443,159","1,638,052","1,749,721","1,960,947","2,281,567","2,599,133","2,837,243","2,413,048","2,969,738","3,564,432","3,844,983","1,065,574","1,189,779","1,264,820","1,413,333","1,542,691","1,697,643","1,905,116","2,078,974","2,229,485","1,879,321","2,077,757","2,294,964","2,454,987",value of output,1.1
1.2,लागत,"245,876","290,758","333,241","394,758","403,931","450,604","512,022","589,166","644,397","586,454","722,264","867,238","933,456","245,876","271,229","292,061","340,602","356,138","390,100","427,540","471,258","506,362","456,740","505,327","558,372","596,003",input,1.2
1.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"26,017","30,002","31,498","36,820","38,466","41,760","46,873","54,168","61,422","72,027","77,083","92,242","99,526","26,017","29,882","30,817","35,090","36,432","39,313","41,592","44,479","47,516","54,981","54,619","58,762","61,796",FISIM,1.3
1.4,सकल मूल्य वर्धन,"793,681","954,683","1,078,421","1,206,474","1,307,323","1,468,583","1,722,671","1,955,798","2,131,424","1,754,567","2,170,391","2,604,952","2,812,001","793,681","888,667","941,943","1,037,640","1,150,121","1,268,230","1,435,984","1,563,237","1,675,607","1,367,599","1,517,811","1,677,830","1,797,188",Gross Value Added,1.4
1.5,स्‍थायी पूंजी अवक्षय,"37,197","47,934","54,241","62,656","69,827","81,282","98,358","116,056","127,839","140,192","167,389","203,162","215,295","37,197","45,065","48,927","55,043","62,732","72,031","83,524","94,117","102,393","109,584","119,488","132,875","139,899",CFC,1.5
1.6,निवल मूल्य वर्धन,"756,484","906,749","1,024,180","1,143,818","1,237,496","1,387,301","1,624,313","1,839,742","2,003,584","1,614,375","2,003,002","2,401,790","2,596,706","756,484","843,602","893,016","982,597","1,087,389","1,196,199","1,352,460","1,469,120","1,573,213","1,258,016","1,398,323","1,544,955","1,657,289",Net Value Added,1.6
2,होटल और जलपान गृह,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotels & restaurants,2
2.1,उत्पादन का मूल्य,"264,753","293,904","314,906","338,781","372,583","409,717","459,636","528,210","580,946","282,387","432,856","793,572","945,447","264,753","274,164","275,991","292,305","328,499","354,702","383,797","422,501","456,503","219,928","302,845","510,942","603,659",value of output,2.1
2.2,लागत,"172,344","191,070","204,264","219,221","240,497","263,073","294,349","339,762","377,514","184,769","285,712","515,936","613,731","172,344","178,237","179,022","189,147","212,041","227,749","245,782","271,766","296,648","143,901","199,896","332,186","391,861",input,2.2
2.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"2,508","2,985","4,502","5,201","5,441","6,226","6,564","7,539","8,524","6,745","8,440","13,042","15,183","2,508","2,973","4,405","4,957","5,153","5,861","5,824","6,191","6,594","5,149","5,980","8,308","9,427",FISIM,2.3
2.4,सकल मूल्य वर्धन,"89,901","99,850","106,140","114,359","126,646","140,418","158,723","180,909","194,907","90,873","138,705","264,594","316,534","89,901","92,955","92,564","98,201","111,305","121,092","132,191","144,544","153,261","70,878","96,968","170,448","202,371",Gross Value Added,2.4
2.5,स्‍थायी पूंजी अवक्षय,"8,271","9,346","9,869","10,807","11,909","13,105","14,762","16,948","19,159","21,322","26,995","37,778","43,995","8,271","8,811","8,942","9,510","10,668","11,583","12,488","13,634","15,256","16,611","19,117","24,538","28,371",CFC,2.5
2.6,निवल मूल्य वर्धन,"81,630","90,504","96,271","103,552","114,737","127,312","143,962","163,961","175,748","69,550","111,710","226,816","272,538","81,630","84,144","83,622","88,691","100,637","109,509","119,703","130,909","138,005","54,267","77,851","145,910","174,000",Net Value Added,2.6
3,"व्यापार, मरम्मत, होटल और जलपान गृह",,,,,,,,,,,,,,,,,,,,,,,,,,,"Trade, repair, hotels & restaurants",3
3.1,उत्पादन का मूल्य,"1,330,327","1,569,347","1,758,066","1,976,834","2,122,304","2,370,664","2,741,203","3,127,343","3,418,188","2,695,435","3,402,594","4,358,003","4,790,430","1,330,327","1,463,943","1,540,811","1,705,637","1,871,190","2,052,345","2,288,914","2,501,474","2,685,988","2,099,249","2,380,602","2,805,906","3,058,646",value of output,3.1
3.2,लागत,"418,220","481,827","537,505","613,979","644,428","713,678","806,371","928,929","1,021,910","771,224","1,007,975","1,383,174","1,547,187","418,220","449,466","471,083","529,748","568,179","617,849","673,323","743,024","803,010","600,642","705,223","890,558","987,865",input,3.2
3.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"28,525","32,987","36,000","42,022","43,907","47,986","53,437","61,707","69,947","78,772","85,523","105,284","114,709","28,525","32,856","35,222","40,048","41,586","45,174","47,416","50,670","54,110","60,130","60,599","67,070","71,223",FISIM,3.3
3.4,सकल मूल्य वर्धन,"883,582","1,054,533","1,184,560","1,320,833","1,433,969","1,609,001","1,881,395","2,136,707","2,326,331","1,845,440","2,309,096","2,869,546","3,128,535","883,582","981,622","1,034,507","1,135,841","1,261,426","1,389,322","1,568,175","1,707,781","1,828,868","1,438,477","1,614,780","1,848,277","1,999,559",Gross Value Added,3.4
3.5,स्‍थायी पूंजी अवक्षय,"45,468","57,280","64,110","73,463","81,736","94,388","113,120","133,004","146,999","161,515","194,384","240,940","259,290","45,468","53,876","57,869","64,553","73,400","83,614","96,012","107,751","117,650","126,194","138,605","157,413","168,270",CFC,3.5
3.6,निवल मूल्य वर्धन,"838,114","997,253","1,120,450","1,247,370","1,352,233","1,514,613","1,768,275","2,003,703","2,179,332","1,683,925","2,114,712","2,628,606","2,869,245","838,114","927,746","976,638","1,071,288","1,188,026","1,305,709","1,472,163","1,600,030","1,711,218","1,312,283","1,476,175","1,690,864","1,831,289",Net Value Added,3.6
