S.No.,Item,2015-16,2018-19,2019-20,2021-22,2022-23,2015-16,2018-19,2019-20,2021-22,2022-23,Item,S.No.
1,2,7,10,11,13,14,20,23,24,26,27,2,1
1,"Agriculture, forestry and fishing","2,227,533","3,029,925","3,368,471","4,099,473","4,449,332","1,616,146","1,878,598","1,994,326","2,170,106","2,305,978","Agriculture, forestry and fishing",1
1.1,crops,"1,327,992","1,680,777","1,885,276","2,280,312","2,414,289","969,344","1,049,211","1,108,603","1,174,359","1,262,418",crops,1.1
1.2,livestock,"582,410","882,009","977,918","1,238,401","1,364,763","419,637","540,970","581,714","657,269","690,067",livestock,1.2
1.3,forestry and logging,"184,411","255,053","269,727","297,337","344,683","136,960","163,949","173,972","185,031","187,516",forestry and logging,1.3
1.4,fishing and aquaculture,"132,720","212,087","235,550","283,422","325,598","90,205","124,468","130,037","153,447","165,976",fishing and aquaculture,1.4
2,Mining and quarrying,"294,011","377,661","357,001","439,339","510,682","317,974","326,815","317,134","309,276","319,733",Mining and quarrying,2
3,Manufacturing,"2,146,189","2,812,560","2,705,101","3,392,605","3,534,867","1,903,850","2,328,992","2,259,706","2,561,033","2,516,364",Manufacturing,3
3.1,"Food Products, Beverages and Tobacco","213,832","335,679","290,152","308,264","352,091","183,150","258,683","217,690","208,077","228,438","Food Products, Beverages and Tobacco",3.1
3.2,"Textiles,  Apparel and Leather Products","300,357","366,299","353,727","421,585","435,442","258,936","300,013","290,913","312,949","308,402","Textiles,  Apparel and Leather Products",3.2
3.3,Metal Products,"232,868","368,761","357,527","620,148","523,641","225,306","326,298","329,198","450,144","360,486",Metal Products,3.3
3.4,Machinery and Equipment,"485,168","650,442","608,260","678,764","832,857","429,550","580,847","535,784","558,573","657,132",Machinery and Equipment,3.4
3.5,Other Manufactured Goods,"913,964","1,091,380","1,095,434","1,363,843","1,390,836","806,908","863,152","886,120","1,031,289","961,906",Other Manufactured Goods,3.5
4,"Electricity, gas, water supply & other utility services","334,965","449,459","502,999","577,793","609,068","224,158","294,147","300,798","317,966","352,331","Electricity, gas, water supply & other utility services",4
5,Construction,"991,084","1,352,118","1,378,669","1,835,674","2,171,401","865,335","1,026,789","1,043,429","1,193,532","1,302,245",Construction,5
6,"Trade, repair, hotels and restaurants","1,433,969","2,136,707","2,326,331","2,309,096","2,869,546","1,261,426","1,707,781","1,828,868","1,614,780","1,848,277","Trade, repair, hotels and restaurants",6
6.1,Trade & repair services,"1,307,323","1,955,798","2,131,424","2,170,391","2,604,952","1,150,121","1,563,237","1,675,607","1,517,811","1,677,830",Trade & repair services,6.1
6.2,Hotels & restaurants,"126,646","180,909","194,907","138,705","264,594","111,305","144,544","153,261","96,968","170,448",Hotels & restaurants,6.2
7,"Transport, storage, communication & services related to broadcasting","860,544","1,066,055","1,152,558","1,365,822","1,542,462","731,399","830,977","861,192","865,601","937,463","Transport, storage, communication & services related to broadcasting",7
7.1,Railways,"100,451","123,596","135,376","145,500","162,480","85,452","91,350","82,303","79,828","93,649",Railways,7.1
7.2,Road transport,"399,902","536,552","565,162","667,974","727,638","343,155","417,538","432,160","426,710","446,221",Road transport,7.2
7.3,Water transport,"7,298","13,059","13,228","19,210","22,143","8,095","12,628","13,016","13,053","14,134",Water transport,7.3
7.4,Air transport,"20,344","12,730","22,496","11,114","18,140","6,053","9,402","9,158","5,443","8,749",Air transport,7.4
7.5,Services incidental to transport,"88,246","103,341","103,582","125,990","151,928","81,156","89,061","91,356","84,531","95,275",Services incidental to transport,7.5
7.6,Storage,"7,021","18,597","19,796","21,586","24,223","6,245","13,784","14,021","18,128","17,248",Storage,7.6
7.7,Communication & services related to broadcasting,"237,282","258,179","292,918","374,447","435,910","201,243","197,215","219,178","237,909","262,188",Communication & services related to broadcasting,7.7
8,Financial services,"726,286","941,778","1,027,636","1,173,240","1,452,679","672,788","758,170","784,536","831,305","903,368",Financial services,8
9,"Real estate, ownership of dwelling & professional services","1,899,852","2,587,720","2,853,477","3,472,633","4,147,761","1,621,999","1,956,051","2,113,708","2,291,542","2,555,909","Real estate, ownership of dwelling & professional services",9
10,Public administration and defence,"731,578","1,045,488","1,151,736","1,315,856","1,443,484","565,106","722,773","762,531","780,846","803,343",Public administration and defence,10
11,Other services,"928,489","1,375,658","1,557,139","1,654,053","1,915,417","711,691","902,705","969,873","940,853","1,033,017",Other services,11
12,TOTAL GVA at basic prices,"12,574,499","17,175,128","18,381,117","21,635,584","24,646,698","10,491,870","12,733,798","13,236,100","13,876,840","14,878,028",TOTAL GVA at basic prices,12
