S.No.,  Industry         Product,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,IIUSE,PFCE,GFCE,GFCF,Valuables,CIS,EXP,TFUSE,Total Use,OP at PP
0,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,,,,,,
1,Paddy,1291035,0,0,0,0,0,0,0,0,0,0,0,20039505,84064,649496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277503,23341603,2631787,0,0,0,0,34308,2666095,26007698,26007698
2,Wheat,1670166,2672063,0,0,0,0,0,0,0,0,0,0,3012499,643900,956076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191875,0,0,0,0,0,0,0,0,0,0,0,0,3348914,13495493,2923673,0,0,0,325064,106180,3354917,16850410,16850410
3,Coarse cereals,222886,1301796,0,8416,0,0,0,0,0,0,0,0,802884,310195,77283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30692,46290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56904,2857346,4066125,0,0,0,155548,157179,4378852,7236198,7236198
4,Gram ,68016,201213,0,0,0,0,0,0,0,0,0,0,62538,35191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70620,3081244,598662,0,0,0,28519,0,627181,3708425,3708425
5,Arhar,4632,0,0,0,0,0,0,0,0,0,0,0,2092980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097612,232321,0,0,0,9838,0,242159,2339771,2339771
6,Other pulses,104163,1281445,0,0,0,0,0,0,0,0,0,0,908717,221618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369809,2885754,1975804,0,0,0,25156,0,2000960,4886714,4886714
7,Groundnut,39065,0,0,0,0,0,0,0,0,0,342102,0,20500,345550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747217,2156185,0,0,0,0,401970,2558155,3305372,3305372
8,Rapeseed and mustard,161384,0,0,0,0,0,0,0,0,0,2678196,0,13968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853550,388508,0,0,0,0,13378,401886,3255436,3255436
9,Other oil seeds,151846,0,0,0,0,0,0,0,0,0,3689691,0,325068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4195547,1452514,0,0,0,0,395717,1848231,6043778,6043778
