Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,,,,
1,Paddy,"8,941",,,,,,,,,,202,,"113,310",,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,816","136,304","119,215",,,336,,"33,544","289,399"
2,Wheat,"7,514",,,,,,,,,,83,,"47,812",425,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,843",,,,,,,,,,,,,"36,218","104,910","100,660",,,194,,448,"206,212"
3,Coarse cereals,"1,210",,,355,,,,,,,699,,"17,587",767,696,,,,,,,,,,,,,,,,62,20,,,,,,,,,,,,,,,,,,,,,"6,226",,,,,,,,,,,,,616,"28,238","57,028",,,86,,"1,150","86,502"
4,Gram ,"4,470",,,,,,,,,,,,"7,355",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,"2,229",,,,,,,,,,,,,764,"15,586","44,753",,,66,,,"60,405"
5,Arhar,506,,,,,,,,,,,,"12,378",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,941","20,128",,,34,,,"33,103"
6,Other pulses,"1,764",737,,,,,,,,,,,"21,193","1,546",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,874",,,,,,,,,,,,,"3,553","40,686","20,401",,,93,,,"61,180"
7,Groundnut,"2,945",,,,,,,,,,"2,367","1,915",845,556,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,656","30,805",,,84,,,"39,545"
8,Rapeseed and mustard,247,,,,,,,,,,"27,035",,314,92,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,739","8,418",,,64,,68,"36,289"
9,Other oil seeds,"4,356",,,,,,,,,,"34,234",,"10,131",635,,55,538,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,213","19,304",,,196,,"3,690","73,403"
