Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,,,,
1,Paddy,9210,,,,,,,,,,327,,142987,129,90,,78,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,6311,,,,,,,,,,,,,22115,181281,156579,,,1808,,40908,380577
2,Wheat,8931,793,,,,,,,,,99,6,62324,394,32,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,17335,,,,,,,,,,,,,34950,124889,129716,,,1517,,444,256566
3,Coarse cereals,3858,2277,,113,,,,,,,354,41,29728,797,1704,,,,,,,4,,,,,,,13,,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,40016,80506,,,155,,1241,121918
4,Gram,3076,1145,,,,,,,,,,,29379,446,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10961,,,,,,,,,,,,,,,,,,,,557,45584,16979,,,177,,,62739
5,Arhar,501,,,,,,,,,,18,,8227,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8759,14660,,,10,,,23430
6,Other pulses,2174,3253,,,,,,,,,96,2,9583,683,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,16444,36039,,,213,,2,52698
7,Groundnut,5365,,,,,,,,,,9619,,834,884,,,4,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16716,46529,,,26,,,63270
8,Rapeseed and mustard,748,,,,,,,,,,35424,,945,57,,,43,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37221,6084,,,9,,,43314
9,Other oil seeds,3753,,,,,,,,,,56960,3,3715,296,,,13,,,,,,,,,,,6,,,188,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65056,10998,,,117,,4301,80471
