Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products,"Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Computer and related services,Other Business services,Renting of machinery and equipment,Real estate activities,Legal Services,"Community, Social & personal services",Other services,Public administration. & defence,Intermediate Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at Purchaser's Prices
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,,,,
1,Paddy,14301, , , , , , , , , , , ,144192, , , , , , , , , , , , , , , , , ,212, , , , , , , , , , , , , , , , , , , , , ,157, , , , , , , , , , , , ,30184,189046,183347, , ,772, ,57197,430362
2,Wheat,9616,891, , , , , , , , , , ,54782,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,430, , , , , , , , , , , , ,41216,106939,149167, , ,1390, ,15845,273342
3,Coarse cereals,1482,2557, ,45, , , , , , ,103,187,29123,1029,415, , , , , , ,0, , , , , , , , , ,581, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1289,36811,70762, , ,381, ,7889,115842
4,Gram,4198,1286, , , , , , , , ,8, ,45792, , , , , , , , , , , , , , , , , , , , , ,27, , , , , , , , , , ,202, , , , , , , , , , , , , , , , , , , ,11247,62760,25882, , ,206, , ,88848
5,Arhar,458, , , , , , , , , , , ,8306, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8764,20402, , ,35, , ,29200
6,Other pulses,1852,3654, , , , , , , , ,15, ,15753,248, , , , , , , , , , , , , , , , ,24,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1946,23497,38828, , ,343, ,10,62677
7,Groundnut,3688, , , , , , , , , ,15176, ,81,101, , , , , , , , , , , , , , , ,27, , , , ,181, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19255,46641, , ,23, , ,65919
8,Rapeseed and mustard,513, , , , , , , , , ,74544, ,3748, , , ,2280, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81084,2634, , ,455, ,278,84452
9,Other oil seeds,8312, , , , , , , , , ,85343,308,8550,4320, ,704,613, , , , , , , , , , , , , ,114,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,108344,15414, , ,440, ,3632,127829
10,kapas,1744, , , , , , , , , ,937, ,259, , , ,133264,5128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,141331, , , ,3699, ,6,145037
11,"jute, hemp and mesta",5, , , , , , , , , , , , , , , ,13726, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13731, , , ,317, ,270,14318
12,Sugarcane,5032, , , , , , , , , , ,1635, ,107396,58, , , , , , , , , , , , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,114148,53335, , ,1020, ,103,168606
13,Coconut,20, , , , , , , , , ,6402, , ,111,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6533,26585, , ,4, ,242,33364
14,Tobacco, , , , , , , , , , , , , , , ,3815, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3815,11193, , ,34, , ,15042
15,Tea, , , , , , , , , , , ,20, ,17867, , , , , , , , , , , , , , , , ,1025,151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19064, , , ,2452, , ,21515
16,Coffee, , , , , , , , , , , , , ,6441, , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,2, , , , , , , , , ,6462, , , ,260, ,5213,11935
17,Rubber, , , , , , , , , , , , , , , , ,77, ,2117, , ,0, , , , , ,165,964, ,69,67,9733, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13205, , , ,557, , ,13763
18,Fruits,613, , , , , , , , , ,7289,82,121,59831,41,942, , , , , , , , , , , , , , , ,247,279,627, , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , ,2310,72457,411596, , ,987, ,8854,493895
19,Vegetables,7522,16922, , , , , , , , ,5711, ,244,10659, ,3, , , , , , , , , , , , , , ,573,141, , , , , , , , , , , , , , , , , , ,3, ,138, , , ,4, , , , , , , , ,4657,46576,426717, , ,1403, ,12256,486952
20,Other food crops,35583,234652, , , , , , , , ,10672,249,12115,38250,857,1110,44, , , , , , , , , , , ,5,0,1432,1856, ,55,735, , ,352,202, , ,1036, , , , , , , , ,29, , , , , ,34, , , , , , , , ,20721,359989,296307, ,3575,1516, ,9056,670442
21,Milk, ,5960, , , , , , , , , ,152722, ,756, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,156614, , , , , , , , , , , , ,64515,380566,749855, , ,440, , ,1130861
22,Wool, , , , , , , , , , , , , , , , ,2505, , , , , , , , , , , , , , , , , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2531, , , ,-189, ,47,2389
23,Egg and poultry, ,4849, ,4211, , , , , , ,6945, , ,5028, , , , , , , , , , , , , , , , , ,2551, , , , , , , , , , , , , , , , , , , , ,10137, , , , , , , , , , , , ,45628,79348,187214, , ,1412, ,657,268631
24,Other livestock products, ,595, ,40, , , , , , ,25487, , , , , , ,148,5408, , , , , , , , , , , ,111, , , , , , , , , , , , , , , , , , , , , ,25571, , , , , , , , , , , , ,10350,67710,293525, ,9433,157, ,10186,381011
25,Industry Wood, ,158,6, , , , , , , , , , , , ,4, , , , , , , , , , , , ,8, ,72,68, , ,37170,20022, ,26034,283, ,134537,5307, , , ,38556, , , , , , , , , , , , , , , , , , , , ,262224, , , ,15758, ,277,278260
