Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Supply at BP,Product taxes less Subsidies,OUTPUT at Producer price,Imports,CIF Adj,Imports after cif adjustment,Import Duty,Final Import,OP at Producer Price + Import,Trade and Transport Margins,OP at PP
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,,,,,,,,,,,
1,Paddy,"250,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,602","-2,235","248,367",,,,,,"248,367","41,032","289,399"
2,Wheat,"165,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,526","-1,272","164,254","8,509",,"8,509","6,130","14,639","178,893","27,319","206,212"
3,Coarse cereals,"68,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,666",-575,"68,091",491,,491,82,573,"68,664","17,838","86,502"
4,Gram ,"56,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,244",-241,"56,003",,,,,,"56,003","4,402","60,405"
5,Arhar,"28,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,758",-145,"28,613",,,,,,"28,613","4,490","33,103"
6,Other pulses,"52,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,131",-334,"51,797",,,,,,"51,797","9,383","61,180"
7,Groundnut,"36,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,183",-292,"35,891",,,,,,"35,891","3,654","39,545"
8,Rapeseed and mustard,"28,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,423","1,454","29,877",5,,5,1,6,"29,883","6,406","36,289"
9,Other oil seeds,"55,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,892","4,509","60,401","1,214",,"1,214",263,"1,477","61,878","11,525","73,403"
10,kapas,"82,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,217",-698,"81,519",5,,5,1,6,"81,525","25,257","106,782"
11,"jute, hemp and mesta","8,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,105",-52,"8,053",951,,951,205,"1,156","9,209","4,849","14,058"
12,Sugarcane,"94,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,979",-774,"94,205",5,,5,1,6,"94,211","34,447","128,658"
13,Coconut,"17,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,052",-212,"16,840",,,,,,"16,840","3,183","20,023"
14,Tobacco,"10,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,117",-113,"10,004",,,,,,"10,004","3,808","13,812"
15,Tea ,"13,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,671",-99,"13,572",,,,,,"13,572","3,607","17,179"
16,Coffee ,"8,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,350",-85,"8,265",526,,526,379,905,"9,170","2,047","11,217"
17,Rubber,"8,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,013",-72,"7,941",,,,,,"7,941","2,469","10,410"
18,Fruits,"244,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244,594",81,"244,675","20,307",,"20,307","4,389","24,696","269,371","93,869","363,240"
19,Vegetables,"239,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239,839","-2,417","237,422",542,,542,118,660,"238,082","117,669","355,751"
20,Other food crops,"349,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"349,470","-1,821","347,649","4,785",,"4,785","1,718","6,503","354,152","97,614","451,766"
21,Milk,,"629,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"629,259","-4,890","624,369",,,,,,"624,369","158,528","782,897"
22,Wool,,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,-6,426,"1,896",,"1,896",138,"2,034","2,460",122,"2,582"
23,Egg and poultry,,"125,437",,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,483",-884,"124,599",8,,8,2,10,"124,609","31,265","155,874"
24,Other livestock products,,"195,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,549",559,"196,108","8,853",,"8,853","1,913","10,766","206,874","38,620","245,494"
25,Industry Wood,,,"143,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,172","6,615","149,787",,,,,,"149,787","39,917","189,704"
26,Firewood,,,"60,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,076",-586,"59,490",2,,2,,2,"59,492","20,451","79,943"
27,Other forestry products,,,"42,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,167",-337,"41,830",98,,98,42,140,"41,970","13,183","55,153"
28,Inland Fish,,,,"102,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,798",-782,"102,016",2,,2,,2,"102,018","45,976","147,994"
29,Marine Fish,,,,"78,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,782",-561,"78,221",39,,39,8,47,"78,268","33,408","111,676"
