S.No.,States/Uts,2021( R ) - Domestic,2021 ( R ) - Foreign,Percentage Share - Domestic,Percentage Share - Foreign,Rank 2021 - Domestic,Rank 2021 - Foreign
1,Andaman and Nicobar Islands,126238,1687,0.02,0.16,32,21
2,Andhra Pradesh  ,93277569,27551,13.77,2.61,3,11
3,Arunachal Pradesh ,102915,182,0.02,0.02,33,32
4,Assam,1409161,536,0.21,0.05,23,27
5,Bihar  ,2501193,1046,0.37,0.1,21,25
6,Chandigarh,228809,5451,0.03,0.52,28,17
7,Chhattisgarh ,4747417,8,0.7,0,17,35
8,Dadra & Nagar Haveli ,197802,80,0.03,0.01,29,34
9,Daman & Diu,463420,105,0.07,0.01,26,33
10,Delhi,10642477,100178,1.57,9.5,14,3
11,Goa ,3308089,22128,0.49,2.1,20,12
12,Gujarat ,24525210,11319,3.62,1.07,9,14
13,Haryana ,2025450,4578,0.3,0.43,22,19
14,Himachal Pradesh  ,5632270,4932,0.83,0.47,16,18
15,Jammu & Kashmir,11314920,1650,1.67,0.16,13,22
16,Jharkhand,3383642,1637,0.5,0.16,19,23
17,Karnataka ,81333659,72487,12,6.87,4,4
18,Kerala ,7537617,60487,1.11,5.74,15,5
19,Lakshdweep,13500,4,0,0,37,37
20,Leh Ladakh,303023,1054,0.04,0.1,27,24
21,Madhya Pradesh,25554067,41601,3.77,3.94,8,8
22,Maharashtra,43569238,185643,6.43,17.6,5,2
23,Manipur  ,49371,648,0.01,0.06,35,26
24,Meghalaya ,154409,411,0.02,0.04,31,28
25,Mizoram ,87232,234,0.01,0.02,34,31
26,Nagaland ,23968,325,0,0.03,36,29
27,Odisha ,3742221,2269,0.55,0.22,18,20
28,Puducherry,1253213,321,0.18,0.03,24,30
29,Punjab ,26640429,308135,3.93,29.22,7,1
30,Rajasthan  ,21988734,34806,3.24,3.3,11,10
31,Sikkim ,511669,11508,0.08,1.09,25,13
32,Tamil Nadu ,115336719,57622,17.02,5.46,1,6
33,Telengana,32000620,5917,4.72,0.56,6,16
34,Tripura ,177816,5,0.03,0,30,36
35,Uttar Pradesh,109708435,44737,16.19,4.24,2,7
36,Uttarakhand ,19434475,8532,2.87,0.81,12,15
37,West Bengal ,24325984,34828,3.59,3.3,10,9
Total,Total,677632981,1054642,100,100,NA,NA
